TOP|20101208023001|2010-12-08_0230_US_KNBC_NBC_Nightly_News
COL|Communication Studies Archive, UCLA 
UID|0ec9a59e-0273-11e0-ab75-00e0815fe86a
DUR|0:29:54.04
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-07 18:30 America/Los_Angeles
SEG_01|2014-06-18 17:47:27|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101208023005.000|20101208023008.000|SEG|Type=Story
20101208023005.000|20101208023006.000|CCO|TONIGHT, WHAT'S NEXT FOR THE 
20101208023006.000|20101208023007.000|CCO|MYSTERIOUS WIKILEAKS FOUNDER, 
20101208023007.000|20101208023008.000|CCO|JULIAN ASSANGE. 
20101208023008.000|20101208023031.000|SEG|Type=Story
20101208023008.000|20101208023009.000|CCO|>>> AND MAKING A DIFFERENCE, 
20101208023009.000|20101208023010.000|CCO|THREE COUSINS BRINGING THEIR 
20101208023010.000|20101208023011.000|CCO|GIFTS TO OTHER KIDS AND HOPING 
20101208023011.000|20101208023016.000|CCO|TO CHANGE LIVES ONE NOTE AT A 
20101208023016.000|20101208023021.000|CCO|TIME.
20101208023021.000|20101208023022.429|CCO|"NIGHTLY NEWS" BEGINS 
20101208023022.429|20101208023023.857|CCO|NOW.
20101208023023.857|20101208023025.286|CCO|NOW
20101208023025.286|20101208023032.000|SEG_01|Type=Commercial
20101208023025.286|20101208023026.714|CCO|    
20101208023026.714|20101208023028.143|CCO|    CAPTIONS PAID FOR BY
20101208023028.143|20101208023029.571|CCO|    
20101208023029.571|20101208023031.000|CCO|    NBC-UNIVERSAL TELEVISION
20101208023031.000|20101208023034.000|SEG|Type=Story
20101208023031.000|20101208023032.000|CCO|>>> GOOD EVENING.
20101208023032.000|20101208023033.000|SEG_01|Type=Story start
20101208023032.000|20101208023033.000|CCO|ELIZABETH EDWARDS HAS DIED AT 
20101208023033.000|20101208023034.000|CCO|THE AGE OF 
20101208023034.000|20101208023516.000|SEG|Type=Story
20101208023034.000|20101208023035.000|CCO|>>> GOOD EVENING.
20101208023035.000|20101208023036.000|CCO|ELIZABETH EDWARDS HAS DIED AT 
20101208023036.000|20101208023037.000|CCO|THE AGE OF 61.
20101208023037.000|20101208023038.000|CCO|SHE HAD MORE THAN HER SHARE OF 
20101208023038.000|20101208023039.000|CCO|SUFFERING IN HER LIFETIME.
20101208023039.000|20101208023040.000|CCO|SHE BURIED A CHILD.
20101208023040.000|20101208023041.000|CCO|SHE BRAVELY FOUGHT BREAST 
20101208023041.000|20101208023042.429|CCO|CANCER.
20101208023042.429|20101208023043.857|CCO|AND SHE HAD TO LIVE THROUGH HER 
20101208023043.857|20101208023045.286|CCO|HUSBAND'S SPECTACULARLY PUBLIC 
20101208023045.286|20101208023046.714|CCO|INFIDELITY.
20101208023046.714|20101208023048.143|CCO|ALL ALONG AS RECENTLY AS LAST 
20101208023048.143|20101208023049.571|CCO|NIGHT, SHE TRIED TO EMPHASIZE 
20101208023049.571|20101208023051.000|CCO|THE POSITIVE, EMPHASIZE OTHERS 
20101208023051.000|20101208023052.667|CCO|WHO ADMIRED HER AS A LIFEFORCE, 
20101208023052.667|20101208023054.333|CCO|AND AS A FORMIDABLE FIGURE IN 
20101208023054.333|20101208023056.000|CCO|AMERICAN POLITICS AND IN LIFE 
20101208023056.000|20101208023057.667|CCO|THESE PAST SEVERAL YEARS.
20101208023057.667|20101208023059.333|CCO|IN THE END SHE WAS SURROUNDED BY
20101208023059.333|20101208023101.000|CCO|HER FAMILY AT HER HOME IN NORTH 
20101208023101.000|20101208023103.000|CCO|CAROLINA.
20101208023103.000|20101208023105.000|CCO|>> I'M ELIZABETH EDWARDS -- 
20101208023105.000|20101208023107.000|CCO|>> SHE BECAME A ROLE MODEL FOR 
20101208023107.000|20101208023109.000|CCO|THOUSANDS OF WOMEN. 
20101208023109.000|20101208023111.000|CCO|>> IT'S ACTUALLY GOOD TO FEEL 
20101208023111.000|20101208023112.667|CCO|LIKE YOU CAN BE AN INSPIRATION 
20101208023112.667|20101208023114.333|CCO|TO PEOPLE.
20101208023114.333|20101208023116.000|CCO|I WANT TO BE PART OF THE 
20101208023116.000|20101208023117.667|CCO|SISTERHOOD. 
20101208023117.667|20101208023119.333|CCO|>> A SISTERHOOD UNITED BY HER 
20101208023119.333|20101208023121.000|CCO|VERY PUBLIC BATTLE WITH CANCER.
20101208023121.000|20101208023122.429|CCO|WHEN YEARS EARLIER THE COUPLE 
20101208023122.429|20101208023123.857|CCO|HAD ALREADY BURIED THEIR SON, 
20101208023123.857|20101208023125.286|CCO|WADE, WHO DIED IN A CAR 
20101208023125.286|20101208023126.714|CCO|ACCIDENT. 
