TOP|20101208030002|2010-12-08_0300_US_CNN_Anderson_Cooper_360
COL|Communication Studies Archive, UCLA 
UID|403d8092-0277-11e0-89e8-00e0815fe86c
DUR|0:59:54.03
VID|640x480
CMT|
TPF|transcripts.cnn.com|acd.01.html
HED|Elizabeth Edwards Dies at Age 61; Republicans Running the Clock Out on Don't Ask, Don't Tell Repeal?; Interview With Connecticut Senator Joe Lieberman; President Obama Defends Tax Cut Deal With Republicans
LAN|ENG
LBT|2010-12-07 19:00 America/Los_Angeles
SEG_01|2014-06-18 17:47:30|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101208030005.636|20101208030022.000|SEG|Type=Story
20101208030005.636|20101208030006.545|CCO|NCLUSIONS. 
20101208030006.545|20101208030007.455|CCO|>> PLEASE, PLEASE ASK THE 
20101208030007.455|20101208030008.364|CCO|QUESTIONS.
20101208030008.364|20101208030009.273|CCO|KEEP YOUR PRAYERS OUT THERE TO 
20101208030009.273|20101208030010.182|CCO|MY FAMILY.
20101208030010.182|20101208030011.091|CCO|I LOVE YOU, TO MY FANS, THANK 
20101208030011.091|20101208030012.000|CCO|YOU FOR YOUR SUPPORT.
20101208030012.000|20101208030013.667|CCO|WE'LL CONTINUE TO FIGHT.
20101208030013.667|20101208030015.333|CCO|>> Larry: WESLEY SNIPES.
20101208030015.333|20101208030017.000|CCO|ANGELINA JOLIE AND CELINE DION 
20101208030017.000|20101208030018.667|CCO|BOTH TOMORROW NIGHT.
20101208030018.667|20101208030020.333|CCO|NOW ANDERSON COOPER AND "AC 
20101208030020.333|20101208030022.000|CCO|360."
20101208030022.000|20101208030108.000|SEG|Type=Story
20101208030022.000|20101208030023.250|CCO|>>> LARRY, THANKS VERY MUCH.
20101208030023.250|20101208030024.500|CCO|WE BEGIN WITH THE BREAKING NEWS 
20101208030024.500|20101208030025.750|CCO|TONIGHT, FAMILY AND FRIENDS HAVE
20101208030025.750|20101208030027.000|CCO|BEEN GATHERS AT THE HOME OF 
20101208030027.000|20101208030028.250|CCO|ELIZABETH EDWARDS WHO DIED TODAY
20101208030028.250|20101208030029.500|CCO|AFTER A SIX-YEAR STRUGGLE WITH 
20101208030029.500|20101208030030.750|CCO|BREAST CANCER.
20101208030030.750|20101208030032.000|CCO|WE'RE GOING TO TAKE A LOOK AT 
20101208030032.000|20101208030034.500|CCO|HER LIFE, THE LOTS SHE SUFFERED,
20101208030034.500|20101208030037.000|CCO|THE TRIALS SHE OVERCAME AND THE 
20101208030037.000|20101208030039.500|CCO|CANCER BATTLE THAT SHE 
20101208030039.500|20101208030042.000|CCO|ULTIMATELY SUCCUMBED TO.
20101208030042.000|20101208030043.667|CCO|ALSO TONIGHT KEEPING THEM 
20101208030043.667|20101208030045.333|CCO|HONEST, POLITICIANS AGAINST 
20101208030045.333|20101208030047.000|CCO|REPEALING DON'T ASK DON'T TELL 
20101208030047.000|20101208030048.667|CCO|NOW SAYING THERE'S JUST NOT 
20101208030048.667|20101208030050.333|CCO|ENOUGH TIME TO VOTE ON IT BUT 
20101208030050.333|20101208030052.000|CCO|ARE THEY SIMPLY TRYING TO RUN 
20101208030052.000|20101208030053.667|CCO|OUT THE CLOCK AND IS THEIR CLOCK
20101208030053.667|20101208030055.333|CCO|EVEN ACCURATE? 
20101208030055.333|20101208030057.000|CCO|WE'VE GOT THE FACTS THAT 
20101208030057.000|20101208030058.667|CCO|INDICATE KNOW.
20101208030058.667|20101208030100.333|CCO|SENATOR JOE LIEBERMAN JOINS US, 
20101208030100.333|20101208030102.000|CCO|HE WANTS TO WORK UNTIL CHRISTMAS
20101208030102.000|20101208030104.000|CCO|AND BEYOND BECAUSE HE SAYS THE 
20101208030104.000|20101208030106.000|CCO|TROOPS AND BEYOND DESERVE NO 
20101208030106.000|20101208030108.000|CCO|LESS.
20101208030108.000|20101208030132.000|SEG|Type=Story
20101208030108.000|20101208030110.000|CCO|>>> AND ACCUSED OFFING SEX ON 
20101208030110.000|20101208030112.000|CCO|SEVERAL YOUNG MEN, BISHOP EDDIE 
20101208030112.000|20101208030114.000|CCO|LONG, HE SAID HE WAS GOING TO 
20101208030114.000|20101208030116.000|CCO|FIGHT THE ALLEGATIONS LIKE DAVID
20101208030116.000|20101208030118.000|CCO|AGAINST GOLIATH BUT NOW HE'S 
20101208030118.000|20101208030120.000|CCO|WILLING TO NEGOTIATE YAS, 
20101208030120.000|20101208030122.000|CCO|PASSING ON A TRIAL AND GOING FOR
20101208030122.000|20101208030124.000|CCO|MEDIATION S THAT SIMPLY A LEGAL 
20101208030124.000|20101208030126.000|CCO|MANEUVER TO SETTLE THINGS FAST 
20101208030126.000|20101208030128.000|CCO|AND QUIETLY OR MAYBE AN 
20101208030128.000|20101208030130.000|CCO|ADMISSION THAT THE STORY IS MORE
20101208030130.000|20101208030132.000|CCO|COMPLICATED THAN HE SUGGESTED.
20101208030132.000|20101208031302.500|SEG|Type=Story
20101208030132.000|20101208030133.667|CCO|>>> WE BEGIN TONIGHT WITH THE 
20101208030133.667|20101208030135.333|CCO|BREAKING NEWS, THE SAD NEWS THAT
20101208030135.333|20101208030137.000|CCO|MAY HAVE BEEN EXPECTED BUT 
20101208030137.000|20101208030138.667|CCO|FRANKLY FEW EXPECTED SO SOON.
20101208030138.667|20101208030140.333|CCO|ONE DAY AFTER ANNOUNCING ON HER 
20101208030140.333|20101208030142.000|CCO|FACEBOOK PAGE THAT SHE WAS 
20101208030142.000|20101208030143.667|CCO|STOPPING TREATMENT FOR BREAST 
20101208030143.667|20101208030145.333|CCO|CANCER, ELIZABETH EDWARDS DIED 
20101208030145.333|20101208030147.000|CCO|THIS MORNING AT HER HOME IN 
20101208030147.000|20101208030148.667|CCO|CHAPEL HILL, NORTH CAROLINA.
20101208030148.667|20101208030150.333|CCO|THE END OF A SIX-YEAR STRUGGLE 
20101208030150.333|20101208030152.000|CCO|AND SHE WAS JUST 61 YEARS OLD.
20101208030152.000|20101208030153.000|CCO|WE'RE TOLD SHE DIED SURROUNDED 
20101208030153.000|20101208030154.000|CCO|BY FAMILY.
20101208030154.000|20101208030155.000|CCO|HER ESTRANGED HUSBAND JOHN 
20101208030155.000|20101208030156.000|CCO|EDWARDS WAS THERE AS WELL AS THE
20101208030156.000|20101208030157.000|CCO|COUPLE'S CHILDREN.
20101208030157.000|20101208030158.000|CCO|THIS EVENING, FRIENDS AND FAMILY
20101208030158.000|20101208030159.000|CCO|MEMBERS HAVE BEEN VISITING THE 
20101208030159.000|20101208030200.000|CCO|HOUSE.
20101208030200.000|20101208030201.429|CCO|IN A MOMENT WE'RE GOING TO TALK 
20101208030201.429|20101208030202.857|CCO|WITH A LONG-TIME FRIEND AND 
20101208030202.857|20101208030204.286|CCO|COLLEAGUE OF ELIZABETH'S WHO 
20101208030204.286|20101208030205.714|CCO|WENT TO THE HOUSE TO PAY HIS 
20101208030205.714|20101208030207.143|CCO|RESPECTS JUST A FEW HOURS AGO.
20101208030207.143|20101208030208.571|CCO|FOR THE EDWARDS KIDS, OF COURSE,
20101208030208.571|20101208030210.000|CCO|THIS IS A DEVASTATING BLOW.
20101208030210.000|20101208030211.667|CCO|THEY HAVE TWO SMALL CHILDREN.
20101208030211.667|20101208030213.333|CCO|10-YEAR-OLD JACK AND 12-YEAR-OLD
20101208030213.333|20101208030215.000|CCO|EMMA CLAIRE.
20101208030215.000|20101208030216.667|CCO|THEIR DAUGHTER CATE IS 28.
20101208030216.667|20101208030218.333|CCO|THE EDWARDS MET DURING LAW 
20101208030218.333|20101208030220.000|CCO|SCHOOL AT THE UNIVERSITY OF 
20101208030220.000|20101208030221.429|CCO|NORTH CAROLINA AND WERE MARRIED 
20101208030221.429|20101208030222.857|CCO|JUST DAYS AFTER TAKING THEIR 
20101208030222.857|20101208030224.286|CCO|STATE BAR EXAMPLES.
20101208030224.286|20101208030225.714|CCO|THEY LOOK SO YOUNG THERE.
20101208030225.714|20101208030227.143|CCO|ELIZABETH EDWARDS SAID THAT THE 
