TOP|20101208030001|2010-12-08_0300_US_KNBC_EXTRA
COL|Communication Studies Archive, UCLA 
UID|3fba6fe0-0277-11e0-9df8-00e0815fe930
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-07 19:00 America/Los_Angeles
SEG_01|2014-06-18 17:47:36|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101208030011.000|20101208032956.000|SEG|Type=Story
20101208030011.000|20101208030018.500|SEG_01|Type=Commercial
20101208030011.000|20101208030013.500|CCO|[CAPTIONING MADE POSSIBLE BY  
20101208030013.500|20101208030016.000|CCO|WARNER BROS. DOMESTIC TELEVISION
20101208030016.000|20101208030018.500|CCO|DISTRIBUTION] 
20101208030018.500|20101208030021.000|SEG_01|Type=Story start
20101208030018.500|20101208030021.000|CCO|>> I'M MARIO LOPEZ. 
20101208030021.000|20101208030022.250|CCO|ELIZABETH EDWARDS LOSES HER 
20101208030022.250|20101208030023.500|CCO|BATTING WITH CANCER.
20101208030023.500|20101208030024.750|CCO|HOW SHE SPENT HER BRAVE FINAL 
20101208030024.750|20101208030026.000|CCO|DAYS. 
20101208030026.000|20101208030027.250|CCO|SPREADS.
20101208030027.250|20101208030028.500|CCO|CAPTIONED BY THE
20101208030028.500|20101208030029.750|CCO|NATIONAL CAPTIONING 
20101208030029.750|20101208030031.000|CCO|INSTITUTE 
20101208030031.000|20101208030033.500|CCO|---WWW.NCICAP.ORG---
20101208030033.500|20101208030036.000|CCO|>> ELIZABETH TELLING EXTRA WHY  
20101208030036.000|20101208030038.500|CCO|SHE NEVER STOPPED FIGHTING. 
20101208030038.500|20101208030041.000|CCO|HER PART BREAKING GOODBYE 
20101208030041.000|20101208030042.667|CCO|LETTER. 
20101208030042.667|20101208030044.333|CCO|>> THE DAYS FOR ALL OF US ARE 
20101208030044.333|20101208030046.000|CCO|NUMBERED. 
20101208030046.000|20101208030047.667|CCO|>> WHY SHE LET JOHN BACK IN AT  
20101208030047.667|20101208030049.333|CCO|THE END.
20101208030049.333|20101208030051.000|CCO|>> THEY ACTUALLY SAT DOWN WITH  
20101208030051.000|20101208030052.429|CCO|THE GIDS. 
20101208030052.429|20101208030053.857|CCO|>> MEL GIBSON TRYING TO PROVE 
20101208030053.857|20101208030055.286|CCO|HE'S FIT TO RAISE LUCIA?
20101208030055.286|20101208030056.714|CCO|NEW PHOTOS. 
20101208030056.714|20101208030058.143|CCO|AND BRAD AND ANGIE'S NEW YORK 
20101208030058.143|20101208030059.571|CCO|DATE NIGHT. 
20101208030059.571|20101208030101.000|CCO|WATCH THE HANDS, BRAD.
20101208030101.000|20101208030102.250|CCO|>> NEW VIDEO, ANGELINA TAKING 
20101208030102.250|20101208030103.500|CCO|THE KIDS CHRISTMAS SHOPPING, AND
20101208030103.500|20101208030104.750|CCO|HOW SHE ANSWERED THIS.
20101208030104.750|20101208030106.000|CCO|>> YOU MUST HIT HOME SOMETIMES
20101208030106.000|20101208030107.250|CCO|IN YOUR PAJAMAS AND SAY WHAT IS 
20101208030107.250|20101208030108.500|CCO|IT ABOUT ME THEY FIND SO
20101208030108.500|20101208030109.750|CCO|FASCINATING?
20101208030109.750|20101208030111.000|CCO|>> BRITNEY RUNS AWAY TO MEXICO
20101208030111.000|20101208030112.429|CCO|WITH JASON. 
20101208030112.429|20101208030113.857|CCO|NEW PHOTOS AS THE THEY ESCAPE 
20101208030113.857|20101208030115.286|CCO|THE FALSE HEADLINES HE BEAT 
20101208030115.286|20101208030116.714|CCO|HER.
20101208030116.714|20101208030118.143|CCO|>> RUSSELL BRAND HIJACKS THE
20101208030118.143|20101208030119.571|CCO|G.P.S.
20101208030119.571|20101208030121.000|CCO|>> HI, RUSSELL! 
20101208030121.000|20101208030123.500|CCO|>> HELLO. 
20101208030123.500|20101208030126.000|CCO|>> WELCOME TO "EXTRA," I'M MARIO
20101208030126.000|20101208030128.500|CCO|LOPEZ.
20101208030128.500|20101208030131.000|CCO|WE BEGIN WITH VERY SAD NEWS.
20101208030131.000|20101208030136.000|CCO|>> ELIZABETH EDWARDS HAS DIED,  
20101208030136.000|20101208030141.000|CCO|AND WE HAVE NEW DETAILS ON HOW  
20101208030141.000|20101208030144.333|CCO|SHE SPENT HER FINAL DAYS. 
20101208030144.333|20101208030147.667|CCO|>> WE WATCHED THE STRENGTH OF 
20101208030147.667|20101208030151.000|CCO|ELIZABETH EDWARDS' HOPE.
20101208030151.000|20101208030153.000|CCO|>> IF CANCER EVENTUALLY TAKES 
20101208030153.000|20101208030155.000|CCO|ME. 
