TOP|20101208063001|2010-12-08_0630_US_ComedyCentral_Daily_Show
COL|Communication Studies Archive, UCLA 
UID|96396cc8-0294-11e0-8f51-00e0815fe86c
DUR|0:34:54.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-07 22:30 America/Los_Angeles
SEG_01|2014-06-18 17:47:50|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101208063004.636|20101208070455.000|SEG|Type=Story
20101208063004.636|20101208063221.000|SEG_01|Type=Commercial
20101208063004.636|20101208063005.545|CCO|                 Is it visitors?
20101208063005.545|20101208063006.455|CCO|             I want to see them.
20101208063006.455|20101208063007.364|CCO|          It's nobody.
20101208063007.364|20101208063008.273|CCO| Now sign that will I gave you.
20101208063008.273|20101208063009.182|CCO|         He's not here.
20101208063009.182|20101208063010.091|CCO|Oh, for the love of Benji.
20101208063010.091|20101208063011.000|CCO|                      (groans)
20101208063011.000|20101208063014.333|CCO|Ah... Ooh...
20101208063014.333|20101208063017.667|CCO|       I am the professor!
20101208063017.667|20101208063021.000|CCO|  Great and... uh... forgetful.
20101208063021.000|20101208063023.000|CCO|           (squeals)
20101208063023.000|20101208063025.000|CCO|Now, what do you nice kids want?
20101208063025.000|20101208063027.000|CCO|      Nothing. I'm leaving.
20101208063027.000|20101208063029.000|CCO| But if you have extra courage,
20101208063029.000|20101208063031.000|CCO| I'd haul it away for you maybe?
20101208063031.000|20101208063033.000|CCO|        Oh, blitherypoop,
20101208063033.000|20101208063035.000|CCO|      my cowardly lobster.
20101208063035.000|20101208063037.000|CCO|     You don't need courage.
20101208063037.000|20101208063039.000|CCO|  After all, who needs courage
20101208063039.000|20101208063041.000|CCO|        when you have...
20101208063041.000|20101208063042.667|CCO|                          a gun.
20101208063042.667|20101208063044.333|CCO|       (mimics gunshots)
20101208063044.333|20101208063046.000|CCO|           No, world,
20101208063046.000|20101208063047.667|CCO|     you put your hands up.
20101208063047.667|20101208063049.333|CCO|          And you, lad,
20101208063049.333|20101208063051.000|CCO|    all you need is a brain.
20101208063051.000|20101208063052.667|CCO|        Why does everyone
20101208063052.667|20101208063054.333|CCO|        keep saying that?
20101208063054.333|20101208063056.000|CCO|       This is a stick up.
20101208063056.000|20101208063057.667|CCO|Give me the bag, old man.
20101208063057.667|20101208063059.333|CCO|                  Oh... here you
20101208063059.333|20101208063101.000|CCO|                  go, my friend.
20101208063101.000|20101208063102.667|CCO|            5,000 Professor-land
20101208063102.667|20101208063104.333|CCO|            fun bucks.
20101208063104.333|20101208063106.000|CCO|             BENDER:
20101208063106.000|20101208063107.667|CCO|            Oh, crap.
20101208063107.667|20101208063109.333|CCO|     As for you, young lady,
20101208063109.333|20101208063111.000|CCO|   you want to go home, right?
20101208063111.000|20101208063112.250|CCO|        No, not anymore.
20101208063112.250|20101208063113.500|CCO|       I want to stay here
20101208063113.500|20101208063114.750|CCO|and become the new wicked witch.
20101208063114.750|20101208063116.000|CCO|            Nonsense.
20101208063116.000|20101208063117.250|CCO| Now click you big honking boots
20101208063117.250|20101208063118.500|CCO|      together three times
20101208063118.500|20101208063119.750|CCO|  and wish to go home to Kansas
20101208063119.750|20101208063121.000|CCO|       to live in poverty
20101208063121.000|20101208063123.500|CCO|     with your dirt-farming,
20101208063123.500|20101208063126.000|CCO|   teetotaling aunt and uncle.
20101208063126.000|20101208063128.500|CCO|         Uh, all right.
