TOP|20101208073501|2010-12-08_0735_US_KABC_Nightline
COL|Communication Studies Archive, UCLA 
UID|aa8baf16-029d-11e0-8733-00e0815fe92e
DUR|0:30:55.01
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-07 23:35 America/Los_Angeles
SEG_01|2014-06-18 17:47:57|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101208073511.000|20101208073535.286|SEG|Type=Story
20101208073511.000|20101208073521.000|CCO|>>> TONIGHT ON "NIGHTLINE," 
20101208073521.000|20101208073522.667|CCO|SAYING GOOD-BYE.
20101208073522.667|20101208073524.333|CCO|SHE WAS A POLITICAL SPOUSE WHO 
20101208073524.333|20101208073526.000|CCO|BECAME SOMETHING MORE.
20101208073526.000|20101208073527.667|CCO|A BELOVED ACTIVIST AND AUTHOR.
20101208073527.667|20101208073529.333|CCO|A VETERAN OF DRAMATIC HIGHS AND 
20101208073529.333|20101208073531.000|CCO|LOWS.
20101208073531.000|20101208073532.429|CCO|ELIZABETH EDWARDS SUCCUMBED 
20101208073532.429|20101208073533.857|CCO|TODAY OF CANCER AND WE HAVE HER 
20101208073533.857|20101208073535.286|CCO|STORY. 
20101208073535.286|20101208073547.667|SEG|Type=Story
20101208073535.286|20101208073536.714|CCO|>>> THE LOST INTERVIEW.
20101208073536.714|20101208073538.143|CCO|BEATLES LEGEND JOHN LENNON WAS 
20101208073538.143|20101208073539.571|CCO|ASSASSINATED 30 YEARS AGO 
20101208073539.571|20101208073541.000|CCO|TOMORROW.
20101208073541.000|20101208073542.667|CCO|BUT DAYS BEFORE, HE GAVE ONE 
20101208073542.667|20101208073544.333|CCO|FINAL INTERVIEW, NEVER HEARD 
20101208073544.333|20101208073546.000|CCO|BEFORE, UNTIL TONIGHT ON 
20101208073546.000|20101208073547.667|CCO|"NIGHTLINE."
20101208073547.667|20101208074438.143|SEG|Type=Story
20101208073547.667|20101208073549.333|CCO|>>> AND, DONE DEAL.
20101208073549.333|20101208073551.000|CCO|PRESIDENT OBAMA SPOKES A RARE 
20101208073551.000|20101208073552.429|CCO|FLASH OF EMOTION DEFENDING HIS 
20101208073552.429|20101208073553.857|CCO|TAX COMPROMISE WITH REPUBLICANS.
20101208073553.857|20101208073555.286|CCO|>> TAKE A TALLY.
20101208073555.286|20101208073556.714|CCO|LOOK AT WHAT I PROMISED DURING 
20101208073556.714|20101208073558.143|CCO|THE CAMPAIGN.
20101208073558.143|20101208073559.571|CCO|>> BUT HOW WILL IT AFFECT YOUR 
20101208073559.571|20101208073601.000|CCO|BOTTOM LINE?
20101208073601.000|20101208073603.000|CCO|WE HAVE THE DETAILS.
20101208073603.000|20101208073605.000|CCO|>> Announcer: FROM THE GLOBAL 
20101208073605.000|20101208073607.000|CCO|RESOURCES OF ABC NEWS, WITH 
20101208073607.000|20101208073609.000|CCO|TERRY MORAN, CYNTHIA McFADDEN 
20101208073609.000|20101208073611.000|CCO|AND BILL WEIR IN NEW YORK CITY, 
20101208073611.000|20101208073612.667|CCO|THIS IS "NIGHTLINE," DECEMBER 
20101208073612.667|20101208073614.333|CCO|7th, 2010.
20101208073614.333|20101208073616.000|CCO|>> GOOD EVENING, EVERYONE, I'M 
20101208073616.000|20101208073617.667|CCO|BILL WEIR.
20101208073617.667|20101208073619.333|CCO|AND TODAY, THE NATION LOST AN 
20101208073619.333|20101208073621.000|CCO|INSPIRATIONAL FIGURE.
20101208073621.000|20101208073622.667|CCO|A WOMAN WHO OVERCAME PUBLIC AND 
20101208073622.667|20101208073624.333|CCO|PRIVATE ADVERSITY TO COMMUNICATE
20101208073624.333|20101208073626.000|CCO|A GOSPEL OF RESILIENCE, AS HER 
20101208073626.000|20101208073627.667|CCO|LAST BOOK WAS CALLED.
20101208073627.667|20101208073629.333|CCO|THE DAUGHTER OF A NAVY BOOT LOT,
20101208073629.333|20101208073631.000|CCO|SHE WAS BORN IN FLORIDA 
20101208073631.000|20101208073633.500|CCO|61-YEAR-OLDS AGO, WENT TO LAW 
20101208073633.500|20101208073636.000|CCO|SCHOOL AND MET THE YOUNGER MAN 
20101208073636.000|20101208073638.500|CCO|WHO WOULD CHANGE HER LIFE.
20101208073638.500|20101208073641.000|CCO|TONIGHT, CYNTHIA McFADDEN 
20101208073641.000|20101208073642.429|CCO|REMEMBERS ELIZABETH EDWARDS.
20101208073642.429|20101208073643.857|CCO|>> Reporter: THIS WAS THE MOMENT
20101208073643.857|20101208073645.286|CCO|AMERICA REALLY SAW WHAT 
20101208073645.286|20101208073646.714|CCO|ELIZABETH EDWARDS WAS MADE OF.
20101208073646.714|20101208073648.143|CCO|>> WE'RE GOING TO ALWAYS LOOK 
20101208073648.143|20101208073649.571|CCO|FOR THE SILVER LINING.
20101208073649.571|20101208073651.000|CCO|IT IS WHO WE ARE AS PEOPLE.
20101208073651.000|20101208073652.429|CCO|>> Reporter: IT WAS MARCH 2007, 
20101208073652.429|20101208073653.857|CCO|STANDING NEXT TO HER HUSBAND, 
20101208073653.857|20101208073655.286|CCO|JOHN, TAKING A BREAK FROM HIS 
