TOP|20101208130001|2010-12-08_1300_US_CNN_American_Morning
COL|Communication Studies Archive, UCLA 
UID|116c8f66-02cb-11e0-8e51-00e0815fe826
DUR|0:59:55.02
VID|640x480
CMT|
TPF|transcripts.cnn.com|ltm.03.html
HED|Tax Cut: A Back Door Stimulus?; Dems: Obama Caved to GOP; Remembering Elizabeth Edwards; Cheney Facing Bribery Charges; Missing Soldier On Video; Aussies Blame U.S. For Leaks; CNN Documentary Reflects on John
LAN|ENG
LBT|2010-12-08 05:00 America/Los_Angeles
SEG_01|2014-06-18 17:48:20|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101208130007.667|20101208130022.667|SEG|Type=Story
20101208130007.667|20101208130009.333|CCO|I'M JOHN ROBERTS. 
20101208130009.333|20101208130011.000|CCO|>> I'M KIRAN CHETRY.
20101208130011.000|20101208130013.000|CCO|THE PRESIDENT ON THE DEFENSIVE.
20101208130013.000|20101208130015.000|CCO|IT IS NOT SITTING WELL THIS 
20101208130015.000|20101208130017.000|CCO|MORNING WITH MEMBERS OF HIS OWN 
20101208130017.000|20101208130019.000|CCO|PARTY BUT IS THIS DEAL ACTUALLY 
20101208130019.000|20101208130021.000|CCO|A BACK DOOR STIMULUS FOR THE 
20101208130021.000|20101208130022.667|CCO|ECONOMY?
20101208130022.667|20101208130033.857|SEG|Type=Story
20101208130022.667|20101208130024.333|CCO|>>> LEADER OF AUSTRALIA 
20101208130024.333|20101208130026.000|CCO|ENCYSTING THAT JULIAN ASSANGE IS
20101208130026.000|20101208130027.667|CCO|NOT TO BLAME FOR LEAKS AT THE 
20101208130027.667|20101208130029.333|CCO|STATE DEPARTMENT POINTING THE 
20101208130029.333|20101208130031.000|CCO|FINGER INSTEAD AT AMERICA AND 
20101208130031.000|20101208130032.429|CCO|NOW ASSANGE AT SARAH PALIN, 
20101208130032.429|20101208130033.857|CCO|ENGAGING IN A WAR OF WORDS. 
20101208130033.857|20101208130047.667|SEG|Type=Story
20101208130033.857|20101208130035.286|CCO|>>> ALSO TROUBLING NUMBERS OUT 
20101208130035.286|20101208130036.714|CCO|ON AMERICAN SCHOOLS AND HOW THEY
20101208130036.714|20101208130038.143|CCO|RANK COMPARED TO THE REST OF THE
20101208130038.143|20101208130039.571|CCO|WORLD.
20101208130039.571|20101208130041.000|CCO|THE U.S. USED TO BE AT THE TOP 
20101208130041.000|20101208130042.667|CCO|OF THE CLASS.
20101208130042.667|20101208130044.333|CCO|NOW, WELL, JUST AVERAGE AND THE 
20101208130044.333|20101208130046.000|CCO|REAL EYE OPENER HERE IS WHO'S 
20101208130046.000|20101208130047.667|CCO|AHEAD OF US.
20101208130047.667|20101208130816.714|SEG|Type=Story
20101208130047.667|20101208130049.333|CCO|>>> WELL, PRESIDENT OBAMA TAKING
20101208130049.333|20101208130051.000|CCO|A REAL BEATING THIS MORNING, NOT
20101208130051.000|20101208130052.667|CCO|FROM REPUBLICANS BUT FROM HIS 
20101208130052.667|20101208130054.333|CCO|OWN PARTY.
20101208130054.333|20101208130056.000|CCO|DEMOCRATS RIPPING THE DEAL HE 
20101208130056.000|20101208130057.667|CCO|CUT TO EXTEND THE BUSH ERA TAX 
20101208130057.667|20101208130059.333|CCO|CUTS.
20101208130059.333|20101208130101.000|CCO|IN THE LAST HOUR, THE 
