TOP|20101208140001|2010-12-08_1400_US_MSNBC_The_Daily_Rundown
COL|Communication Studies Archive, UCLA 
UID|7372869a-02d3-11e0-a461-00e0815fe930
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-08 06:00 America/Los_Angeles
SEG_01|2014-06-18 17:48:30|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101208140005.000|20101208140024.333|SEG|Type=Story
20101208140005.000|20101208140006.000|CCO| ABOUT 
20101208140006.000|20101208140007.000|CCO|PEOPLE SMOKING AND REPAIRING 
20101208140007.000|20101208140008.000|CCO|THEIR LAWN MOWER.
20101208140008.000|20101208140009.000|CCO|>> IT WAS GREAT TO HAVE YOU ON, 
20101208140009.000|20101208140010.000|CCO|TOM, HAVING STING ON.
20101208140010.000|20101208140011.000|CCO|AND REMEMBER JOHN LENNON 30 
20101208140011.000|20101208140014.333|CCO|YEARS LATER TODAY.
20101208140014.333|20101208140017.667|CCO|>> STICK AROUND NOW FOR THE DA
20101208140017.667|20101208140021.000|CCO|DAILY RUNDOWN WITH CHUCK AND 
20101208140021.000|20101208140024.333|CCO|SAVANNAH.
20101208140024.333|20101208140039.333|SEG|Type=Story
20101208140024.333|20101208140027.667|CCO|>>> THIS ISN'T AN ABSTRACT 
20101208140027.667|20101208140031.000|CCO|DEBATE.
20101208140031.000|20101208140032.667|CCO|THIS IS REAL MONEY FOR REAL 
20101208140032.667|20101208140034.333|CCO|PEOPLE.
20101208140034.333|20101208140036.000|CCO|>> TELL US HOW YOU REALLY FEEL 
20101208140036.000|20101208140037.667|CCO|ABOUT THOSE LIBERALS CALLING YOU
20101208140037.667|20101208140039.333|CCO|A SELLOUT.
20101208140039.333|20101208140047.667|SEG|Type=Story
20101208140039.333|20101208140041.000|CCO|>>> JULIAN ASSANGE BEHIND BARS, 
20101208140041.000|20101208140044.333|CCO|BUT HIS SUPPORTERS ARE STRIKING 
20101208140044.333|20101208140047.667|CCO|BACK WITH COMPUTER ATTACKS.
20101208140047.667|20101208140201.000|SEG|Type=Story
20101208140047.667|20101208140051.000|CCO|>>> PLUS, HOW ELIZABETH EDWARDS 
20101208140051.000|20101208140052.429|CCO|IS BEING REMEMBERED THIS 
20101208140052.429|20101208140053.857|CCO|MORNING.
20101208140053.857|20101208140055.286|CCO|>> WE'RE GOING TO GET TO THE RUN
20101208140055.286|20101208140056.714|CCO|DOWN IN A MOMENT, BUT FIRST, 
20101208140056.714|20101208140058.143|CCO|WHAT WE'RE WATCHING TODAY AND AT
20101208140058.143|20101208140059.571|CCO|THE TOP, IT'S THE TAX DEAL.
20101208140059.571|20101208140101.000|CCO|IT'S THE FRAMEWORK SET IN STONE?
20101208140101.000|20101208140111.000|CCO|OR WILL P WHITE HOUSE HAVE TO 
20101208140111.000|20101208140113.000|CCO|REOPEN NEGOTIATIONS TO APPEASE 
20101208140113.000|20101208140115.000|CCO|DEMOCRATS.
20101208140115.000|20101208140117.000|CCO|>> WE'LL KEEP AN EYE ON THAT.
20101208140117.000|20101208140119.000|CCO|AND A NEW REPORT ON GITMO 
20101208140119.000|20101208140121.000|CCO|DETAINEES.
20101208140121.000|20101208140122.250|CCO|IT SHOWS THAT NEARLY A QUARTER 
20101208140122.250|20101208140123.500|CCO|OF ALL TERRORISTS THAT HAVE BEEN
20101208140123.500|20101208140124.750|CCO|RELEASED ARE BACK IN THE FIGHT.
20101208140124.750|20101208140126.000|CCO|A REMINDER OF HOW DIFFICULT THIS
20101208140126.000|20101208140127.250|CCO|IS FOR THE WHITE HOUSE AND 
20101208140127.250|20101208140128.500|CCO|FRANKLY, ANOTHER UNKEMPT 
20101208140128.500|20101208140129.750|CCO|CAMPAIGN PROMISE TO SHUT THE 
20101208140129.750|20101208140131.000|CCO|PRISON DOWN.
20101208140131.000|20101208140132.667|CCO|>> NOT THE DAY THEY WANTED THAT 
20101208140132.667|20101208140134.333|CCO|TO POP OUT.
20101208140134.333|20101208140136.000|CCO|AND MORE THAN A MONTH AFTER 
20101208140136.000|20101208140137.667|CCO|ELECTION DAY, MINNESOTA'S 
20101208140137.667|20101208140139.333|CCO|GOVERNOR'S RACE IS ABOUT TO COME
20101208140139.333|20101208140141.000|CCO|TO AN END.
20101208140141.000|20101208140143.000|CCO|TOM EMMER IS EXPECTED TO 
