TOP|20101208160001|2010-12-08_1600_US_KCBS_The_Early_Show
COL|Communication Studies Archive, UCLA 
UID|36c0c764-02e4-11e0-9419-00e0815fe725
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-08 08:00 America/Los_Angeles
SEG_01|2014-06-18 17:49:04|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101208160021.000|20101208160058.143|SEG|Type=Story
20101208160021.000|20101208160022.667|CCO|>>> AND HAS IS SOME GOOD ENERGY.
20101208160022.667|20101208160024.333|CCO|>> YES, SIR. 
20101208160024.333|20101208160026.000|CCO|>> CHILLY MORNING.
20101208160026.000|20101208160027.667|CCO|GREAT WAY TO STAY WARM.
20101208160027.667|20101208160029.333|CCO|COME DOWN HERE TO THE PLAZA.
20101208160029.333|20101208160031.000|CCO|JUMP UP AND DOWN AND SCREAM. 
20101208160031.000|20101208160032.111|CCO|>> YES.
20101208160032.111|20101208160033.222|CCO|DRESS UP LIKE A -- 
20101208160033.222|20101208160034.333|CCO|>> A REINDEER OR A CHRISTMAS 
20101208160034.333|20101208160035.444|CCO|TREE. 
20101208160035.444|20101208160036.556|CCO|>> SOMETHING, YEAH.
20101208160036.556|20101208160037.667|CCO|LOOK GOOD. 
20101208160037.667|20101208160038.778|CCO|>> ANYTHING ELSE.
20101208160038.778|20101208160039.889|CCO|WELCOME BACK TO THE "EARLY 
20101208160039.889|20101208160041.000|CCO|SHOW," EVERYONE.
20101208160041.000|20101208160042.429|CCO|I'M ERICA HILL ALONG WITH HARRY 
20101208160042.429|20101208160043.857|CCO|SMITH.
20101208160043.857|20101208160045.286|CCO|A LOT TO GET TO INCLUDING MORE 
20101208160045.286|20101208160046.714|CCO|ON THE LIFE OF ELIZABETH EDWARDS
20101208160046.714|20101208160048.143|CCO|WHO LOST HER LONG BATTLE WITH 
20101208160048.143|20101208160049.571|CCO|CANCER YESTERDAY.
20101208160049.571|20101208160051.000|CCO|JOINED BY TWO FRIENDS WHO HAVE 
20101208160051.000|20101208160052.429|CCO|KNOWN THE FAMILY MANY YEARS.
20101208160052.429|20101208160053.857|CCO|BOTH AT THE EDWARDS' HOME THIS 
20101208160053.857|20101208160055.286|CCO|WEEK TO LET US KNOW HOW THE 
20101208160055.286|20101208160056.714|CCO|FAMILY IS GETTING ALONG THIS 
20101208160056.714|20101208160058.143|CCO|MORNING. 
20101208160058.143|20101208160123.500|SEG|Type=Story
20101208160058.143|20101208160059.571|CCO|>>> ALSO COMING UP AND ON A MUCH
20101208160059.571|20101208160101.000|CCO|LIGHTER NOTE WE HAVE MORE 
20101208160101.000|20101208160102.667|CCO|PERFECT PRESENTS FOR ANY BUDGET.
20101208160102.667|20101208160104.333|CCO|RIGHT?
20101208160104.333|20101208160106.000|CCO|BECAUSE WE WENT FROM $100 TO 
20101208160106.000|20101208160107.667|CCO|$50. 
20101208160107.667|20101208160109.333|CCO|>> YEP.
20101208160109.333|20101208160111.000|CCO|$25 NOW P. NOW WE'RE AT $25 OR 
20101208160111.000|20101208160112.429|CCO|LESS.
20101208160112.429|20101208160113.857|CCO|YOU'LL HAVE TO TAKE OUR WORD FOR
20101208160113.857|20101208160115.286|CCO|IT, EVEN THOUGH WE CAN'T SHOW 
20101208160115.286|20101208160116.714|CCO|THEM TO YOU JUST YET.
20101208160116.714|20101208160118.143|CCO|WE WILL OPEN THESE BOXES IN A 
20101208160118.143|20101208160119.571|CCO|FEW MINUTES AND YOU WILL BE SO 
20101208160119.571|20101208160121.000|CCO|PLEASED.
20101208160121.000|20101208160122.250|CCO|>> SO PLEASED THAT YOU'LL WANT 
20101208160122.250|20101208160123.500|CCO|TO BUY EVERY SINGLE ONE OF THEM.
