TOP|20101208170002|2010-12-08_1700_US_CNN_Newsroom
COL|Communication Studies Archive, UCLA 
UID|991995be-02ec-11e0-8b52-00e0815fe86c
DUR|0:59:54.03
VID|640x480
CMT|
TPF|transcripts.cnn.com|cnr.04.html
HED|Man Arrested in Alleged Terror Plot; Hackers Hit Financial Companies; New Images of Captured Soldier; CNN Politics Update; Getting a Read on the J.O.L.T Survey; Hot Off The Political Ticker; Trending On The Web;
LAN|ENG
LBT|2010-12-08 09:00 America/Los_Angeles
SEG_01|2014-06-18 17:49:10|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101208170012.000|20101208170032.000|SEG|Type=Story
20101208170012.000|20101208170032.000|SEG_01|Type=Commercial
20101208170012.000|20101208170012.833|CCO|    
20101208170012.833|20101208170013.667|CCO|          TRY CORTIZONE 10
20101208170013.667|20101208170014.500|CCO|    
20101208170014.500|20101208170015.333|CCO|          INTENSIVE HEALING.
20101208170015.333|20101208170016.167|CCO|    
20101208170016.167|20101208170017.000|CCO|          THE STRONGEST ITCH
20101208170017.000|20101208170017.833|CCO|    
20101208170017.833|20101208170018.667|CCO|          RELIEF MEDICINE
20101208170018.667|20101208170019.500|CCO|    
20101208170019.500|20101208170020.333|CCO|      NOW HAS THREE VITAMINS
20101208170020.333|20101208170021.167|CCO|    
20101208170021.167|20101208170022.000|CCO|      AND SEVEN MOISTURIZERS.
20101208170022.000|20101208170027.000|CCO|        
20101208170027.000|20101208170032.000|CCO|          FEEL THE HEAL.
20101208170032.000|20101208170049.143|SEG_01|Type=Story start
20101208170032.000|20101208170049.143|SEG|Type=Story
20101208170032.000|20101208170035.333|CCO|>>> HELLO, EVERYONE.
20101208170035.333|20101208170038.667|CCO|I'M DON LEMON.
20101208170038.667|20101208170042.000|CCO|TONY IS OFF TODAY.
20101208170042.000|20101208170043.429|CCO|IT'S THE TOP OF THE HOUR IN THE 
20101208170043.429|20101208170044.857|CCO|"CNN NEWSROOM," WHERE ANYTHING 
20101208170044.857|20101208170046.286|CCO|CAN HAPPEN.
20101208170046.286|20101208170047.714|CCO|HERE ARE SOME OF THE PEOPLE 
20101208170047.714|20101208170049.143|CCO|BEHIND TODAY'S TOP STORIES.
20101208170049.143|20101208170057.714|SEG|Type=Story
20101208170049.143|20101208170050.571|CCO|>>> A GIANT LEAP IN AMERICAN 
20101208170050.571|20101208170052.000|CCO|OUTSOURCING.
20101208170052.000|20101208170053.429|CCO|A PRIVATE ROCKET LAUNCHED TODAY 
20101208170053.429|20101208170054.857|CCO|COULD BRING BIG CHANGES FOR NASA
20101208170054.857|20101208170056.286|CCO|AND THE FUTURE OF AMERICA'S 
20101208170056.286|20101208170057.714|CCO|SPACE PROGRAM.
20101208170057.714|20101208170122.000|SEG|Type=Story
20101208170057.714|20101208170059.143|CCO|>>> HEART DISEASE.
20101208170059.143|20101208170100.571|CCO|IT IS THE LEADING CAUSE OF DEATH
20101208170100.571|20101208170102.000|CCO|IN THE UNITED STATES, AND WE'RE 
20101208170102.000|20101208170103.667|CCO|DIGGING DEEPER ON A SIMPLE BLOOD
20101208170103.667|20101208170105.333|CCO|TEST THATTED COULD BE A POWERFUL
20101208170105.333|20101208170107.000|CCO|TOOL TO SAVE LIVES.
20101208170107.000|20101208170108.667|CCO|YOU'RE ONLINE RIGHT NOW, AND SO 
20101208170108.667|20101208170110.333|CCO|ARE WE.
20101208170110.333|20101208170112.000|CCO|WE'RE TALKING ABOUT THE 30th 
20101208170112.000|20101208170113.111|CCO|ANNIVERSARY OF THE DEATH OF JOHN
20101208170113.111|20101208170114.222|CCO|LENNON.
20101208170114.222|20101208170115.333|CCO|WE'RE SHARING SOME OF YOUR 
20101208170115.333|20101208170116.444|CCO|REMEMBRANCES OF THAT FATEFUL 
20101208170116.444|20101208170117.556|CCO|DAY.
20101208170117.556|20101208170118.667|CCO|LET'S GET STARTED WITH OUR LEAD 
20101208170118.667|20101208170119.778|CCO|STORY RIGHT NOW.
20101208170119.778|20101208170120.889|CCO|AN UPDATE ON BREAKING NEWS WE'RE
20101208170120.889|20101208170122.000|CCO|FOLLOWING.
20101208170122.000|20101208170335.444|SEG|Type=Story
20101208170122.000|20101208170123.250|CCO|>>> A MAN ACCUSED OF ATTEMPT TO 
20101208170123.250|20101208170124.500|CCO|GO BLOW UP A MILITARY RECRUITING
20101208170124.500|20101208170125.750|CCO|STATION IS DUE IN COURT AT THIS 
20101208170125.750|20101208170127.000|CCO|HOUR.
20101208170127.000|20101208170128.250|CCO|HOMELAND SECURITY CORRESPONDENT 
20101208170128.250|20101208170129.500|CCO|JEANNE MESERVE IS JOINING US 
20101208170129.500|20101208170130.750|CCO|LIVE.
20101208170130.750|20101208170132.000|CCO|>> Reporter: THE COURT 
20101208170132.000|20101208170133.667|CCO|APPEARANCE IS NOW GOING TO 
20101208170133.667|20101208170135.333|CCO|HAPPEN AT 2:00 THIS AFTERNOON IN
20101208170135.333|20101208170137.000|CCO|BALTIMORE FOR THIS INDIVIDUAL 
20101208170137.000|20101208170138.667|CCO|DESCRIBED BY LAW ENFORCEMENT 
20101208170138.667|20101208170140.333|CCO|SOURCES AS A 21-YEAR-OLD U.S. 
20101208170140.333|20101208170142.000|CCO|CITIZEN, A CONVERT TO ISLAM WHO 
20101208170142.000|20101208170144.500|CCO|ALLEGEDLY TRIED TO TARGET A 
20101208170144.500|20101208170147.000|CCO|MILITARY RECRUITING CENTER IN 
20101208170147.000|20101208170149.500|CCO|CATONSVILLE, MARYLAND, WITH A 
20101208170149.500|20101208170152.000|CCO|TRUCK BOMB.
20101208170152.000|20101208170153.500|CCO|THOSE ARE THE CHARGES BEING MADE
20101208170153.500|20101208170155.000|CCO|AGAINST THIS INDIVIDUAL.
20101208170155.000|20101208170156.500|CCO|ACCORDING TO A LAW ENFORCEMENT 
20101208170156.500|20101208170158.000|CCO|SOURCE, THE FBI FOUND OUT ABOUT 
20101208170158.000|20101208170159.500|CCO|THIS INDIVIDUAL BACK IN OCTOBER 
20101208170159.500|20101208170201.000|CCO|WHEN SOMEONE REPORTED SOME VERY 
20101208170201.000|20101208170202.429|CCO|SUSPICIOUS FACEBOOK POSTINGS.
20101208170202.429|20101208170203.857|CCO|HE WAS THEN WATCHED BY THE FBI.
20101208170203.857|20101208170205.286|CCO|WHILE HE WAS BEING WATCHED, 
20101208170205.286|20101208170206.714|CCO|ACCORDING TO THIS LAW 
20101208170206.714|20101208170208.143|CCO|ENFORCEMENT SOURCE, HE TRIED TO 
20101208170208.143|20101208170209.571|CCO|RECRUIT THREE DIFFERENT MEMBERS 
20101208170209.571|20101208170211.000|CCO|OF THE PUBLIC TO HIS PLOT.
20101208170211.000|20101208170212.667|CCO|THEY ALL REBUFFED HIM.
20101208170212.667|20101208170214.333|CCO|ONE OF THEM TOLD HIM TO DROP 
