TOP|20101208170002|2010-12-08_1700_US_KNBC_Today_Show
COL|Communication Studies Archive, UCLA 
UID|98eef160-02ec-11e0-b388-00e0815fe930
DUR|0:29:54.04
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-08 09:00 America/Los_Angeles
SEG_01|2014-06-18 17:49:19|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101208170022.000|20101208170025.333|SEG|Type=Story
20101208170022.000|20101208170023.667|CCO|>>> WE'RE BACK WITH ANOTHER HOUR
20101208170023.667|20101208170025.333|CCO|OF "TODAY" ON THI
20101208170025.333|20101208170116.000|SEG|Type=Story
20101208170025.333|20101208170027.000|CCO|>>> WE'RE BACK.
20101208170027.000|20101208170028.667|CCO|ANOTHER HOUR OF "TODAY" ON THIS 
20101208170028.667|20101208170030.333|CCO|WEDNESDAY MORNING, THE 8th OF 
20101208170030.333|20101208170032.000|CCO|DECEMBER, 2010.
20101208170032.000|20101208170034.000|CCO|ANOTHER COLD MORNING IN THE 
20101208170034.000|20101208170036.000|CCO|NORTHEAST.
20101208170036.000|20101208170038.000|CCO|TEMPERATURES IN THE UPPER 20s, 
20101208170038.000|20101208170040.000|CCO|ONLY GOINGO THE LOW 30s TODAY.
20101208170040.000|20101208170042.000|CCO|>> THERE'S A BREEZE OUT THERE.
20101208170042.000|20101208170044.500|CCO|THESE ARE GREAT PEOPLE WHO HAVE 
20101208170044.500|20101208170047.000|CCO|GATHERED IN THE ROCKEFELLER 
20101208170047.000|20101208170049.500|CCO|PLAZA, IN THE SHADOW OF THE 
20101208170049.500|20101208170052.000|CCO|TREE, ALL BUNDLED UP.
20101208170052.000|20101208170054.500|CCO|WE THANK THEM FOR STICKING 
20101208170054.500|20101208170057.000|CCO|AROUND.
20101208170057.000|20101208170059.500|CCO|>ING UP, THE SAD STORY OF 
20101208170059.500|20101208170102.000|CCO|ELIZABETH EDWARDS SURROUNDED BY 
20101208170102.000|20101208170105.333|CCO|FAMILY AND FRIENDS ON TUESDAY, 
