TOP|20101208190001|2010-12-08_1900_US_KCBS_CBS_2_News_at_11
COL|Communication Studies Archive, UCLA 
UID|5c54bf6c-02fd-11e0-852e-00e0815ffae2
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-08 11:00 America/Los_Angeles
SEG_01|2014-02-03 01:06:26|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20101208190022.000|20101208192956.000|SEG|Type=Story
20101208190022.000|20101208190025.000|CCO|Bold and The Beautiful
20101208190025.000|20101208190028.000|CCO|KENT: GOOD MORNING I'M KENT
20101208190028.000|20101208190031.000|CCO|SHOCKNEK.
20101208190031.000|20101208190032.429|CCO|SIBILA: I'M SIBILA VARGAS.
20101208190032.429|20101208190033.857|CCO|WELCOME TO "CBS 2 NEWS" AT
20101208190033.857|20101208190035.286|CCO|11:00 AM.
20101208190035.286|20101208190036.714|CCO|>> A GROUP OF SOUTH LAND
20101208190036.714|20101208190038.143|CCO|SCHOOLTEACHERS ARE ON STRIKE
20101208190038.143|20101208190039.571|CCO|FIGHTING AGAINST THE
20101208190039.571|20101208190041.000|CCO|DISTRICT ON CUTS IN PAY.
20101208190041.000|20101208190042.429|CCO|KRISTINE LAZAR IS LIVE FROM
20101208190042.429|20101208190043.857|CCO|LA HABRA WITH REACTION ON
20101208190043.857|20101208190045.286|CCO|BOTH SIFTEDZ PICKET LINE AND
20101208190045.286|20101208190046.714|CCO|HOW STUDENTS ARE BEING
20101208190046.714|20101208190048.143|CCO|AFFECTED BY ALL THIS AS
20101208190048.143|20101208190049.571|CCO|WELL.
20101208190049.571|20101208190051.000|CCO|>> Reporter: THE STUDENTS
20101208190051.000|20101208190052.667|CCO|ARE THE MOST AFFECTED.
20101208190052.667|20101208190054.333|CCO|THE DISTRICT SAYS THAT NEXT
20101208190054.333|20101208190056.000|CCO|YEAR THEY WILL HAVE A
20101208190056.000|20101208190057.667|CCO|$4,000,000 DEFICIT.
20101208190057.667|20101208190059.333|CCO|THE TEACHERS THAT YOU CAN
20101208190059.333|20101208190101.000|CCO|SEE BEHIND ME FEEL LIKE THEY
20101208190101.000|20101208190102.667|CCO|HAVE NO CHOICE BUT TO BE ON
20101208190102.667|20101208190104.333|CCO|THE PICKET LINES.
20101208190104.333|20101208190106.000|CCO|RIGHT NOW THERE ARE NO
20101208190106.000|20101208190107.667|CCO|FUTURE TALKS SCHEDULED
20101208190107.667|20101208190109.333|CCO|BETWEEN THE TEACHERS UNION
20101208190109.333|20101208190111.000|CCO|AND THE DISTRICT.
20101208190111.000|20101208190113.000|CCO|>> IN 29 YEARS OF TEACH, I
20101208190113.000|20101208190115.000|CCO|HAVE NEVER DONE THIS.
20101208190115.000|20101208190117.000|CCO|[CHANTING]
20101208190117.000|20101208190119.000|CCO|>> Reporter: 200 TEACHERS
20101208190119.000|20101208190121.000|CCO|WERE THE LA HABRA SCHOOL
20101208190121.000|20101208190122.250|CCO|DISTRICT ARE WALKING THE
20101208190122.250|20101208190123.500|CCO|PICKET LINE.
20101208190123.500|20101208190124.750|CCO|>> AS YOU CAN SEE, I AM
20101208190124.750|20101208190126.000|CCO|UPSET, THIS IS VERY HAD SAD.
20101208190126.000|20101208190127.250|CCO|>> AND THE DISTRICT IN
20101208190127.250|20101208190128.500|CCO|NEGOTIATIONS FOR A YEAR.
20101208190128.500|20101208190129.750|CCO|THE TWO SIDES MET LAST
20101208190129.750|20101208190131.000|CCO|NIGHT.
20101208190131.000|20101208190132.111|CCO|THE MEETING LASTED A HALF
20101208190132.111|20101208190133.222|CCO|HOUR.
20101208190133.222|20101208190134.333|CCO|NEITHER SIDE BUDGED.
20101208190134.333|20101208190135.444|CCO|>> HOW LONG DO YOU EXPECT TO
20101208190135.444|20101208190136.556|CCO|BE OUT HERE?
20101208190136.556|20101208190137.667|CCO|>> WE EXPECT TO BE OUT HERE
20101208190137.667|20101208190138.778|CCO|UNTIL WE GET AFFAIR
20101208190138.778|20101208190139.889|CCO|SETTLEMENT.
20101208190139.889|20101208190141.000|CCO|>> IS THE DISTRICT WILLING
20101208190141.000|20101208190142.429|CCO|TO BUDGE ANYMORE?
20101208190142.429|20101208190143.857|CCO|IT IS NOT WILLING.
20101208190143.857|20101208190145.286|CCO|IT CAN'T THERE.
20101208190145.286|20101208190146.714|CCO|IS A FINANCIAL REALITY THAT
20101208190146.714|20101208190148.143|CCO|SAYS THAT WE HAVE TO BALANCE
20101208190148.143|20101208190149.571|CCO|THE BUDGET THERE.
20101208190149.571|20101208190151.000|CCO|IS NO MORE MONEY THAN WHAT
20101208190151.000|20101208190152.667|CCO|WAS OFFERED.
20101208190152.667|20101208190154.333|CCO|>> A 2% PAY CUT.
20101208190154.333|20101208190156.000|CCO|FURLOUGH DAYS THIS YEAR AND
20101208190156.000|20101208190157.667|CCO|THE FOLLOWING YEAR AND OUT
20101208190157.667|20101208190159.333|CCO|OF POCKET EXPENSES FOR
20101208190159.333|20101208190201.000|CCO|HEALTH CARE.
20101208190201.000|20101208190202.429|CCO|>> $14,000 FOR THE AVERAGE
20101208190202.429|20101208190203.857|CCO|TEACHER.
20101208190203.857|20101208190205.286|CCO|IF YOU EXTEND THAT.
