TOP|20101208190002|2010-12-08_1900_US_KNBC_Channel_4_News_Mid_Day_Report
COL|Communication Studies Archive, UCLA 
UID|5c7ead0e-02fd-11e0-b7b4-00e0815fe930
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-08 11:00 America/Los_Angeles
SEG_01|2014-06-18 17:49:37|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101208190012.000|20101208193727.000|SEG|Type=Story
20101208190012.000|20101208190022.000|CCO|>>  STAND BY, CUE BILLY AND KIT.
20101208190022.000|20101208190023.250|CCO|>> WE'RE LIVE IN FIVE, FOUR, 
20101208190023.250|20101208190024.500|CCO|THREE, TWO.
20101208190024.500|20101208190025.750|CCO|>  STAND BY, CAMERA TWO.
20101208190025.750|20101208190027.000|CCO|>>  ONE!
20101208190027.000|20101208190028.250|CCO|>>  TODAY ON "ACCESS HOLLYWOOD 
20101208190028.250|20101208190029.500|CCO|LIVE" --
20101208190029.500|20101208190030.750|CCO|>> 30 YEARS AFTER LOSING JOHN 
20101208190030.750|20101208190032.000|CCO|LENNON.
20101208190032.000|20101208190034.000|CCO|>> NEW AUDIO UNCOVERED FROM THAT
20101208190034.000|20101208190036.000|CCO|FATEFUL DAY YOU'LL WANT TO HEAR.
20101208190036.000|20101208190038.000|CCO|>>  TAYLOR SWIFT TELLS US ALL 
20101208190038.000|20101208190040.000|CCO|ABOUT HER BIG 21ST BIRTHDAY 
20101208190040.000|20101208190042.000|CCO|PLANS.
20101208190042.000|20101208190044.500|CCO|>> COCKTAILS, LOVELY DAUGHTER OF
20101208190044.500|20101208190047.000|CCO|BILLY AND CHRISTIE, ALEXA RAY 
20101208190047.000|20101208190049.500|CCO|PERFORMS LIVE.
20101208190049.500|20101208190052.000|CCO|> ACADEMY AWARD WINNING 
20101208190052.000|20101208190054.500|CCO|DESIGNER IS HERE.
20101208190054.500|20101208190057.000|CCO|>> SO IS REAL HOUSEWIVES OF 
20101208190057.000|20101208190059.500|CCO|ATLANTA, MI.
20101208190059.500|20101208190102.000|CCO|>>  THIS YEAR'S MOST TYPE, 
20101208190102.000|20101208190107.000|CCO|NUMBER ONE.
20101208190107.000|20101208190112.000|CCO|>>  YOU MAY SAY I'M A DREAMER 
20101208190112.000|20101208190113.250|CCO|I'M NOT THE ONLY ONE 
20101208190113.250|20101208190114.500|CCO|>>  IT WAS 30 YEARS AGO TODAY 
20101208190114.500|20101208190115.750|CCO|THAT MUSIC DIED.
20101208190115.750|20101208190117.000|CCO|I'M BILLY BUSH.
20101208190117.000|20101208190118.250|CCO|>> AND I'M KIT HOOVER.
20101208190118.250|20101208190119.500|CCO|WELCOME TO "ACCESS HOLLYWOOD 
20101208190119.500|20101208190120.750|CCO|LIVE."
20101208190120.750|20101208190122.000|CCO|WE BEGIN THE BIG NEWS WITH THE 
20101208190122.000|20101208190123.667|CCO|30TH ANNIVERSARY OF JOHN 
20101208190123.667|20101208190125.333|CCO|LENNON'S TRAGIC DEATH.
20101208190125.333|20101208190127.000|CCO|THEY DEDICATE THIS ISSUE TO JOHN
20101208190127.000|20101208190128.667|CCO|WITH A NEVER BEFORE PUBLISHED 
20101208190128.667|20101208190130.333|CCO|INTERVIEW.
20101208190130.333|20101208190132.000|CCO|>> THE  NEWS BROKE ON ABC'S 
20101208190132.000|20101208190133.429|CCO|"MONDAY NIGHT FOOTBALL" OF AL 
20101208190133.429|20101208190134.857|CCO|PLACES.
20101208190134.857|20101208190136.286|CCO|BUT BEFORE THAT, THE DECISION 
20101208190136.286|20101208190137.714|CCO|HAD TO BE MADE ON WHETHER OR NOT
20101208190137.714|20101208190139.143|CCO|TO ANNOUNCE IT.
20101208190139.143|20101208190140.571|CCO|HERE'S A RARELY HEARD 
20101208190140.571|20101208190142.000|CCO|CONVERSATION COURTESY OF ESPN'S 
20101208190142.000|20101208190145.333|CCO|"OUTSIDE THE LINES" AS GAME 
20101208190145.333|20101208190148.667|CCO|ANNOUNCERS HOWARD COSELL AND 
20101208190148.667|20101208190152.000|CCO|FRANK GIFFORD DISCUSSED DURING A
20101208190152.000|20101208190154.000|CCO|COMMERCIAL WHETHER TO ANNOUNCE 
20101208190154.000|20101208190156.000|CCO|IT OR NOT.
20101208190156.000|20101208190158.000|CCO|>> HE WAS SHOT OUTSIDE OF THE 
20101208190158.000|20101208190200.000|CCO|DAKOTA APARTMENT.
20101208190200.000|20101208190202.000|CCO|I DON'T KNOW.
20101208190202.000|20101208190203.111|CCO|I'D LIKE YOUR OPINION.
20101208190203.111|20101208190204.222|CCO|I CAN'T SAY PUTTING OUT A BAD 
20101208190204.222|20101208190205.333|CCO|NEWS FLASH.
20101208190205.333|20101208190206.444|CCO|CAN YOU?
20101208190206.444|20101208190207.556|CCO|>>  ABSOLUTELY.
