TOP|20101208200001|2010-12-08_2000_US_CNN_Newsroom
COL|Communication Studies Archive, UCLA 
UID|be16244a-0305-11e0-bd28-00e0815fe930
DUR|0:59:55.09
VID|640x480
CMT|
TPF|transcripts.cnn.com|cnr.07.html
HED|Democrats Close to Revolt?; President Obama Holds Cabinet Meeting; Remembering Elizabeth Edwards; Larry Summers on Tax Deal; Saturday Funeral for Elizabeth Edwards
LAN|ENG
LBT|2010-12-08 12:00 America/Los_Angeles
SEG_01|2014-06-18 17:49:44|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101208200005.000|20101208200110.571|SEG|Type=Story
20101208200005.000|20101208200006.000|CCO| STAON THERE.
20101208200006.000|20101208200007.000|CCO|WHO IS THIS GUY?
20101208200007.000|20101208200008.000|CCO|HIS NAME IS ANTONIO MARTINEZ BUT
20101208200008.000|20101208200009.000|CCO|APPARENTLY NOW HE GOES BY 
20101208200009.000|20101208200010.000|CCO|MUHAMMAD HUSSAIN.
20101208200010.000|20101208200011.000|CCO|I'VE BEEN LOOKING AT THIS 
20101208200011.000|20101208200012.429|CCO|18-PAGE FEDERAL CHARGING 
20101208200012.429|20101208200013.857|CCO|DOCUMENT HERE.
20101208200013.857|20101208200015.286|CCO|IT REALLY DESCRIBES ALL OF THE 
20101208200015.286|20101208200016.714|CCO|UNDERCOVER DEALINGS THE FBI HAD 
20101208200016.714|20101208200018.143|CCO|WITH MARTINEZ.
20101208200018.143|20101208200019.571|CCO|AND APPARENTLY THEY'VE BEEN 
20101208200019.571|20101208200021.000|CCO|TRACKING HIM VERY CLOSELY SINCE 
20101208200021.000|20101208200022.667|CCO|OCTOBER OF THIS YEAR.
20101208200022.667|20101208200024.333|CCO|AND IT SAYS IN THIS COMPLAINT --
20101208200024.333|20101208200026.000|CCO|HE TOLD UNDERCOVER AGENTS HIS 
20101208200026.000|20101208200027.667|CCO|ORIGINAL PLAN WAS TO GO INTO THE
20101208200027.667|20101208200029.333|CCO|MILITARY FACILITY YOU JUST SAW, 
20101208200029.333|20101208200031.000|CCO|TRY TO HIDEOUT WITH SOME WEAPONS
20101208200031.000|20101208200033.000|CCO|AND THEN UNLOADS WHEN ARMY 
20101208200033.000|20101208200035.000|CCO|PERSONNEL SHOWED UP FOR WORK.
20101208200035.000|20101208200037.000|CCO|THIS DOCUMENT HERE, IT ALSO 
20101208200037.000|20101208200039.000|CCO|EXPLAINS BEFORE MARTINEZ 
20101208200039.000|20101208200041.000|CCO|CONVERTED TO ISLAM, HE HAD 
20101208200041.000|20101208200042.833|CCO|WANTED TO ACTUALLY ENTER THE 
20101208200042.833|20101208200044.667|CCO|MILITARY AND THAT EXPERIENCE OF 
20101208200044.667|20101208200046.500|CCO|GOING TO THAT BUILDING MADE HIM 
20101208200046.500|20101208200048.333|CCO|FAMILIAR WITH HIS POTENTIAL 
20101208200048.333|20101208200050.167|CCO|TARGET.
20101208200050.167|20101208200052.000|CCO|AND ALL OF THESE DETAILS COME 
20101208200052.000|20101208200054.500|CCO|FROM THIS FBI AGENT WHO RECORDED
20101208200054.500|20101208200057.000|CCO|HIS ENCOUNTERS WITH MARTINEZ.
20101208200057.000|20101208200059.500|CCO|AND AGAIN, JUST TO UNDERSCORE, 
20101208200059.500|20101208200102.000|CCO|THESE FEDERAL CHARGES INCLUDE AN
20101208200102.000|20101208200103.429|CCO|ATTEMPT TO MURDER FEDERAL 
20101208200103.429|20101208200104.857|CCO|OFFICERS AND EMPLOYEES AND 
20101208200104.857|20101208200106.286|CCO|ATTEMPT TO USE A WEAPON OF MASS 
20101208200106.286|20101208200107.714|CCO|DESTRUCTION AGAINST FEDERAL 
20101208200107.714|20101208200109.143|CCO|PROPERTY.
20101208200109.143|20101208200110.571|CCO|MORE ON THAT LATER.
20101208200110.571|20101208200156.000|SEG|Type=Story
20101208200110.571|20101208200112.000|CCO|>>> ALSO THIS.
20101208200112.000|20101208200113.286|CCO|>> I'M NOT SAYING INTO YOU NEVER
20101208200113.286|20101208200114.571|CCO|COMPROMISE OR YOU NEVER -- THAT 
20101208200114.571|20101208200115.857|CCO|YOU NEVER DO DEALS.
20101208200115.857|20101208200117.143|CCO|THIS IS WASHINGTON.
20101208200117.143|20101208200118.429|CCO|THAT'S HOW LAWS GET PASSED.
20101208200118.429|20101208200119.714|CCO|BUT HE JUST -- HE AND HIS TEAM 
20101208200119.714|20101208200121.000|CCO|JUST DON'T SEEM TO BE THAT GOOD 
20101208200121.000|20101208200122.571|CCO|AT IT.
20101208200122.571|20101208200124.143|CCO|HE SEEMS TO GO FROM ZERO TO 
20101208200124.143|20101208200125.714|CCO|COMPROMISE IN 3.5 SECONDS.
20101208200125.714|20101208200127.286|CCO|YOU FIGHT, YOU ARTICULATE, YOU 
20101208200127.286|20101208200128.857|CCO|DEMONSTRATE THAT YOU WANT IT AND
20101208200128.857|20101208200130.429|CCO|YOU'RE THE PRESIDENT OF THE 
20101208200130.429|20101208200132.000|CCO|UNITED STATES.
20101208200132.000|20101208200133.429|CCO|YOU HAVE A LOT OF -- A LOT OF 
20101208200133.429|20101208200134.857|CCO|PERSUASIVE ARROWS IN YOUR QUIVER
20101208200134.857|20101208200136.286|CCO|THAT HE DOESN'T SEEM TO WANT TO 
20101208200136.286|20101208200137.714|CCO|ENGAGE.
20101208200137.714|20101208200139.143|CCO|>> ZERO TO COMPROMISE IN 3.5 
20101208200139.143|20101208200140.571|CCO|SECONDS.
20101208200140.571|20101208200142.000|CCO|DID YOU HEAR THAT?
20101208200142.000|20101208200144.000|CCO|THAT IS PART OF WHAT THE 
20101208200144.000|20101208200146.000|CCO|DEMOCRATS ARE SAYING RIGHT NOW 
20101208200146.000|20101208200148.000|CCO|ABOUT THEIR PRESIDENT, THAT HE 
20101208200148.000|20101208200150.000|CCO|GOT ROLLED BY THE REPUBLICANS 
20101208200150.000|20101208200152.000|CCO|AGAIN, GAVE AWAY THE FARM ON TAX
20101208200152.000|20101208200154.000|CCO|CUTS, BROKE A PROMISE, DOESN'T 
20101208200154.000|20101208200156.000|CCO|WANT TO FIGHT.
20101208200156.000|20101208200207.556|SEG|Type=Story
20101208200156.000|20101208200158.000|CCO|>>> ALSO, JUST SO YOU KNOW, 
20101208200158.000|20101208200200.000|CCO|WE'RE HEARING THE PRESIDENT IS 
20101208200200.000|20101208200202.000|CCO|ABOUT TO ASSEMBLE HIS CABINET 
20101208200202.000|20101208200203.111|CCO|FOR A MEETING THERE AT THE WHITE
20101208200203.111|20101208200204.222|CCO|HOUSE.
20101208200204.222|20101208200205.333|CCO|WE'LL BE WATCHING FOR ANYTHING 
20101208200205.333|20101208200206.444|CCO|THAT COULD POSSIBLY PERCOLATE 
20101208200206.444|20101208200207.556|CCO|THERE.
20101208200207.556|20101208200821.000|SEG|Type=Story
20101208200207.556|20101208200208.667|CCO|>>> ALSO KEEP THIS IN MIND.
20101208200208.667|20101208200209.778|CCO|MR. OBAMA SOUNDED QUITE ANGRY.
