TOP|20101209000002|2010-12-09_0000_US_KABC_Eyewitness_News_4PM
COL|Communication Studies Archive, UCLA 
UID|45390de0-0327-11e0-aca9-00e0815fe92e
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-08 16:00 America/Los_Angeles
SEG_01|2014-06-18 17:50:33|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101209000007.000|20101209005956.000|SEG|Type=Story
20101209000007.000|20101209000008.250|CCO| AGO, BEVERLY 
20101209000008.250|20101209000009.500|CCO|HILLS POLICE DEPARTMENT SHED
20101209000009.500|20101209000010.750|CCO|LIGHT ON WHAT THEY BELIEVE 
20101209000010.750|20101209000012.000|CCO|HAPPENED THE NIGHT RONNY 
20101209000012.000|20101209000013.667|CCO|CHASEN WAS GUNNED DOWN AND 
20101209000013.667|20101209000015.333|CCO|WHO WAS INVOLVED.
20101209000015.333|20101209000017.000|CCO|THE HANDGUN THE PERSON OF 
20101209000017.000|20101209000018.667|CCO|INTEREST USED TO KILL 
20101209000018.667|20101209000020.333|CCO|HIMSELF LAST WEEK IS IN FACT
20101209000020.333|20101209000022.000|CCO|TIED TO CHASEN'S MURDER.
20101209000022.000|20101209000023.667|CCO|BALLISTICS TESTS ON THE 
20101209000023.667|20101209000025.333|CCO|WEAPON SHOWED A MATCH WITH 
20101209000025.333|20101209000027.000|CCO|THE GUN THAT KILLED CHASEN.
20101209000027.000|20101209000028.667|CCO|HE SHOT HIMSELF IN THE LOBBY
20101209000028.667|20101209000030.333|CCO|OF A HOLLYWOOD APARTMENT 
20101209000030.333|20101209000032.000|CCO|BUILDING AFTER BEVERLY HILLS
20101209000032.000|20101209000033.667|CCO|POLICE DETECTIVES APPROACHED
20101209000033.667|20101209000035.333|CCO|HIM FOR QUESTIONING LAST 
20101209000035.333|20101209000037.000|CCO|WEEK.
20101209000037.000|20101209000038.667|CCO|TODAY POLICE SAID THEY DID 
20101209000038.667|20101209000040.333|CCO|NOT B CHASEN WAS A 
20101209000040.333|20101209000042.000|CCO|PROFESSIONAL HIT.
20101209000042.000|20101209000044.000|CCO|THEY SAY SMITH WAS A SHOOTER
20101209000044.000|20101209000046.000|CCO|AND IT WAS A RANDOM ACT OF 
20101209000046.000|20101209000048.000|CCO|VIOLENCE.
20101209000048.000|20101209000050.000|CCO|SMITH'S MOTIVE WAS TO ROB 
20101209000050.000|20101209000052.000|CCO|SMITH.
20101209000052.000|20101209000053.250|CCO|THEY WERE TIPPED OFF ABOUT 
20101209000053.250|20101209000054.500|CCO|SMITH BY AMERICA'S MOST 
20101209000054.500|20101209000055.750|CCO|WANTED.
20101209000055.750|20101209000057.000|CCO|>> AMERICA'S MOST WANTED 
20101209000057.000|20101209000058.250|CCO|PLAYED A CRUCIAL PART IN 
20101209000058.250|20101209000059.500|CCO|THIS INVESTIGATION.
20101209000059.500|20101209000100.750|CCO|THEY WERE ABLE TO PROVIDE 
20101209000100.750|20101209000102.000|CCO|THE INFORMATION FROM A TIP 
20101209000102.000|20101209000104.000|CCO|THAT CAME IN TO THEIR 
20101209000104.000|20101209000106.000|CCO|STUDIO.
20101209000106.000|20101209000108.000|CCO|THEY CONTACTED US AND WE 
20101209000108.000|20101209000110.000|CCO|WERE ABLE TO PUT UP A 
20101209000110.000|20101209000112.000|CCO|CONTACT WITH THE SISTER AND 
20101209000112.000|20101209000113.429|CCO|THAT'S HOW THEY HEARD OF 
20101209000113.429|20101209000114.857|CCO|HIM.
20101209000114.857|20101209000116.286|CCO|THE TIPSTER WANTS TO REMAIN 
20101209000116.286|20101209000117.714|CCO|ANONYMOUS AND WE'RE GOING TO
20101209000117.714|20101209000119.143|CCO|RESPECT THAT, AS IS 
20101209000119.143|20101209000120.571|CCO|AMERICA'S MOST WANTED.
20101209000120.571|20101209000122.000|CCO|>> THE PURPOSE IS TO TELL 
20101209000122.000|20101209000124.500|CCO|YOU IT WAS A MATCH.
20101209000124.500|20101209000127.000|CCO|THE FIREARM USED TO COMMIT 
20101209000127.000|20101209000129.500|CCO|SUICIDE IN HAROLD SMITH WAS 
20101209000129.500|20101209000132.000|CCO|THE SAME FIREARM USED TO 
20101209000132.000|20101209000134.500|CCO|KILL RONNY CHASEN.
20101209000134.500|20101209000137.000|CCO|>> SHE WAS SHOT MULTIPLE 
20101209000137.000|20101209000139.500|CCO|TIMES IN BEVERLY HILLS AS 
20101209000139.500|20101209000142.000|CCO|SHE DROVE HOME FROM THE 
20101209000142.000|20101209000144.500|CCO|MOVIE PREMIER BURLESQUE.
20101209000144.500|20101209000147.000|CCO|SHE WAS SHOT AS SHE TURNED 
20101209000147.000|20101209000149.500|CCO|ON TO THE WHITTIER DRIVE.
20101209000149.500|20101209000152.000|CCO|POLICE ARE STILL AWAITING 
20101209000152.000|20101209000153.111|CCO|THE RESULTS OF THE CORONER'S
20101209000153.111|20101209000154.222|CCO|REPORT.
20101209000154.222|20101209000155.333|CCO|THEY SAY THIS IS AN ONGOING 
20101209000155.333|20101209000156.444|CCO|INVESTIGATION WHICH IS 
20101209000156.444|20101209000157.556|CCO|INTERESTING BECAUSE THEY 
20101209000157.556|20101209000158.667|CCO|SAID TODAY AT THE NEWS 
20101209000158.667|20101209000159.778|CCO|CONFERENCE THEY BELIEVE 
20101209000159.778|20101209000200.889|CCO|HAROLD SMITH WAS THE LIKELY 
20101209000200.889|20101209000202.000|CCO|SHOOTER AND THAT HE ACTED 
20101209000202.000|20101209000203.429|CCO|ALONE.
20101209000203.429|20101209000204.857|CCO|THEY SAY THEY'RE LOOKING FOR
20101209000204.857|20101209000206.286|CCO|NO FURTHER SUSPECTS -- OR 
20101209000206.286|20101209000207.714|CCO|THEY'RE NOT LOOKING FOR ANY 
20101209000207.714|20101209000209.143|CCO|FURTHER SUSPECTS.
20101209000209.143|20101209000210.571|CCO|THEY SAY THEY'RE WAITING FOR
20101209000210.571|20101209000212.000|CCO|A COMPLETE ANALYSIS OF THOSE
20101209000212.000|20101209000214.500|CCO|BALLISTIC TESTS, THAT 
20101209000214.500|20101209000217.000|CCO|THEY'RE PRELIMINARY 
20101209000217.000|20101209000219.500|CCO|BALLISTIC TESTS SHOWS THE 
20101209000219.500|20101209000222.000|CCO|GUN USED TO KILL RONNY 
20101209000222.000|20101209000224.000|CCO|CHASEN WAS THE GUN THAT 
20101209000224.000|20101209000226.000|CCO|SMITH USED TO KILL HIMSELF 
20101209000226.000|20101209000228.000|CCO|LAST WEEK.
20101209000228.000|20101209000230.000|CCO|>> STAY WITH US FOR 
20101209000230.000|20101209000232.000|CCO|CONTINUING COVERAGE OF THE 
20101209000232.000|20101209000233.667|CCO|RONNY CHASEN MURDER CASE.
20101209000233.667|20101209000235.333|CCO|AND TONIGHT AT 5, WE'LL GO 
20101209000235.333|20101209000237.000|CCO|LIVE TO THE HOTEL WHERE THE 
20101209000237.000|20101209000238.667|CCO|GUN MATCHING CHASEN'S MURDER
20101209000238.667|20101209000240.333|CCO|WEAPON WAS FOUND.
20101209000240.333|20101209000242.000|CCO|>> A COSTA MESA MAN WAS 
20101209000242.000|20101209000244.500|CCO|CONVICTED TODAY OF CAUSING A
20101209000244.500|20101209000247.000|CCO|CRASH THAT KILLED CHARLES 
20101209000247.000|20101209000249.500|CCO|MASK LEWIS, THE FOUNDER OF 
20101209000249.500|20101209000252.000|CCO|THE TOPOUT CLOTHING LINE.
20101209000252.000|20101209000255.333|CCO|>> HE WAS CONVICTED OF GROSS
20101209000255.333|20101209000258.667|CCO|VEHICULAR MANSLAUGHTER WHEN 
20101209000258.667|20101209000302.000|CCO|HE KILLED LEWIS.
20101209000302.000|20101209000304.500|CCO|THE BLOOD ALCOHOL LEVEL WAS 
20101209000304.500|20101209000307.000|CCO|WELL OVER THE LIMIT 2 HOURS 
20101209000307.000|20101209000309.500|CCO|AFTER THE CRASH.
20101209000309.500|20101209000312.000|CCO|HE WAS A FORMER MIXED 
20101209000312.000|20101209000314.000|CCO|MARTIAL ARTS FIGHTER AND 
20101209000314.000|20101209000316.000|CCO|CLOTHING ARTS DESIGNER.
20101209000316.000|20101209000318.000|CCO|>> AND THERE'S WORD THAT 
20101209000318.000|20101209000320.000|CCO|ARETHA FRANKLIN IS BATTLING 
20101209000320.000|20101209000322.000|CCO|PANCREATIC CANCER.
20101209000322.000|20101209000324.000|CCO|IT' MYSTERY ILLNESS 
20101209000324.000|20101209000326.000|CCO|THAT PROMPTED HER TO CANCEL 
20101209000326.000|20101209000328.000|CCO|UPCOMING EVENTS AND TOOK SIX
20101209000328.000|20101209000330.000|CCO|MONTHS OFF.
20101209000330.000|20101209000332.000|CCO|SHE ADMITTED LAST WEEK SHE 
20101209000332.000|20101209000334.000|CCO|HAD UNDERGONE A SUCCESSFUL 
20101209000334.000|20101209000336.000|CCO|SURGICAL PROCEDURE.
20101209000336.000|20101209000338.000|CCO|>> A PUBLIC MEMORIAL SERVICE
20101209000338.000|20101209000340.000|CCO|WILL BE HELD SATURDAY 
