TOP|20101209020002|2010-12-09_0200_US_CNN_Larry_King_Live
COL|Communication Studies Archive, UCLA 
UID|09415ffc-0338-11e0-b56f-00e0815fe86c
DUR|0:59:55.02
VID|640x480
CMT|
TPF|transcripts.cnn.com|lkl.01.html
HED|Angelina Jolie Opens Up; One-on-One with Celine Dion
LAN|ENG
LBT|2010-12-08 18:00 America/Los_Angeles
SEG_01|2014-06-18 17:51:09|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101209020005.333|20101209021932.000|SEG|Type=Story
20101209020005.333|20101209020006.167|CCO|OU 
20101209020006.167|20101209020007.000|CCO|ANOTHER SHOT, COME BACK AND 
20101209020007.000|20101209020007.833|CCO|CONTINUE YOUR POINT.
20101209020007.833|20101209020008.667|CCO|ALTHOUGH YOU'RE WRONG.
20101209020008.667|20101209020009.500|CCO|THANK YOU, ALL, FOR LISTENING 
20101209020009.500|20101209020010.333|CCO|AND BE SURE TO JOIN US TOMORROW 
20101209020010.333|20101209020011.167|CCO|NIGHT. 
20101209020011.167|20101209020012.000|CCO|>> GOOD NIGHT FROM NEW YORK.
20101209020012.000|20101209020013.250|CCO|"LARRY KING LIVE" STARTS RIGHT 
20101209020013.250|20101209020014.500|CCO|NOW.
20101209020014.500|20101209020022.000|SEG_01|Type=Commercial
20101209020014.500|20101209020015.750|CCO|    
20101209020015.750|20101209020017.000|CCO|    --Captions by VITAC--
20101209020017.000|20101209020018.250|CCO|        
20101209020018.250|20101209020019.500|CCO|        www.vitac.com
20101209020019.500|20101209020020.750|CCO|                
20101209020020.750|20101209020022.000|CCO|                
20101209020022.000|20101209020024.500|SEG_01|Type=Story start
20101209020022.000|20101209020024.500|CCO|>> Larry: TONIGHT, ANGELINA 
20101209020024.500|20101209020027.000|CCO|JOLIE OPENS UP ABOUT LIFE WITH 
20101209020027.000|20101209020029.500|CCO|BRAD. 
20101209020029.500|20101209020032.000|CCO|>> BRAD IS AN EXTREMELY, 
20101209020032.000|20101209020033.250|CCO|EXTREMELY HANDS-ON, WONDERFUL 
20101209020033.250|20101209020034.500|CCO|FATHER. 
20101209020034.500|20101209020035.750|CCO|>> Larry: THE KIDS, THE 
20101209020035.750|20101209020037.000|CCO|PAPARAZZI. 
20101209020037.000|20101209020038.250|CCO|>> IT'S A MONSTER YOU CAN'T 
20101209020038.250|20101209020039.500|CCO|THINK ABOUT OR CONTROL.
20101209020039.500|20101209020040.750|CCO|>> Larry: PLUS, THE SENSATIONAL 
20101209020040.750|20101209020042.000|CCO|CELINE DION.
20101209020042.000|20101209020043.250|CCO|SHE'LL TELL US ABOUT HER NEW 
20101209020043.250|20101209020044.500|CCO|TWIN BOYS.
20101209020044.500|20101209020045.750|CCO|THE PRESSURES AND PITFALLS OF 
20101209020045.750|20101209020047.000|CCO|BEING A CELEBRITY MOM.
20101209020047.000|20101209020048.250|CCO|AND HOW HER NEXT VEGAS SHOW 
20101209020048.250|20101209020049.500|CCO|MIGHT TOP ANYTHING SHE'S EVER 
20101209020049.500|20101209020050.750|CCO|DONE.
20101209020050.750|20101209020102.000|CCO|CELINE, ANGELINA, NEXT ON "LARRY
20101209020102.000|20101209020103.667|CCO|KING LIVE."
20101209020103.667|20101209020105.333|CCO|>> Larry: ANGELINA JOLIE IS AN 
20101209020105.333|20101209020107.000|CCO|ACADEMY-AWARD WINNING ACTRESS.
20101209020107.000|20101209020108.667|CCO|THE GOODWILL AMBASSADOR FOR THE 
20101209020108.667|20101209020110.333|CCO|UNITED NATIONS.
20101209020110.333|20101209020112.000|CCO|HIGH COMMISSIONER FOR REFUGEES.
20101209020112.000|20101209020113.667|CCO|AND SHE STARS WITH JOHNNY DEPP 
20101209020113.667|20101209020115.333|CCO|IN THE NEW FILM "THE TOUREST."
20101209020115.333|20101209020117.000|CCO|IT OPENS IN THEATERS THIS 
20101209020117.000|20101209020118.667|CCO|FRIDAY, DECEMBER 10th.
20101209020118.667|20101209020120.333|CCO|LET'S BEGIN WITH A CLIP.
20101209020120.333|20101209020122.000|CCO|>> FRANK.
20101209020122.000|20101209020125.333|CCO|COME WITH ME.
20101209020125.333|20101209020128.667|CCO|>> YOU'RE RAVENOUS.
20101209020128.667|20101209020132.000|CCO|>> DO YOU MEAN RAVISHING?
20101209020132.000|20101209020134.000|CCO|>> I DO.
20101209020134.000|20101209020136.000|CCO|>> ALL RIGHT, GRAB HIM.
20101209020136.000|20101209020138.000|CCO|>> WHY'S EVERYONE TRYING TO KILL
20101209020138.000|20101209020140.000|CCO|ME?
20101209020140.000|20101209020142.000|CCO|>> ALEXANDER PIERCE.
20101209020142.000|20101209020143.667|CCO|HE STOLE BIG MONEY FROM A 
20101209020143.667|20101209020145.333|CCO|GANGSTER.
20101209020145.333|20101209020147.000|CCO|THEY THINK YOU ARE HIM. 
20101209020147.000|20101209020148.667|CCO|>> THE MAN'S A CRIMINAL WANTED 
20101209020148.667|20101209020150.333|CCO|IN 14 COUNTRIES.
20101209020150.333|20101209020152.000|CCO|>> IT'S GONE TOO FAR.
20101209020152.000|20101209020153.429|CCO|YOU WERE PART OF A PLAN.
20101209020153.429|20101209020154.857|CCO|>> THIS IS EXACTLY WHY SHE CHOSE
20101209020154.857|20101209020156.286|CCO|HIM, TO DISTRACT US. 
20101209020156.286|20101209020157.714|CCO|>> I AM SORRY I GOT YOU INVOLVED
20101209020157.714|20101209020159.143|CCO|IN ALL THIS.
20101209020159.143|20101209020200.571|CCO|>> WHY ARE YOU INVOLVED?
20101209020200.571|20101209020202.000|CCO|>> Larry: WHY DID YOU DECIDE TO 
20101209020202.000|20101209020204.500|CCO|DO IT, DEAR?
20101209020204.500|20101209020207.000|CCO|>> WELL, I WAS LOOKING FOR A -- 
20101209020207.000|20101209020209.500|CCO|I WAS LOOKING FOR SOMETHING I 
20101209020209.500|20101209020212.000|CCO|AND I READ IT AND SHE WAS SUCH A
20101209020212.000|20101209020213.667|CCO|LADY AND IT SEEMED LIKE A LOT OF
20101209020213.667|20101209020215.333|CCO|FUN AND IT WAS SHOOTING IN PARIS
20101209020215.333|20101209020217.000|CCO|AND VENICE WHICH ARE VERY HARD 
20101209020217.000|20101209020218.667|CCO|TO SAY NO TO.
