TOP|20101209030002|2010-12-09_0300_US_KCBS_Entertainment_Tonight
COL|Communication Studies Archive, UCLA 
UID|6a855ce8-0340-11e0-835b-00e0815fe725
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-08 19:00 America/Los_Angeles
SEG_01|2014-06-18 17:51:33|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101209030951.000|20101209032854.333|SEG|Type=Story
20101209030951.000|20101209032854.333|SEG_01|Type=Commercial
20101209030951.000|20101209030952.429|CCO|ard
20101209030952.429|20101209030953.857|CCO|      [ Female Announcer ]
20101209030953.857|20101209030955.286|CCO| Vons TALKS HOLIDAY FAVORITES.
20101209030955.286|20101209030956.714|CCO|        I THINK
20101209030956.714|20101209030958.143|CCO|THERE ARE EGGNOG PEOPLE
20101209030958.143|20101209030959.571|CCO|AND NON-EGGNOG PEOPLE.
20101209030959.571|20101209031001.000|CCO|             AND WHICH ARE YOU?
20101209031001.000|20101209031002.667|CCO|     I'M A FISH.
20101209031002.667|20101209031004.333|CCO|     ON A TREE.
20101209031004.333|20101209031006.000|CCO|      [ Female Announcer ]
20101209031006.000|20101209031007.667|CCO|IF IT TASTES LIKE THE HOLIDAYS,
20101209031007.667|20101209031009.333|CCO|         WE'VE GOT IT.
20101209031009.333|20101209031041.000|CCO|  Vons. INGREDIENTS FOR LIFE.
20101209031041.000|20101209031041.909|CCO|      [ Female Announcer ]
20101209031041.909|20101209031042.818|CCO|  Vons TALKS THE MAIN COURSE.
20101209031042.818|20101209031043.727|CCO|       WOW. I LOVE THE WAY
20101209031043.727|20101209031044.636|CCO|   SHE PLATED THAT PORK LOIN.
20101209031044.636|20101209031045.545|CCO|     YEAH. I SAID "PLATED."
20101209031045.545|20101209031046.455|CCO|             HE'S BEEN WATCHING
20101209031046.455|20101209031047.364|CCO|         TOO MANY COOKING SHOWS.
20101209031047.364|20101209031048.273|CCO|MM-HMM.
20101209031048.273|20101209031049.182|CCO|      [ Female Announcer ]
20101209031049.182|20101209031050.091|CCO|  SERVE A MAIN COURSE BRIMMING
20101209031050.091|20101209031051.000|CCO|     WITH COMFORT AND JOY.
20101209031051.000|20101209031231.000|CCO|  Vons. INGREDIENTS FOR LIFE.
20101209031231.000|20101209031611.000|CCO|,,
20101209031611.000|20101209032531.000|CCO|,,,,,,,,,,,,,,,,,,,,,,,,
20101209032531.000|20101209032532.250|CCO|eúr
20101209032532.250|20101209032533.500|CCO|     [ Female Announcer ]
20101209032533.500|20101209032534.750|CCO|     Hurry to JCPenney this
20101209032534.750|20101209032536.000|CCO|     Friday and Saturday
20101209032536.000|20101209032537.250|CCO|           to save on
20101209032537.250|20101209032538.500|CCO|    all your holiday gifts!
20101209032538.500|20101209032539.750|CCO|    Get in early Saturday...
20101209032539.750|20101209032541.000|CCO|     ...for 7-hour steals!
20101209032541.000|20101209032542.111|CCO|  Surprise her with
20101209032542.111|20101209032543.222|CCO|
20101209032543.222|20101209032544.333|CCO|70% off gold jewelry.
20101209032544.333|20101209032545.444|CCO|     Save on women's coats,
20101209032545.444|20101209032546.556|CCO|          just $59.99!
20101209032546.556|20101209032547.667|CCO|   Get 60% off men's coats...
20101209032547.667|20101209032548.778|CCO|  ...and 60% off kids' coats.
20101209032548.778|20101209032549.889|CCO|   Plus spend more, earn more
20101209032549.889|20101209032551.000|CCO|         with JCP Cash!
20101209032551.000|20101209032552.429|CCO|  That's $10, $15 or $20 off!
20101209032552.429|20101209032553.857|CCO| Unlike other stores, we don't
20101209032553.857|20101209032555.286|CCO|  make you come back to save!
20101209032555.286|20101209032556.714|CCO|Don't miss HUGE holiday savings
20101209032556.714|20101209032558.143|CCO|          at JCPenney!
20101209032558.143|20101209032559.571|CCO|      Go to jcp.com to see
20101209032559.571|20101209032601.000|CCO|      everything on sale.
20101209032601.000|20101209032604.333|CCO|      New list. New gifts.
20101209032604.333|20101209032607.667|CCO|           Who knew!
20101209032607.667|20101209032711.000|CCO|           JCPenney.
20101209032711.000|20101209032851.000|CCO|l
20101209032851.000|20101209032854.333|CCO|,,,,
20101209032854.333|20101209032943.857|SEG_01|Type=Story start
20101209032854.333|20101209032943.857|SEG|Type=Story
20101209032854.333|20101209032857.667|CCO|>>> "THE INSIDER" HAS THE MOST 
20101209032857.667|20101209032901.000|CCO|COMPLETE COVERAGE OF TONIGHT'S 
20101209032901.000|20101209032903.500|CCO|TOP STAR NEWS.
20101209032903.500|20101209032906.000|CCO|I'M LARA SPENCER.
20101209032906.000|20101209032908.500|CCO|>> "THE INSIDER" IS ON.
20101209032908.500|20101209032911.000|CCO|>> TISSUE, PLEASE.
20101209032911.000|20101209032913.500|CCO|>>
20101209032913.500|20101209032916.000|CCO|WINFREY'S BREAKDOWN.
20101209032916.000|20101209032918.500|CCO|>> PLUS ARE HER AND STEDMAN 
20101209032918.500|20101209032921.000|CCO|OVER?
20101209032921.000|20101209032922.429|CCO|>> I NEED TO MOVE HERE.
20101209032922.429|20101209032923.857|CCO|>> ON THE GROUND DOWN UNDER WITH
20101209032923.857|20101209032925.286|CCO|THE HISTORIC AUSTRALIA SHOW 
20101209032925.286|20101209032926.714|CCO|TAPING. 
20101209032926.714|20101209032928.143|CCO|>> WE'RE GOING TO AUSTRALIA!
20101209032928.143|20101209032929.571|CCO|>> OUR LAST INTERVIEW WITH 
20101209032929.571|20101209032931.000|CCO|ELIZABETH EDWARDS.
20101209032931.000|20101209032933.500|CCO|>> THERE'S TIMES WHEN IT'S HARD 
20101209032933.500|20101209032936.000|CCO|AND IT HURTS AND YOU ACHE OR 
20101209032936.000|20101209032938.500|CCO|YOU'RE TIRED. 
20101209032938.500|20101209032941.000|CCO|>> JOHN EDWARDS TODAY, THE 
20101209032941.000|20101209032942.429|CCO|SHOCKING REPORT, DOES REIAL WANT
20101209032942.429|20101209032943.857|CCO|TO MARRY HIM?
20101209032943.857|20101209032957.000|SEG|Type=Story
20101209032943.857|20101209032945.286|CCO|>>> SARAH PALIN VERSUS KATE 
20101209032945.286|20101209032946.714|CCO|GOSSELIN. 
20101209032946.714|20101209032948.143|CCO|>> I'M HUNGRY.
20101209032948.143|20101209032949.571|CCO|>> THEY DIDN'T EVEN SPEAK TO 
20101209032949.571|20101209032951.000|CCO|EACH OTHER OFF CAMERA. 
20101209032951.000|20101209032953.500|CCO|>> WAS THERE A BATTLE BEHIND THE
20101209032953.500|20101209032956.000|CCO|SCENES OF "SARAH PALIN'S 
20101209032956.000|20101209032958.500|CCO|ALASKA"?
20101209032958.500|20101209032957.000|CCO|>> JOHNNY DEPP'S ILLNESS. 
END|20101209032957|2010-12-09_0300_US_KCBS_Entertainment_Tonight
