TOP|20101209060001|2010-12-09_0600_US_KTLA_Prime_News_at_10PM
COL|Communication Studies Archive, UCLA 
UID|8f8ac1cc-0359-11e0-a18a-00e0815ffae2
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-08 22:00 America/Los_Angeles
SEG_01|2014-06-18 17:51:44|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101209060005.444|20101209060011.000|SEG|Type=Story
20101209060005.444|20101209060006.556|CCO|R WANTS TO 
20101209060006.556|20101209060007.667|CCO|GIVE AWAY HIS SALARY? 
20101209060007.667|20101209060008.778|CCO|WHO COULD GET HIS MILLIONS? 
20101209060008.778|20101209060009.889|CCO|THE KTLA NEWS AT 10:00 STARTS 
20101209060009.889|20101209060011.000|CCO|NOW. 
20101209060011.000|20101209060223.000|SEG|Type=Story
20101209060011.000|20101209060013.500|CCO|>>> WE BEGIN WITH BREAKING 
20101209060013.500|20101209060016.000|CCO|NEWS, THE SEARCH FOR A HIKER 
20101209060016.000|20101209060018.500|CCO|MISSING ON MOUNT BALDY COMES TO 
20101209060018.500|20101209060021.000|CCO|A TRAGIC END. 
20101209060021.000|20101209060026.000|CCO|MICHELLE YU WAS AN EXPERIENCED 
20101209060026.000|20101209060031.000|CCO|HIKER, AND SEARCHERS ERS HELD 
20101209060031.000|20101209060032.667|CCO|OUT HOPE SHE WOULD BE FOUND 
20101209060032.667|20101209060034.333|CCO|ALIVE, BUT TONIGHT, SEARCHERS 
20101209060034.333|20101209060036.000|CCO|SAY THEY HAVE DISCOVERED HER 
20101209060036.000|20101209060037.667|CCO|BODY NEAR THE FISH LAKE AREA. 
20101209060037.667|20101209060039.333|CCO|>> Reporter: ALL THE RESCUERS 
20101209060039.333|20101209060041.000|CCO|HAVE PULLED OUT OF HERE. 
20101209060041.000|20101209060043.500|CCO|THEIR MISSION IS ACCOMPLISHED. 
20101209060043.500|20101209060046.000|CCO|JUST NOT THE OUTCOME THAT 
20101209060046.000|20101209060048.500|CCO|EVERYONE WAS PRAYING FOR. 
20101209060048.500|20101209060051.000|CCO|>> BASED ON THE CLOTHING AND 
20101209060051.000|20101209060101.000|CCO|THE PHYSICAL DESCRIPTION OF THE 
20101209060101.000|20101209060103.000|CCO|VICTIM, AUTHORITIES BELIEVE IT 
20101209060103.000|20101209060105.000|CCO|IS OUR MISSING HIKER, MICHELLE 
20101209060105.000|20101209060107.000|CCO|YU. 
20101209060107.000|20101209060109.000|CCO|>> Reporter: SPOTTED FROM THE 
20101209060109.000|20101209060111.000|CCO|AIR, THE HELICOPTERS MOVED IN. 
20101209060111.000|20101209060114.333|CCO|>> THE MEDIC CONFIRMED THAT WE 
20101209060114.333|20101209060117.667|CCO|DID HAVE A DECEASED BODY. 
20101209060117.667|20101209060121.000|CCO|>> Reporter: RESCUE WORKERS SAY 
20101209060121.000|20101209060122.667|CCO|SHE TURNED OFF THE MAIN TRAIL, 
20101209060122.667|20101209060124.333|CCO|POSSIBLY DISORIENTED, THEN FELL 
20101209060124.333|20101209060126.000|CCO|2100 FEET TO HER DEATH. 
20101209060126.000|20101209060127.667|CCO|>> THE VICTIM'S BODY WAS FOUND 
20101209060127.667|20101209060129.333|CCO|HER, AT APPROXIMATELY 7900 
20101209060129.333|20101209060131.000|CCO|FEET. 
20101209060131.000|20101209060133.000|CCO|>> Reporter: THIS IS THE 
20101209060133.000|20101209060135.000|CCO|CHAIRLIFT MICHELLE WAS TRYING 
20101209060135.000|20101209060137.000|CCO|TO GET TO ON SATURDAY. 
20101209060137.000|20101209060139.000|CCO|THE EXPERIENCED HIKER HAD TAKEN 
20101209060139.000|20101209060141.000|CCO|THESE LIFTS MANY TIMES. 
20101209060141.000|20101209060143.500|CCO|BUT ICY CONDITIONS CAN TRIP UP 
20101209060143.500|20101209060146.000|CCO|EVEN THE MOST SEASONED HIKER. 
20101209060146.000|20101209060148.500|CCO|AS THE SEARCH WENT INTO DAY 4, 
20101209060148.500|20101209060151.000|CCO|SEARCHERS GAVE A LAST DITCH 
20101209060151.000|20101209060156.000|CCO|EFFORT TO FIND THE MISSING 
20101209060156.000|20101209060201.000|CCO|HIKER, THAT BECAME THE 
20101209060201.000|20101209060202.429|CCO|CHERISHED WOMAN KNOWN AS 
20101209060202.429|20101209060203.857|CCO|MICHELLE. 
20101209060203.857|20101209060205.286|CCO|>> JUST SADDENED. 
20101209060205.286|20101209060206.714|CCO|>> Reporter: NOW MICHELLE'S 
20101209060206.714|20101209060208.143|CCO|DAUGHTER FLEW IN FROM ITALY, 
20101209060208.143|20101209060209.571|CCO|AND RECEIVED THIS NEWS IN 
20101209060209.571|20101209060211.000|CCO|PERSON JUST A FEW HOURS AGO. 
20101209060211.000|20101209060213.500|CCO|TOMORROW, A SMALL GROUP OF 
20101209060213.500|20101209060216.000|CCO|HIKERS WILL HEAD BACK INTO THE 
20101209060216.000|20101209060218.500|CCO|MOUNTAINS, AND RECOVER 
20101209060218.500|20101209060221.000|CCO|MICHELLE'S REMAINS. 
20101209060221.000|20101209060223.000|CCO|FROM MOUNT BALDY, KTLA NEWS. 
20101209060223.000|20101209060753.857|SEG|Type=Story
20101209060223.000|20101209060225.000|CCO|>>> STUNNING NEW DETAILS IN THE 
20101209060225.000|20101209060227.000|CCO|BRUTAL MURDER OF A HOLLYWOOD 
20101209060227.000|20101209060229.000|CCO|PUBLICIST. 
20101209060229.000|20101209060231.000|CCO|>> THE FIREARM USED IS THE SAME 
20101209060231.000|20101209060233.000|CCO|FARM THAT WAS USED TO KILL 
20101209060233.000|20101209060235.000|CCO|RONNI CHASEN. 
20101209060235.000|20101209060237.000|CCO|>> PLUS A DEEPER LOOK INTO THE 
20101209060237.000|20101209060239.000|CCO|CRIMINAL PAST OF THE MAN 
20101209060239.000|20101209060241.000|CCO|ACCUSED OF THE CRIME. 
20101209060241.000|20101209060243.000|CCO|RIGHT NOW, TEAM COVERAGE WITH 
20101209060243.000|20101209060245.000|CCO|THE LATEST ON THE RONNI CHASEN 
20101209060245.000|20101209060247.000|CCO|MURDER. 
20101209060247.000|20101209060249.000|CCO|KTLA'S CHER CALVIN, AND DAVE 
20101209060249.000|20101209060251.000|CCO|MALKOFF, COVERING BOTH ANGLES 
20101209060251.000|20101209060252.250|CCO|OF THE STORY TONIGHT. 
20101209060252.250|20101209060253.500|CCO|WE BEGIN WITH CHER CALVIN, IN 
