TOP|20101209070001|2010-12-09_0700_US_KABC_Eyewitness_News_11PM
COL|Communication Studies Archive, UCLA 
UID|f16b1538-0361-11e0-b60a-00e0815fe83e
DUR|0:34:54.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-08 23:00 America/Los_Angeles
SEG_01|2014-06-18 17:51:46|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101209070006.000|20101209073455.000|SEG|Type=Story
20101209070006.000|20101209070007.250|CCO|MICHELLE: SAD TURN OF EVENTS IN 
20101209070007.250|20101209070008.500|CCO|THE SEARCH FOR A MISSING HIKER.
20101209070008.500|20101209070009.750|CCO|HAS RONNI CHASEN'S MURDER BEEN 
20101209070009.750|20101209070011.000|CCO|SOLVED?
20101209070011.000|20101209070013.500|CCO|"EYEWITNESS NEWS" BEGINS IN 60 
20101209070013.500|20101209070016.000|CCO|SECONDS.
20101209070016.000|20101209070121.000|SEG_01|Type=Commercial
20101209070016.000|20101209070018.500|CCO|            
20101209070018.500|20101209070021.000|CCO|                
20101209070021.000|20101209070023.500|CCO|            
20101209070023.500|20101209070026.000|CCO|                   
20101209070026.000|20101209070028.500|CCO|            
20101209070028.500|20101209070031.000|CCO|                   
20101209070031.000|20101209070032.250|CCO|                            
20101209070032.250|20101209070033.500|CCO|                            CUT!
20101209070033.500|20101209070034.750|CCO|    
20101209070034.750|20101209070036.000|CCO|          [ Male Announcer ]
20101209070036.000|20101209070037.250|CCO|        
20101209070037.250|20101209070038.500|CCO|        DOLCE & GABBANA.
20101209070038.500|20101209070039.750|CCO|        
20101209070039.750|20101209070121.000|CCO|            LIGHT BLUE.
20101209070121.000|20101209070123.500|SEG_01|Type=Story start
20101209070121.000|20101209070123.500|CCO|MICHELLE: A BREAK IN A BEVERLY 
20101209070123.500|20101209070126.000|CCO|HILLS MURDER MYSTERY.
20101209070126.000|20101209070128.500|CCO|GOOD EVENING.
20101209070128.500|20101209070131.000|CCO|I'M MICHELLE TUZEE.
20101209070131.000|20101209070132.667|CCO|MARC: I'M MARC BROWN.
20101209070132.667|20101209070134.333|CCO|LESLIE MILLER IS LIVE IN 
20101209070134.333|20101209070136.000|CCO|BEVERLY HILLS WITH HOW POLICE 
20101209070136.000|20101209070137.667|CCO|ARE LINKING THE TWO CRIME 
20101209070137.667|20101209070139.333|CCO|SCENES TOGETHER.
20101209070139.333|20101209070141.000|CCO|>> Reporter: IT'S A MURDER 
20101209070141.000|20101209070143.000|CCO|MYSTERY THAT'S BAFFLED POLICE 
20101209070143.000|20101209070145.000|CCO|AND STUNNED HOLLYWOOD FOR 
20101209070145.000|20101209070147.000|CCO|NEARLY A MONTH NOW.
20101209070147.000|20101209070149.000|CCO|TONIGHT, WE'RE FINALLY GETTING 
20101209070149.000|20101209070151.000|CCO|SOME ANSWERS.
20101209070151.000|20101209070153.000|CCO|AN EX-CONVICT RIDING HIS 
20101209070153.000|20101209070155.000|CCO|BICYCLE SHOT FAMED PUBLICIST 
20101209070155.000|20101209070157.000|CCO|RONNI CHASEN IN A ROBBERY GONE 
20101209070157.000|20101209070159.000|CCO|BAD.
20101209070159.000|20101209070201.000|CCO|BEVERLY HILLS POLICE HAVE 
20101209070201.000|20101209070203.000|CCO|CONFIRMED THAT THE HANDGUN THAT 
20101209070203.000|20101209070205.000|CCO|HAROLD SMITH USED TO KILL 
20101209070205.000|20101209070207.000|CCO|HIMSELF LAST WEEK IS TIED TO 
20101209070207.000|20101209070209.000|CCO|RONNI CHASEN'S MURDER.
20101209070209.000|20101209070211.000|CCO|>> THE FIREARM USED TO COMMIT 
20101209070211.000|20101209070213.500|CCO|SUICIDE IN HAROLD SMITH IS THE 
20101209070213.500|20101209070216.000|CCO|SAME THAT KILLED RONNI CHASEN.
20101209070216.000|20101209070218.500|CCO|>> Reporter: SMITH, A 
20101209070218.500|20101209070221.000|CCO|TRANSIENT, HAD A RAP SHEET OF 
20101209070221.000|20101209070222.667|CCO|ROBBERY AND DRUG CRIMES.
20101209070222.667|20101209070224.333|CCO|HE SHOT HIMSELF IN THE LOBBY OF 
20101209070224.333|20101209070226.000|CCO|A SEEDY HOTEL.
20101209070226.000|20101209070227.667|CCO|THEY SAY THAT SMITH WAS THE 
20101209070227.667|20101209070229.333|CCO|LIKELY SHOOTER AND THAT HE 
20101209070229.333|20101209070231.000|CCO|ACTED ALONE.
20101209070231.000|20101209070234.333|CCO|>> IT WAS A RANDOM ACT OF 
20101209070234.333|20101209070237.667|CCO|VIOLENCE.
20101209070237.667|20101209070241.000|CCO|WITH MR. SMITH'S BACKGROUND, IT 
20101209070241.000|20101209070243.000|CCO|WAS MOST LIKELY A ROBBERY GONE 
20101209070243.000|20101209070245.000|CCO|BAD.
20101209070245.000|20101209070247.000|CCO|>> Reporter: HIS MODE OF 
20101209070247.000|20101209070249.000|CCO|TRANSPORTATION WAS HIS BICYCLE, 
