TOP|20101209073001|2010-12-09_0730_US_KMEX_Noticiero_Univision_Ultima_Hora
COL|Communication Studies Archive, UCLA 
UID|2244d104-0366-11e0-b92d-00e0815ffae2
DUR|0:29:55.02
VID|640x480
CMT|
LAN|SPA
LBT|2010-12-08 23:30 America/Los_Angeles
SEG_01|2014-02-14 18:18:03|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20101209073006.714|20101209075956.000|SEG|Type=Story
20101209073006.714|20101209073016.000|SEG_01|Type=Commercial
20101209073006.714|20101209073008.143|CCO| 
20101209073008.143|20101209073009.571|CCO|habernos acompañado, muy buenas 
20101209073009.571|20101209073011.000|CCO|noches 
20101209073011.000|20101209073016.000|CCO| 
20101209073016.000|20101209073021.000|SEG_01|Type=Story start
20101209073016.000|20101209073021.000|CCO|>> ESTA NOCHE EN ÚLTIMA HORA... 
20101209073021.000|20101209073023.500|CCO|>> LOS SUEÑOS SE HACEN REALIDAD 
20101209073023.500|20101209073026.000|CCO|PERO FALTA LA PARTE MÁS 
20101209073026.000|20101209073028.500|CCO|DIFÍCIL, MAÑANA VOTO DEL 
20101209073028.500|20101209073031.000|CCO|SENADO. 
20101209073031.000|20101209073036.000|CCO|JÓVENES PROMOTORES RECIBIERON 
20101209073036.000|20101209073041.000|CCO|LA NOTICIA CON GRITOS, LÁGRIMAS 
20101209073041.000|20101209073043.500|CCO|Y RISAS, JÚBILO QUE ENTIENDEN 
20101209073043.500|20101209073046.000|CCO|ES TEMPORAL. 
20101209073046.000|20101209073048.500|CCO|ARRESTAN A LA MADRE DEL 
20101209073048.500|20101209073051.000|CCO|PONCHIS, EL PEQUEÑO 
20101209073051.000|20101209073053.500|CCO|DELINCUENTE, HOY SE SABEN MÁS 
20101209073053.500|20101209073056.000|CCO|COSAS. 
20101209073056.000|20101209073058.500|CCO|UNA RIÑA ENTRE PRISIONEROS DE 
20101209073058.500|20101209073101.000|CCO|UNA CÁRCEL EN CHILE LE COSTÓ LA 
20101209073101.000|20101209073103.000|CCO|VIDA A CIENTOS DE ELLOS. 
20101209073103.000|20101209073105.000|CCO|ARRESTAN A UN HOMBRE QUE DIJO 
20101209073105.000|20101209073107.000|CCO|ODIO DE QUIENES ESTÁN EN CONTRA 
20101209073107.000|20101209073109.000|CCO|DE SU DIOS Y AMENAZÓ CON HACER 
20101209073109.000|20101209073111.000|CCO|EXPLOTAR UNA BOMBA. 
20101209073111.000|20101209073114.333|CCO|HOY CUMPLEN 30 AÑOS DE LA 
20101209073114.333|20101209073117.667|CCO|MUERTE DEL EX BEATLE JOHN 
20101209073117.667|20101209073121.000|CCO|LENNON, SEGUIDORES RODEAU -LO 
20101209073121.000|20101209073123.500|CCO|RECUERDAN CON SUS CANCIONES. 
20101209073123.500|20101209073126.000|CCO|>> ESTE ES SU NOTICIERO 
20101209073126.000|20101209073128.500|CCO|UNIVISIÓN ÚLTIMA HORA. 
20101209073128.500|20101209073131.000|CCO|>> GRACIAS POR COMPARTIR CON 
20101209073131.000|20101209073134.333|CCO|NOSOTROS PARTE DE ESTE 
20101209073134.333|20101209073137.667|CCO|MIÉRCOLES, EL DÍA DE HOY NO SE 
20101209073137.667|20101209073141.000|CCO|CONVIRTIÓ UNA PESADILLA PARA  
20101209073141.000|20101209073146.000|CCO|MILES DE INDOCUMENTADOS, 
20101209073146.000|20101209073151.000|CCO|VOTARON A FAVOR LA LEY DEL 
20101209073151.000|20101209073152.667|CCO|DREAM ACT, MAÑANA EL TURNO ES 
20101209073152.667|20101209073154.333|CCO|PARA EL SENADO FEDERAL Y ALLÍ 
20101209073154.333|20101209073156.000|CCO|ESTÁ LA PRUEBA FUERTE, 
20101209073156.000|20101209073157.667|CCO|COMENZAMOS CON LOURDES EN 
20101209073157.667|20101209073159.333|CCO|WASHINGTON. 
20101209073159.333|20101209073201.000|CCO|>> LA PRESIDENTA DE LA CÁMARA 
20101209073201.000|20101209073206.000|CCO|ANUNCIÓ LA APROBACIÓN DEL DREAM 
20101209073206.000|20101209073211.000|CCO|ACT QUE AMPARA A MILES DE 
20101209073211.000|20101209073214.333|CCO|JÓVENES INDOCUMENTADOS. OBAMA 
20101209073214.333|20101209073217.667|CCO|CONSIDERÓ UNA MEDIDA EN LA 
20101209073217.667|20101209073221.000|CCO|REFORMA MIGRATORIA. 
20101209073221.000|20101209073223.000|CCO|CONTÓ CON EL APOYO DE OCHO 
20101209073223.000|20101209073225.000|CCO|REPUBLICANOS MIENTRAS 38 
20101209073225.000|20101209073227.000|CCO|DEMÓCRATAS SE OPUSIERON, AL FIN 
20101209073227.000|20101209073229.000|CCO|UNALA NOCHE DE -UNA NOCHE DE 
20101209073229.000|20101209073231.000|CCO|JÚBILO PARA LOS SOÑADORES. 
20101209073231.000|20101209073233.500|CCO|>> ME SIENTO MUY FELIZ, 
20101209073233.500|20101209073236.000|CCO|EMOCIONADA, ACABAMOS DE LOGRAR 
20101209073236.000|20101209073238.500|CCO|ALGO MUY IMPORTANTE EN LA CASA 
20101209073238.500|20101209073241.000|CCO|DE REPRESENTANTES, Y AHORA 
20101209073241.000|20101209073244.333|CCO|ESTAMOS LISTOS PARA EL SENADO. 
20101209073244.333|20101209073247.667|CCO|>> DIJERON QUE TUVIERON QUE 
20101209073247.667|20101209073251.000|CCO|LUCHAR POR CADA VOTO HASTA EL 
20101209073251.000|20101209073253.500|CCO|FINAL, ÉL IMPULSÓ LA MEDIDA 
20101209073253.500|20101209073256.000|CCO|INCANSABLEMENTE.
20101209073256.000|20101209073258.500|CCO|>> AHORA TENEMOS QUE AMAR, AL 
20101209073258.500|20101209073301.000|CCO|MOAB EN EL JUEZ -PARA UN FUTURO 
20101209073301.000|20101209073302.667|CCO|VERDADERO QUE PUEDA INCLUIR A 
20101209073302.667|20101209073304.333|CCO|TODOS. 
20101209073304.333|20101209073306.000|CCO|>> TUVIERON QUE TAMBIÉN DEJAR 
