TOP|20101209140002|2010-12-09_1400_US_MSNBC_The_Daily_Rundown
COL|Communication Studies Archive, UCLA 
UID|9df1b6d8-039c-11e0-8941-00e0815fe86a
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-09 06:00 America/Los_Angeles
SEG_01|2014-06-18 17:52:26|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101209140006.444|20101209140024.000|SEG|Type=Story
20101209140006.444|20101209140007.556|CCO|Y?
20101209140007.556|20101209140008.667|CCO|WAS HE CARRYING HIS STICK AND A 
20101209140008.667|20101209140009.778|CCO|SACK AND JUMPING ON A FREIGHT 
20101209140009.778|20101209140010.889|CCO|TRAIN?
20101209140010.889|20101209140012.000|CCO|WHAT DID YOU LEARN?
20101209140012.000|20101209140014.000|CCO|>> WE COULD HAVE HAD A MORE 
20101209140014.000|20101209140016.000|CCO|VIGOROUS DEBATE.
20101209140016.000|20101209140018.000|CCO|>> YES, WE COULD HAVE.
20101209140018.000|20101209140020.000|CCO|>> WILLIE, IF IT'S WAY TOO 
20101209140020.000|20101209140022.000|CCO|EARLY, WHAT TIME IS IT?
20101209140022.000|20101209140024.000|CCO|>> IT'S "MORNING JOE."
20101209140024.000|20101209140042.000|SEG|Type=Story
20101209140024.000|20101209140026.000|CCO|>>> THE WHITE HOUSE PLAYS THE 
20101209140026.000|20101209140028.000|CCO|FEAR CARD.
20101209140028.000|20101209140030.000|CCO|THEY TELL SKEPTICAL HOUSE 
20101209140030.000|20101209140032.000|CCO|DEMOCRATS DEFEAT THE TAX CUT 
20101209140032.000|20101209140034.000|CCO|BILL AND RISK PLUNGING THE U.S. 
20101209140034.000|20101209140036.000|CCO|INTO A DOUBLE DIP RECESSION.
20101209140036.000|20101209140038.000|CCO|THIS MORNING, A REALITY CHECK 
20101209140038.000|20101209140040.000|CCO|WITH A KEY WHITE HOUSE ECONOMIC 
20101209140040.000|20101209140042.000|CCO|ADVISER, AUSTAN GOOLSBEE.
20101209140042.000|20101209140054.500|SEG|Type=Story
