TOP|20101209160002|2010-12-09_1600_US_CNN_Newsroom
COL|Communication Studies Archive, UCLA 
UID|61bd0a6c-03ad-11e0-b015-00e0815fe86c
DUR|0:59:55.02
VID|640x480
CMT|
TPF|transcripts.cnn.com|cnr.03.html
HED|Report About Dangers of Smoking; Protest in London Over Tuition Hike; Dems Defy President Obama; Michelle Rhee Discusses New Organization StudentsFirst; Joe Miller Continues the Fight in Alaska
LAN|ENG
LBT|2010-12-09 08:00 America/Los_Angeles
SEG_01|2014-06-18 17:52:45|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101209160022.000|20101209160107.000|SEG|Type=Story
20101209160022.000|20101209160025.333|CCO|>>> GOOD MORNING TO YOU ALL.
20101209160025.333|20101209160028.667|CCO|LIVE FROM STUDIO 7 CNN 
20101209160028.667|20101209160032.000|CCO|HEADQUARTERS IN ATLANTA, 
20101209160032.000|20101209160033.250|CCO|GEORGIA.
20101209160033.250|20101209160034.500|CCO|I'M T.J. HOLMES.
20101209160034.500|20101209160035.750|CCO|WE ARE KEEPING A CLOSE EYE ON 
20101209160035.750|20101209160037.000|CCO|WHAT'S HAPPENING IN LONDON.
20101209160037.000|20101209160038.250|CCO|THESE ARE ESSENTIALLY STUDENTS 
20101209160038.250|20101209160039.500|CCO|YOU ARE SEEING.
20101209160039.500|20101209160040.750|CCO|LIVE PICTURES OF PROTESTS GOING 
20101209160040.750|20101209160042.000|CCO|ON RIGHT NOW.
20101209160042.000|20101209160043.667|CCO|WHY ARE THEY UPSET?
20101209160043.667|20101209160045.333|CCO|BECAUSE THEIR TUITION COULD 
20101209160045.333|20101209160047.000|CCO|POSSIBLY GO UP BY THREE TIMES AT
20101209160047.000|20101209160048.667|CCO|SOME POINT.
20101209160048.667|20101209160050.333|CCO|THERE'S A VOTE THAT'S GOING TO 
20101209160050.333|20101209160052.000|CCO|TAKE PLACE SHORTLY.
20101209160052.000|20101209160054.000|CCO|WE WILL CONTINUE TO TAKE A CLOSE
20101209160054.000|20101209160056.000|CCO|WATCH.
20101209160056.000|20101209160058.000|CCO|ARRESTS HAVE BEEN MADE.
20101209160058.000|20101209160100.000|CCO|THINGS ARE BEING THROWN.
20101209160100.000|20101209160102.000|CCO|ANGRY STUDENTS ABOUT TUITION 
20101209160102.000|20101209160103.667|CCO|HIKES THAT COULD SEE THEIR 
20101209160103.667|20101209160105.333|CCO|TUITION GO FROM $4,700 TO 
20101209160105.333|20101209160107.000|CCO|$14,000. 
20101209160107.000|20101209160154.000|SEG|Type=Story
20101209160107.000|20101209160108.667|CCO|>>> ALSO, THE CHRISTMAS SEASON.
20101209160108.667|20101209160110.333|CCO|SAINT NICK IS THE GUY WHO IS 
20101209160110.333|20101209160112.000|CCO|SUPPOSED TO KNOW WHETHER OR NOT 
20101209160112.000|20101209160113.667|CCO|YOU ARE NAUGHTY OR NICE.
20101209160113.667|20101209160115.333|CCO|WHAT DO YOU DO WHEN HE'S NAUGHTY
20101209160115.333|20101209160117.000|CCO|AND HE GETS FIRED FROM HIS JOB 
20101209160117.000|20101209160118.667|CCO|AT A MACY'S?
20101209160118.667|20101209160120.333|CCO|WHY?
20101209160120.333|20101209160122.000|CCO|BECAUSE OF A JOKE HE TOLD A 
20101209160122.000|20101209160123.667|CCO|COUPLE.
20101209160123.667|20101209160125.333|CCO|>> I SAID, YOU KNOW WHY SANTA IS
20101209160125.333|20101209160127.000|CCO|SO HAPPY AND JOLLY ALL OF THE 
20101209160127.000|20101209160128.667|CCO|TIME.
20101209160128.667|20101209160130.333|CCO|THEY SAID, NO.
20101209160130.333|20101209160132.000|CCO|I SAID, WELL, THAT'S BECAUSE 
20101209160132.000|20101209160133.667|CCO|SANTA KNOWS WHERE ALL OF THE 
20101209160133.667|20101209160135.333|CCO|NAUGHTY GIRLS AND BOYS LIVE.
20101209160135.333|20101209160137.000|CCO|>> OKAY.
20101209160137.000|20101209160138.667|CCO|DID SANTA DESERVE TO LOSE HIS 
20101209160138.667|20101209160140.333|CCO|JOB OVER THAT?
20101209160140.333|20101209160142.000|CCO|WE'LL GET INTO THAT A LITTLE BIT
20101209160142.000|20101209160144.000|CCO|MORE THIS MORNING.
20101209160144.000|20101209160146.000|CCO|HELLO TO YOU ALL.
20101209160146.000|20101209160148.000|CCO|I'M IN TODAY FOR MY GOOD, GOOD 
20101209160148.000|20101209160150.000|CCO|FRIEND TONY HARRIS.
20101209160150.000|20101209160152.000|CCO|THOSE IS MORE STORIES COMING 
20101209160152.000|20101209160154.000|CCO|INTO THE CNN NEWSROOM.
20101209160154.000|20101209160449.000|SEG|Type=Story
20101209160154.000|20101209160156.000|CCO|>>> SURELY, WE ALL KNOW AT THIS 
20101209160156.000|20101209160158.000|CCO|POINT SMOKING IS BAD FOR YOU.
20101209160158.000|20101209160200.000|CCO|IF YOU SMOKE, YOU NEED TO QUIT.
20101209160200.000|20101209160202.000|CCO|ALSO, WE KNOW THAT SECONDHAND 
20101209160202.000|20101209160203.500|CCO|SMOKE CAN BE BAD FOR YOU AS 
20101209160203.500|20101209160205.000|CCO|WELL.
20101209160205.000|20101209160206.500|CCO|JUST HOW BAD?
20101209160206.500|20101209160208.000|CCO|IF YOU'RE EXPOSED TO SECONDHAND 
20101209160208.000|20101209160209.500|CCO|SMOKE, HOLD YOUR BREATH.
20101209160209.500|20101209160211.000|CCO|A NEW REPORT IS OUT TODAY THAT 
20101209160211.000|20101209160212.667|CCO|ISSUES SOME PRETTY STARK NEW 
20101209160212.667|20101209160214.333|CCO|WARNINGS ABOUT THE DANGERS ARE 
20101209160214.333|20101209160216.000|CCO|SMOKING AND ALSO THE SECONDHAND 
20101209160216.000|20101209160217.667|CCO|SMOKE.
20101209160217.667|20101209160219.333|CCO|LET ME BRING IN ELIZABETH COHEN 
20101209160219.333|20101209160221.000|CCO|WHO IS STANDING BY WITH THIS.
20101209160221.000|20101209160224.333|CCO|I WAS SHOCKED WHEN I HEARD THIS.
20101209160224.333|20101209160227.667|CCO|YOU DON'T NEED TO INHALE ONE 
20101209160227.667|20101209160231.000|CCO|SINGLE WHIFF OF SECONDHAND MOEK?
20101209160231.000|20101209160233.500|CCO|>> LET'S SAY YOU WALK INTO A 
20101209160233.500|20101209160236.000|CCO|SMOKY BAR, AND INHALING THAT 
20101209160236.000|20101209160238.500|CCO|SMOKE IN THE BAR CAN IMMEDIATELY
20101209160238.500|20101209160241.000|CCO|CAUSE DAMAGE ESPECIALLY TO THE 
20101209160241.000|20101209160242.429|CCO|LINING OF YOUR BLOOD VESSELS.
20101209160242.429|20101209160243.857|CCO|A LOT OF PEOPLE THINK THESE 
20101209160243.857|20101209160245.286|CCO|THINGS TAKE TIME.
20101209160245.286|20101209160246.714|CCO|THE SURGEON GENERAL WHO HAS BEEN
20101209160246.714|20101209160248.143|CCO|TELLING US FOR YEARS NOT TO 
20101209160248.143|20101209160249.571|CCO|SMOKE.
20101209160249.571|20101209160251.000|CCO|THEY HAVE COME UP WITH A NEW 
20101209160251.000|20101209160252.429|CCO|PUBLIC SERVICE ANNOUNCEMENT.
20101209160252.429|20101209160253.857|CCO|THEY ARE HOPING THIS WILL 
20101209160253.857|20101209160255.286|CCO|FINALLY CONVINCE AMERICANS TO 
20101209160255.286|20101209160256.714|CCO|QUIT SMOKING.
20101209160256.714|20101209160258.143|CCO|LET'S TAKE A LOOK.
20101209160258.143|20101209160259.571|CCO|>> WHEN YOU SMOKE, EVERY PUFF 
20101209160259.571|20101209160301.000|CCO|DAMAGES CELLS THROUGHOUT YOUR 
20101209160301.000|20101209160303.000|CCO|BODY.
20101209160303.000|20101209160305.000|CCO|THE LATEST RESEARCH SHOWS 
20101209160305.000|20101209160307.000|CCO|CIGARETTE SMOKE CONTAINS OVER 
20101209160307.000|20101209160309.000|CCO|7,000 CHEMICALS THAT SPREAD 
20101209160309.000|20101209160311.000|CCO|THROUGH YOUR BLOOD VESSELS 
20101209160311.000|20101209160312.667|CCO|CAUSING INFLAMMATION AND 
20101209160312.667|20101209160314.333|CCO|CLOTTING, RESTRICTING OXYGEN 
20101209160314.333|20101209160316.000|CCO|FLOW AND DOUBLING YOUR RISK OF 
20101209160316.000|20101209160317.667|CCO|HEART ATTACK AND DEATH.
20101209160317.667|20101209160319.333|CCO|>> OKAY, I WON'T SMOKE.
20101209160319.333|20101209160321.000|CCO|>> RIGHT, EXACTLY.
20101209160321.000|20101209160324.333|CCO|>> ARE WE TALKING ABOUT 
20101209160324.333|20101209160327.667|CCO|IRREPARABLE HARM IF YOU TAKE ONE
20101209160327.667|20101209160331.000|CCO|PUFF OR YOU GO IN A PLACE?
20101209160331.000|20101209160333.000|CCO|YOU'RE NOT SMOKING BUT THIS IS 
20101209160333.000|20101209160335.000|CCO|DAMAGE THAT'S DONE.
20101209160335.000|20101209160337.000|CCO|>> WALKING IN ONCE AND INHALING 
20101209160337.000|20101209160339.000|CCO|SMOKE FROM THE ATMOSPHERE, 
20101209160339.000|20101209160341.000|CCO|THAT'S NOT GOING TO KILL YOU.
20101209160341.000|20101209160343.000|CCO|YOUR BODY WILL RECOVER.
20101209160343.000|20101209160345.000|CCO|IT MIGHT TAKE A COUPLE OF DAYS 
20101209160345.000|20101209160347.000|CCO|BUT WILL LIKELY RECOVER.
20101209160347.000|20101209160349.000|CCO|BUT THEY WORRY ABOUT PEOPLE WHO 
20101209160349.000|20101209160351.000|CCO|INHALE SECONDHAND SMOKE YEAR 
20101209160351.000|20101209160352.667|CCO|AFTER YEAR AND EVEN WORSE, 
20101209160352.667|20101209160354.333|CCO|PEOPLE WHO SMOKE YEAR AFTER 
20101209160354.333|20101209160356.000|CCO|YEAR.
20101209160356.000|20101209160357.667|CCO|THAT MIGHT NOT BE IRREPARABLE.
20101209160357.667|20101209160359.333|CCO|>> WHABT THE NEW PRODUCTS, LOW 
20101209160359.333|20101209160401.000|CCO|NICOTINE.
20101209160401.000|20101209160402.429|CCO|OTHER THINGS THEY EXPERIMENT 
20101209160402.429|20101209160403.857|CCO|WITH.
20101209160403.857|20101209160405.286|CCO|>> LIKE THE LOW TAR, ALL OF THAT
20101209160405.286|20101209160406.714|CCO|STUFF.
20101209160406.714|20101209160408.143|CCO|THIS REPORT FINDS THAT FORGET 
20101209160408.143|20101209160409.571|CCO|IT, THEY HAVE BEEN OUT THERE FOR
20101209160409.571|20101209160411.000|CCO|YEARS AND THEY HAVEN'T CHANGED 
20101209160411.000|20101209160413.000|CCO|ANYTHING.
20101209160413.000|20101209160415.000|CCO|SMOKERS ARE STILL GETTING 
20101209160415.000|20101209160417.000|CCO|TERRIBLE DISEASES AT HIGH RATES,
20101209160417.000|20101209160419.000|CCO|AND IT MIGHT HURT THINGS BECAUSE
20101209160419.000|20101209160421.000|CCO|PEOPLE SEE LOW TAR, LOW 
20101209160421.000|20101209160422.667|CCO|NICOTINE, I WILL SMOKE TWICE AS 
20101209160422.667|20101209160424.333|CCO|MANY.
20101209160424.333|20101209160426.000|CCO|>> WE KNOW CIGARETTE SMOKING IS 
20101209160426.000|20101209160427.667|CCO|BAD FOR YOU BUT THE HEADLINE 
20101209160427.667|20101209160429.333|CCO|THAT MIGHT WORRY FOLKS IS ONE 
20101209160429.333|20101209160431.000|CCO|WHIFF WILL DO DAMAGE.
20101209160431.000|20101209160432.667|CCO|IT'S NOT GOING TO KILL YOU BUT 
20101209160432.667|20101209160434.333|CCO|IF YOU CAN AVOID IT, DO SO.
20101209160434.333|20101209160436.000|CCO|>> SOMETIMES YOU CAN.
20101209160436.000|20101209160437.667|CCO|YOU CAN CHOOSE NOT TO GO TO THE 
20101209160437.667|20101209160439.333|CCO|SMOKEY BAR.
20101209160439.333|20101209160441.000|CCO|>> INTERESTING STUFF.
20101209160441.000|20101209160443.000|CCO|NEW REPORT, CHECK IT OUT ON YOUR
20101209160443.000|20101209160445.000|CCO|OWN BUT TRUST WHAT SHE'S SAYING.
20101209160445.000|20101209160447.000|CCO|ELIZABETH, WE APPRECIATE YOU AS 
20101209160447.000|20101209160449.000|CCO|ALWAYS. 
20101209160449.000|20101209160528.500|SEG|Type=Story
20101209160449.000|20101209160451.000|CCO|>>> OTHER STORIES, A MARYLAND 
20101209160451.000|20101209160453.000|CCO|MAN IS IN CUSTODY THIS HOUR ON 
20101209160453.000|20101209160455.000|CCO|TERROR CHARGES.
20101209160455.000|20101209160457.000|CCO|ANTONIO MARTINEZ IS THE NAME.
20101209160457.000|20101209160459.000|CCO|HE'S ACCUSED OF PLOTTING TO BLOW
20101209160459.000|20101209160501.000|CCO|UP A MILITARY RECRUITING STATION
20101209160501.000|20101209160503.500|CCO|IN A BALTIMORE SUBURB.
20101209160503.500|20101209160506.000|CCO|>> WE WERE STANDING AT A COUNTER
20101209160506.000|20101209160508.500|CCO|TAKING CARE OF CUSTOMERS.
20101209160508.500|20101209160511.000|CCO|WE SAW EVERY ENTRANCE TO THE 
