TOP|20101209170002|2010-12-09_1700_US_FOX-News_Fox_Online
COL|Communication Studies Archive, UCLA 
UID|c3b5d728-03b5-11e0-8dd0-00e0815fe86c
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-09 09:00 America/Los_Angeles
SEG_01|2014-06-18 17:53:11|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101209170004.500|20101209171347.000|SEG|Type=Story
20101209170004.500|20101209170005.125|CCO|EXPECT IN THE NEXT FEW MINUTES.
20101209170005.125|20101209170005.750|CCO|
20101209170005.750|20101209170006.375|CCO|
20101209170006.375|20101209170007.000|CCO|THE SICKLE-STORY -- SINGLE-STORY
20101209170007.000|20101209170007.625|CCO|
20101209170007.625|20101209170008.250|CCO|
20101209170008.250|20101209170008.875|CCO|HOME WAS A BOMB FACTORY.
20101209170008.875|20101209170009.500|CCO|
20101209170009.500|20101209170010.125|CCO|
20101209170010.125|20101209170010.750|CCO|THE LOCAL BOMB SQUAD SAYING IT'S
20101209170010.750|20101209170011.375|CCO|
20101209170011.375|20101209170012.000|CCO|
20101209170012.000|20101209170012.417|CCO|SO DANGEROUS, IT'S NOT WORTH THE
20101209170012.417|20101209170012.833|CCO|
20101209170012.833|20101209170013.250|CCO|
20101209170013.250|20101209170013.667|CCO|RISK OF TRYING TO REMOVE THE
20101209170013.667|20101209170014.083|CCO|
20101209170014.083|20101209170017.000|SEG_01|Type=Commercial
20101209170014.083|20101209170014.500|CCO|
20101209170014.500|20101209170014.917|CCO|EXPLOSIVES.
20101209170014.917|20101209170015.333|CCO|
20101209170015.333|20101209170015.750|CCO|
20101209170015.750|20101209170016.167|CCO|JON.
20101209170016.167|20101209170016.583|CCO|
20101209170016.583|20101209170017.000|CCO|
20101209170017.000|20101209170017.417|SEG_01|Type=Story start
20101209170017.000|20101209170017.417|CCO|JON: THEY ARE BUILDING -- THEY
20101209170017.417|20101209170017.833|CCO|
20101209170017.833|20101209170018.250|CCO|
20101209170018.250|20101209170018.667|CCO|HAVE BUILT THAT 16-FOOT WALL
20101209170018.667|20101209170019.083|CCO|
20101209170019.083|20101209170019.500|CCO|
20101209170019.500|20101209170019.917|CCO|THAT YOU SEE IN THAT LEFT-HAND
20101209170019.917|20101209170020.333|CCO|
20101209170020.333|20101209170020.750|CCO|
20101209170020.750|20101209170021.167|CCO|SHOT.
20101209170021.167|20101209170021.583|CCO|
20101209170021.583|20101209170022.000|CCO|
20101209170022.000|20101209170022.417|CCO|THE HOT SITS -- HOUSE SITS
20101209170022.417|20101209170022.833|CCO|
20101209170022.833|20101209170023.250|CCO|
20101209170023.250|20101209170023.667|CCO|BEHIND THAT WALL, THEY ARE
20101209170023.667|20101209170024.083|CCO|
20101209170024.083|20101209170024.500|CCO|
20101209170024.500|20101209170024.917|CCO|TRYING TO PROTECT IT FROM
20101209170024.917|20101209170025.333|CCO|
20101209170025.333|20101209170025.750|CCO|
20101209170025.750|20101209170026.167|CCO|NEIGHBORS, PROTECT NEIGHBORS
