TOP|20101209180001|2010-12-09_1800_US_CNN_Newsroom
COL|Communication Studies Archive, UCLA 
UID|24ea3586-03be-11e0-bef1-00e0815fe826
DUR|0:59:55.02
VID|640x480
CMT|
TPF|transcripts.cnn.com|cnr.05.html
HED|Dems Stall Huge Tax Deal; House Dems Defy White House on Tax Cut Bill; Man Eats Worms to Treat Ulcerative Colitis
LAN|ENG
LBT|2010-12-09 10:00 America/Los_Angeles
SEG_01|2014-06-18 17:53:17|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101209180004.636|20101209180053.857|SEG|Type=Story
20101209180004.636|20101209180006.455|SEG_01|Type=Commercial
20101209180004.636|20101209180005.545|CCO| 
20101209180005.545|20101209180006.455|CCO|HERE.
20101209180006.455|20101209180007.364|SEG_01|Type=Story start
20101209180006.455|20101209180007.364|CCO|PLAYED COLLEGE BALL AT 
20101209180007.364|20101209180008.273|CCO|MISSISSIPPI STATE.
20101209180008.273|20101209180009.182|CCO|YOU WERE ACTIVE WITH THE RAVENS,
20101209180009.182|20101209180010.091|CCO|THE JETS PRACTICE SQUAD.
20101209180010.091|20101209180011.000|CCO|YOU WERE DIALED INTO THE NFL A 
20101209180011.000|20101209180012.429|CCO|BIT ALREADY. 
20101209180012.429|20101209180013.857|CCO|>> RIGHT.
20101209180013.857|20101209180015.286|CCO|>> YOU'RE WITH THIS COMPANY NOW.
20101209180015.286|20101209180016.714|CCO|DID YOU STILL HAVE HOPES OF 
20101209180016.714|20101209180018.143|CCO|BEING IN THE NFL AT SOME POINT?
20101209180018.143|20101209180019.571|CCO|>> THAT WAS ALWAYS MY CHILDHOOD 
20101209180019.571|20101209180021.000|CCO|DREAM.
20101209180021.000|20101209180022.429|CCO|ALSO THE JOB IN THE TRANSIT WAS 
20101209180022.429|20101209180023.857|CCO|ALWAYS MY SECOND DREAM.
20101209180023.857|20101209180025.286|CCO|THE LORD ALLOWED ME TO 
20101209180025.286|20101209180026.714|CCO|ACCOMPLISH BOTH OF THOSE DREAMS.
20101209180026.714|20101209180028.143|CCO|SOME PEOPLE DON'T EVEN GET A 
20101209180028.143|20101209180029.571|CCO|CHANCE TO ACCOMPLISH ONE OF 
20101209180029.571|20101209180031.000|CCO|THEM.
20101209180031.000|20101209180032.429|CCO|>> HIS COMPANY NORFOLK SOUTHERN 
20101209180032.429|20101209180033.857|CCO|SAID THEY WOULD HAVE GIVEN HIM A
20101209180033.857|20101209180035.286|CCO|LEAVE OF ABSENCE IF HE DECIDED 
20101209180035.286|20101209180036.714|CCO|TO GO TO THE JETS.
20101209180036.714|20101209180038.143|CCO|RIGHT NOW HE'S STAYING PUT.
20101209180038.143|20101209180039.571|CCO|GREAT STORY.
20101209180039.571|20101209180041.000|CCO|>> AN EXCELLENT STORY.
20101209180041.000|20101209180042.667|CCO|>> WOULD YOU GIVE UP A DREAM TO 
20101209180042.667|20101209180044.333|CCO|STAY WITH US HERE AT CNN?
20101209180044.333|20101209180046.000|CCO|>> I'VE ALREADY GIVEN UP MY 
20101209180046.000|20101209180047.667|CCO|DREAM TO STAY HERE AT CNN.
20101209180047.667|20101209180049.333|CCO|AS LONG AS YOU'RE HERE, I'M 
20101209180049.333|20101209180051.000|CCO|HERE.
20101209180051.000|20101209180052.429|CCO|KEEP LIVING THAT DREAM YOU'RE 
20101209180052.429|20101209180053.857|CCO|LIVING. 
20101209180053.857|20101209180143.500|SEG|Type=Story
20101209180053.857|20101209180055.286|CCO|>>> I'M HERE WITH YOU FOR THE 
20101209180055.286|20101209180056.714|CCO|NEXT COUPLE HOURS.
20101209180056.714|20101209180058.143|CCO|LIVE AERIAL PHOTOS OF LONDON, 
20101209180058.143|20101209180059.571|CCO|ENGLAND, RIGHT NOW.
20101209180059.571|20101209180101.000|CCO|MOMENTS AFTER THE PARLIAMENT HAS
20101209180101.000|20101209180102.429|CCO|VOTED TO APPROVE A MASSIVE 
20101209180102.429|20101209180103.857|CCO|TUITION HIKE.
20101209180103.857|20101209180105.286|CCO|WE HAVE SEEN VIOLENCE TODAY.
20101209180105.286|20101209180106.714|CCO|WE HAVE SEEN RIOTS, PUSHING AND 
20101209180106.714|20101209180108.143|CCO|SHOVING BETWEEN POLICE OFFICERS 
20101209180108.143|20101209180109.571|CCO|AND STUDENTS IN THE STREETS OF 
