TOP|20101209190001|2010-12-09_1900_US_MSNBC_News_Live
COL|Communication Studies Archive, UCLA 
UID|86808446-03c6-11e0-ac93-00e0815fe930
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-09 11:00 America/Los_Angeles
SEG_01|2014-06-18 17:53:33|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101209190004.636|20101209191751.000|SEG|Type=Story
20101209190004.636|20101209190005.545|CCO| GRENADES AND 
20101209190005.545|20101209190006.455|CCO|DANGEROUS CHEMICALS.
20101209190006.455|20101209190007.364|CCO|IT'S SAID TO BE THE LARGEST 
20101209190007.364|20101209190008.273|CCO|AMOUNT OF HOMEMADE EXPLOSIVES 
20101209190008.273|20101209190009.182|CCO|EVER FOUND IN ONE LOCATION IN 
20101209190009.182|20101209190010.091|CCO|OUR COUNTRY.
20101209190010.091|20101209190011.000|CCO|AUTHORITIES DON'T KNOW WHAT THE 
20101209190011.000|20101209190012.667|CCO|MAN LIVING THERE PLANNED TO DO 
20101209190012.667|20101209190014.333|CCO|WITH THESE EXPLOSIVES.
20101209190014.333|20101209190016.000|CCO|HE WAS RENTING THE HOME.
20101209190016.000|20101209190017.667|CCO|THEY SIMPLY SAY AT THIS POINT 
20101209190017.667|20101209190019.333|CCO|THAT THAT HOME WAS TOO DANGEROUS
20101209190019.333|20101209190021.000|CCO|TO LEAVE STANDING AND TOO 
20101209190021.000|20101209190024.333|CCO|DANGEROUS FOR THEM TO GO IN.
20101209190024.333|20101209190027.667|CCO|KRISTEN WELKER JOINS ME LIVE 
20101209190027.667|20101209190031.000|CCO|FROM ESCONDIDO.
20101209190031.000|20101209190032.429|CCO|WE SEE THE FIRE BEHIND YOU 
20101209190032.429|20101209190033.857|CCO|THERE, KRISTEN.
20101209190033.857|20101209190035.286|CCO|BUT POLICE ARRESTED THIS 
20101209190035.286|20101209190036.714|CCO|INDIVIDUAL, 54-YEAR-OLD 
20101209190036.714|20101209190038.143|CCO|UNEMPLOYED MAN.
20101209190038.143|20101209190039.571|CCO|HIS WIFE SAYS CHEMISTRY WAS HIS 
20101209190039.571|20101209190041.000|CCO|HOBBY, AND THIS MAY BE THE 
20101209190041.000|20101209190042.667|CCO|RESULT OF THE ALLEGATIONS AND 
20101209190042.667|20101209190044.333|CCO|CHARGES HE NOW FACES.
20101209190044.333|20101209190046.000|CCO|>> Reporter: THAT'S RIGHT, 
20101209190046.000|20101209190047.667|CCO|TAMRON.
20101209190047.667|20101209190049.333|CCO|REALLY AN UNPRECEDENTED MOMENT 
20101209190049.333|20101209190051.000|CCO|HERE IN SOUTHERN CALIFORNIA.
20101209190051.000|20101209190054.333|CCO|A 54-YEAR-OLD GEORGE MAN IS IN 
20101209190054.333|20101209190057.667|CCO|JAIL.
20101209190057.667|20101209190101.000|CCO|WE HEARD A SMALL EXPLOSION 
20101209190101.000|20101209190104.333|CCO|COMING FROM THE HOME.
20101209190104.333|20101209190107.667|CCO|THEY BELIEVE THIS IS THE WORK OF
20101209190107.667|20101209190111.000|CCO|THE 54-YEAR-OLD MAN WHO FACES 26
