TOP|20101209200002|2010-12-09_2000_US_CNN_Newsroom
COL|Communication Studies Archive, UCLA 
UID|e8ce5ed6-03ce-11e0-8a8b-00e0815fe86c
DUR|0:59:54.03
VID|640x480
CMT|
TPF|transcripts.cnn.com|cnr.07.html
HED|Prince Charles' Car Attacked by Protesters; Sarah Palin's Ultimate Goal?; House Democrats Reject Obama Tax Cut Deal
LAN|ENG
LBT|2010-12-09 12:00 America/Los_Angeles
SEG_01|2014-06-18 17:53:37|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101209200006.000|20101209200012.000|SEG|Type=Story
20101209200006.000|20101209200007.000|CCO| VOTED 
20101209200007.000|20101209200008.000|CCO|TODAY TO RAISE STUDENTS' TUITION
20101209200008.000|20101209200009.000|CCO|BY 300%.
20101209200009.000|20101209200010.000|CCO|THEY'VE BEEN OUT AND ABOUT 
20101209200010.000|20101209200011.000|CCO|PROTESTING.
20101209200011.000|20101209200012.000|CCO|THIS CAR GOT HIT IN THE FRAY. 
20101209200012.000|20101209200039.143|SEG|Type=Story
20101209200012.000|20101209200013.667|CCO|>>> ALSO, WE ARE WATCHING THE 
20101209200013.667|20101209200015.333|CCO|SLOW BURN OF THIS HOUSE, STILL 
20101209200015.333|20101209200017.000|CCO|BURNING AT THIS HOUR.
20101209200017.000|20101209200018.667|CCO|THIS IS WHAT THEY CALLED A BOMB 
20101209200018.667|20101209200020.333|CCO|HOUSE.
20101209200020.333|20101209200022.000|CCO|THIS IS IN NORTH SAN DIEGO 
20101209200022.000|20101209200024.500|CCO|COUNTY RIGHT AROUNESCONDIDO, 
20101209200024.500|20101209200027.000|CCO|CALIFORNIA.
20101209200027.000|20101209200029.500|CCO|CREWS ARE DISPOSING OF THE 
20101209200029.500|20101209200032.000|CCO|NATION'S LARGEST-EVER CACHE OF 
20101209200032.000|20101209200033.429|CCO|HOMEMADE EXPLOSIVES.
20101209200033.429|20101209200034.857|CCO|A GARDENER DISCOVERED ALL OF 
20101209200034.857|20101209200036.286|CCO|THEM JUST A COUPLE OF WEEKS AGO.
20101209200036.286|20101209200037.714|CCO|THE HOMEOWNER RIGHT NOW, SITTING
20101209200037.714|20101209200039.143|CCO|IN JAIL.
20101209200039.143|20101209200252.000|SEG|Type=Story
