TOP|20101209230001|2010-12-09_2300_US_KABC_Oprah_Winfrey
COL|Communication Studies Archive, UCLA 
UID|0d70a118-03e8-11e0-b881-00e0815fe83e
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-09 15:00 America/Los_Angeles
SEG_01|2014-06-18 17:54:00|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101209230011.000|20101209235956.000|SEG|Type=Story
20101209230011.000|20101209230013.000|CCO|[CAPTIONING MADE POSSIBLE BY
20101209230013.000|20101209230015.000|CCO|KING WORLD]
20101209230015.000|20101209230017.000|CCO|>> TODAY, ALL NEW.
20101209230017.000|20101209230019.000|CCO|OPRAH: ONE OF THE MOST HORRIFIC 
20101209230019.000|20101209230021.000|CCO|CRIMES IN RECENT MEMORY.
20101209230021.000|20101209230022.429|CCO|>> NOW OPRAH ON LOCATION IN 
20101209230022.429|20101209230023.857|CCO|CONNECTICUT WITH DR. WILLIAM
20101209230023.857|20101209230025.286|CCO|PETIT.
20101209230025.286|20101209230026.714|CCO|OPRAH: THE DAY YOUR FAMILY WAS
20101209230026.714|20101209230028.143|CCO|DESTROYED, DO YOU STILL THINK
20101209230028.143|20101209230029.571|CCO|ABOUT, WHY WERE YOU THE LONE
20101209230029.571|20101209230031.000|CCO|SURVIVOR? EMOTIONAL WORDS FROM A
20101209230031.000|20101209230032.667|CCO|SISTER. DO YOU PLAY IN YOUR HEAD
20101209230032.667|20101209230034.333|CCO|THE HORROR OF THE WAY THEY
20101209230034.333|20101209230036.000|CCO|DIED? 
20101209230036.000|20101209230037.667|CCO|>> THE EXCLUSIVE FIRST
20101209230037.667|20101209230039.333|CCO|INTERVIEW.
20101209230039.333|20101209230041.000|CCO|OPRAH: WILL YOU EVER BE ABLE TO 
20101209230041.000|20101209230042.667|CCO|FEEL HAPPINESS AGAIN?
20101209230042.667|20101209230044.333|CCO|>> NEXT.
20101209230044.333|20101209230046.000|CCO|>> WHAT'S YOUR EMERGENCY? 
20101209230046.000|20101209230047.667|CCO|>> ARE YOU POLICE?
20101209230047.667|20101209230049.333|CCO|>> YES. 
20101209230049.333|20101209230051.000|CCO|>> I GOT BILL PETIT HERE WHO'S
20101209230051.000|20101209230052.667|CCO|HURT, MY NEIGHBOR.
20101209230052.667|20101209230054.333|CCO|>> GET IN HERE NOW. YOU TWO, GET
20101209230054.333|20101209230056.000|CCO|IN THE HOUSE! GET IN THE HOUSE! 
20101209230056.000|20101209230057.667|CCO|I NEED A 101 HERE NOW! NOW!
20101209230057.667|20101209230059.333|CCO|OPRAH: THIS 911 CALL WAS THE
20101209230059.333|20101209230101.000|CCO|TERRIFYING END TO 7 HOURS OF
20101209230101.000|20101209230103.500|CCO|UNIMAGINABLE EVIL THAT LEFT
20101209230103.500|20101209230106.000|CCO|PEOPLE ACROSS AMERICA GASPING IN
20101209230106.000|20101209230108.500|CCO|HORROR. AS HIS FAMILY'S SUBURBAN
20101209230108.500|20101209230111.000|CCO|HOME BURST INTO FLAMES, DR. BILL
20101209230111.000|20101209230113.500|CCO|PETIT LAY IN HIS NEIGHBOR'S
20101209230113.500|20101209230116.000|CCO|YARD, BLOODIED AND BEATEN,
20101209230116.000|20101209230118.500|CCO|HAVING LOST EVERYTHING. THE DAY
20101209230118.500|20101209230121.000|CCO|BEGAN LIKE ANY OTHER SUNDAY FOR
20101209230121.000|20101209230123.000|CCO|THE CLOSE-KNIT PETIT FAMILY--AT
20101209230123.000|20101209230125.000|CCO|MORNING CHURCH SERVICES. BILL, A
20101209230125.000|20101209230127.000|CCO|PROMINENT DOCTOR, HAD BEEN
20101209230127.000|20101209230129.000|CCO|MARRIED TO HIS WIFE JENNIFER, A
20101209230129.000|20101209230131.000|CCO|NURSE, FOR 22 YEARS. THEIR
20101209230131.000|20101209230133.000|CCO|17-YEAR-OLD DAUGHTER HAYLEY WAS
20101209230133.000|20101209230135.000|CCO|A POPULAR "A" STUDENT, CAPTAIN
20101209230135.000|20101209230137.000|CCO|OF THE BASKETBALL TEAM, AND
