TOP|20101210020001|2010-12-10_0200_US_KABC_Eyewitness_News_6PM
COL|Communication Studies Archive, UCLA 
UID|32e367be-0401-11e0-989c-00e0815fe83e
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-09 18:00 America/Los_Angeles
SEG_01|2014-06-18 17:54:46|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101210020002.600|20101210022956.000|SEG|Type=Story
20101210020002.600|20101210022956.000|SEG_01|Type=Commercial
20101210020002.600|20101210020003.000|CCO|ECAUSE YOU'RE
20101210020003.000|20101210020003.400|CCO|
20101210020003.400|20101210020003.800|CCO|
20101210020003.800|20101210020004.200|CCO|DEALING WITH A GANG MEMBER
20101210020004.200|20101210020004.600|CCO|
20101210020004.600|20101210020005.000|CCO|
20101210020005.000|20101210020005.400|CCO|WITNESSES WERE RELUCTANT TO
20101210020005.400|20101210020005.800|CCO|
20101210020005.800|20101210020006.200|CCO|
20101210020006.200|20101210020006.600|CCO|HELP.
20101210020006.600|20101210020007.000|CCO|
20101210020007.000|20101210020007.400|CCO|
20101210020007.400|20101210020007.800|CCO|>> PEOPLE OVER TIME REALIZE THAT
20101210020007.800|20101210020008.200|CCO|
20101210020008.200|20101210020008.600|CCO|
20101210020008.600|20101210020009.000|CCO|IT'S THE RIGHT THING TO DO, THEY
20101210020009.000|20101210020009.400|CCO|
20101210020009.400|20101210020009.800|CCO|
20101210020009.800|20101210020010.200|CCO|NEED TO STEP UP AND WORK
20101210020010.200|20101210020010.600|CCO|
20101210020010.600|20101210020011.000|CCO|
20101210020011.000|20101210020011.667|CCO|TOGETHER WITH THE SHERIFF'S
20101210020011.667|20101210020012.333|CCO|
20101210020012.333|20101210020013.000|CCO|
20101210020013.000|20101210020013.667|CCO|DEPARTMENT AND BE ABLE TO PUT
20101210020013.667|20101210020014.333|CCO|
20101210020014.333|20101210020015.000|CCO|
20101210020015.000|20101210020015.667|CCO|THIS CASE IN A SITUATION WHERE
20101210020015.667|20101210020016.333|CCO|
20101210020016.333|20101210020017.000|CCO|
20101210020017.000|20101210020017.667|CCO|IT CAN BE PRESENTED TO OUR D. A.
20101210020017.667|20101210020018.333|CCO|
20101210020018.333|20101210020019.000|CCO|
20101210020019.000|20101210020019.667|CCO|>> Reporter: NOW THE SUSPECT
20101210020019.667|20101210020020.333|CCO|
20101210020020.333|20101210020021.000|CCO|
20101210020021.000|20101210020021.667|CCO|REMAINS IN CUSTODY WITH HIS BAIL
20101210020021.667|20101210020022.333|CCO|
20101210020022.333|20101210020023.000|CCO|
20101210020023.000|20101210020023.667|CCO|SET AT HALF A MILLION DOLLARS.
20101210020023.667|20101210020024.333|CCO|
20101210020024.333|20101210020025.000|CCO|
20101210020025.000|20101210020025.667|CCO|ANDREW AT THE TIME HE WAS KILLED
20101210020025.667|20101210020026.333|CCO|
20101210020026.333|20101210020027.000|CCO|
20101210020027.000|20101210020027.667|CCO|WAS TWO WEEKS SHY OF HIS 19th
20101210020027.667|20101210020028.333|CCO|
20101210020028.333|20101210020029.000|CCO|
20101210020029.000|20101210020029.667|CCO|BIRTHDAY.
20101210020029.667|20101210020030.333|CCO|
20101210020030.333|20101210020031.000|CCO|
20101210020031.000|20101210020031.556|CCO|REPORTING LIVE IN VENTURA, SID
20101210020031.556|20101210020032.111|CCO|
20101210020032.111|20101210020032.667|CCO|
20101210020032.667|20101210020033.222|CCO|GARCIA, ABC 7 "EYEWITNESS NEWS."
20101210020033.222|20101210020033.778|CCO|
20101210020033.778|20101210020034.333|CCO|
20101210020034.333|20101210020034.889|CCO|DAVID: THANK YOU.
20101210020034.889|20101210020035.444|CCO|
20101210020035.444|20101210020036.000|CCO|
20101210020036.000|20101210020036.556|CCO|THE SEARCH IS ON FOR A MAN WHO
20101210020036.556|20101210020037.111|CCO|
20101210020037.111|20101210020037.667|CCO|
20101210020037.667|20101210020038.222|CCO|INVESTIGATORS SAY HAS BEEN GOING
