TOP|20101210020002|2010-12-10_0200_US_KMEX_Noticias_34
COL|Communication Studies Archive, UCLA 
UID|3380192e-0401-11e0-be7e-00e0815fe725
DUR|0:29:54.04
VID|640x480
CMT|
LAN|SPA
LBT|2010-12-09 18:00 America/Los_Angeles
SEG_01|2014-06-18 17:54:50|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101210020007.714|20101210020019.500|SEG|Type=Story
20101210020007.714|20101210020009.143|CCO|H@
20101210020009.143|20101210020010.571|CCO|lo tomaron de buena forma porque
20101210020010.571|20101210020012.000|CCO|dice que esto le dará más 
20101210020012.000|20101210020014.500|CCO|tiempo para convencer a 
20101210020014.500|20101210020017.000|CCO|senadores de apoyar el Dream Act
20101210020017.000|20101210020019.500|CCO|(Acta de los Sueos).
20101210020019.500|20101210020034.500|SEG|Type=Story
20101210020019.500|20101210020022.000|CCO|>>> A ayer fue el voto 
20101210020022.000|20101210020027.000|CCO|histórico, dando alegría asiento
20101210020027.000|20101210020032.000|CCO|de estudiantes pero hoy el 
20101210020032.000|20101210020034.500|CCO|senado aplazó el voto.
20101210020034.500|20101210020045.333|SEG|Type=Story
20101210020034.500|20101210020037.000|CCO|>>> Estamos felices porque nos 
20101210020037.000|20101210020039.500|CCO|damas tiempo y sabemos que todo 
20101210020039.500|20101210020042.000|CCO|estamos trabajando para tomar 
20101210020042.000|20101210020045.333|CCO|votos.
20101210020045.333|20101210020102.000|SEG|Type=Story
20101210020045.333|20101210020048.667|CCO|>>> De estar seguro que hayan 
20101210020048.667|20101210020052.000|CCO|más votos y podamos contar con o
20101210020052.000|20101210020057.000|CCO|otro éxito.
20101210020057.000|20101210020102.000|CCO|para ser aprobada?
20101210020102.000|20101210020114.500|SEG|Type=Story
20101210020102.000|20101210020105.333|CCO|>>> No se sabe, pero lo que 
20101210020105.333|20101210020108.667|CCO|estamos agradecido que tenemos  
20101210020108.667|20101210020112.000|CCO|2 a 3 días más para poder educar
20101210020112.000|20101210020114.500|CCO|a la comunidad en general.
