TOP|20101210023002|2010-12-10_0230_US_KABC_World_News_With_Diane_Sawyer
COL|Communication Studies Archive, UCLA 
UID|6423b10e-0405-11e0-84e5-00e0815fe83e
DUR|0:29:54.04
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-09 18:30 America/Los_Angeles
SEG_01|2014-06-18 17:54:56|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101210023003.600|20101210023013.667|SEG|Type=Story
20101210023003.600|20101210023004.000|CCO|EYITNESS NEWS WEBCASTS AT
20101210023004.000|20101210023004.400|CCO|
20101210023004.400|20101210023004.800|CCO|
20101210023004.800|20101210023005.200|CCO|ABC7.COM AND ON YOUR WEB-ENABLED
20101210023005.200|20101210023005.600|CCO|
20101210023005.600|20101210023006.000|CCO|
20101210023006.000|20101210023006.400|CCO|CELLPHONE.
20101210023006.400|20101210023006.800|CCO|
20101210023006.800|20101210023007.200|CCO|
20101210023007.200|20101210023007.600|CCO|ELLEN: BE SURE TO JOIN US FOR
20101210023007.600|20101210023008.000|CCO|
20101210023008.000|20101210023008.400|CCO|
20101210023008.400|20101210023008.800|CCO|"EYEWITNESS NEWS" AT 11:00
20101210023008.800|20101210023009.200|CCO|
20101210023009.200|20101210023009.600|CCO|
20101210023009.600|20101210023010.000|CCO|TONIGHT.
20101210023010.000|20101210023010.400|CCO|
20101210023010.400|20101210023010.800|CCO|
20101210023010.800|20101210023011.200|CCO|HOPE YOU HAVE A GREAT NIGHT.
20101210023011.200|20101210023011.600|CCO|
20101210023011.600|20101210023012.000|CCO|
20101210023012.000|20101210023013.667|CCO|DAVID: GOOD NIGHT.
20101210023013.667|20101210023024.500|SEG|Type=Story
20101210023013.667|20101210023015.333|CCO|>>> TONIGHT ON "WORLD NEWS," 
20101210023015.333|20101210023017.000|CCO|ROYALS ATTACKED.
20101210023017.000|20101210023018.667|CCO|PRINCE CHARLES AND CAMILLA IN 
20101210023018.667|20101210023020.333|CCO|THEIR CAR, CONFRONTED BY SOME OF
20101210023020.333|20101210023022.000|CCO|THE ANGRY DEMONSTRATORS OUT IN 
20101210023022.000|20101210023024.500|CCO|THE STREETS OF LONDON.
20101210023024.500|20101210023032.000|SEG|Type=Story
20101210023024.500|20101210023027.000|CCO|>>> AND THE DEFIANT DEMOCRATS 
20101210023027.000|20101210023029.500|CCO|UNLEASH AN OPEN REVOLT ON THE 
20101210023029.500|20101210023032.000|CCO|PRESIDENT ON HIS TAX DEAL.
20101210023032.000|20101210023039.143|SEG|Type=Story
20101210023032.000|20101210023033.429|CCO|>>> ROLAIDS RECALL.
20101210023033.429|20101210023034.857|CCO|BREAKING NEWS ON 13 MILLION 
20101210023034.857|20101210023036.286|CCO|PACKAGES PULLED.
20101210023036.286|20101210023037.714|CCO|PARTICLES OF METAL AND GOOD 
20101210023037.714|20101210023039.143|CCO|FOUND INSIDE.
20101210023039.143|20101210023045.333|SEG|Type=Story
20101210023039.143|20101210023040.571|CCO|>>> AND IF YOU HAVE A BABY ON 
20101210023040.571|20101210023042.000|CCO|BOARD, WE HAVE A HOLIDAY TRAVEL 
20101210023042.000|20101210023043.667|CCO|ALERT FOR PARENTS TEMPTED TO FLY
20101210023043.667|20101210023045.333|CCO|WITH BABIES ON THEIR LAPS.
20101210023045.333|20101210023103.429|SEG|Type=Story
20101210023045.333|20101210023047.000|CCO|>>> AND, LOOKING FORWARD.
20101210023047.000|20101210023048.667|CCO|TURNS OUT ONE GLIMPSE OF 
20101210023048.667|20101210023050.333|CCO|YOURSELF DECADES FROM NOW WILL 
20101210023050.333|20101210023102.000|CCO|CHANGE WHAT YOU DO WITH YOUR 
20101210023102.000|20101210023103.429|CCO|MONEY TODAY.
20101210023103.429|20101210023356.286|SEG|Type=Story
20101210023103.429|20101210023104.857|CCO|>>> GOOD EVENING.
20101210023104.857|20101210023106.286|CCO|IT WAS AN INCREDIBLE MOMENT OF 
20101210023106.286|20101210023107.714|CCO|CHAOS ON THE STREETS OF LONDON 
