TOP|20101210030001|2010-12-10_0300_US_KCBS_Entertainment_Tonight
COL|Communication Studies Archive, UCLA 
UID|9473bfd0-0409-11e0-a649-00e0815ffae2
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-09 19:00 America/Los_Angeles
SEG_01|2014-06-18 17:55:04|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101210030005.444|20101210030435.714|SEG|Type=Story
20101210030005.444|20101210030006.556|CCO|CB AS  CAR C
20101210030006.556|20101210030007.667|CCO|AND CAMILLA ATTACKED BY 
20101210030007.667|20101210030008.778|CCO|PROTESTERS IN LONDON TODAY.
20101210030008.778|20101210030009.889|CCO|"E.T." IS ON THE SCENE WITH THE 
20101210030009.889|20101210030011.000|CCO|LATEST.
20101210030011.000|20101210030012.667|CCO|>> PRINCES WILLIAM AND HARRY, 
20101210030012.667|20101210030014.333|CCO|THE NEW INTERVIEW.
20101210030014.333|20101210030016.000|CCO|LOST VIDEO WITH THEIR MOTHER.
20101210030016.000|20101210030017.667|CCO|>> THAT'S WHAT KEEPS US GOING 
20101210030017.667|20101210030019.333|CCO|EVERY DAY, THE THOUGHT 
20101210030019.333|20101210030021.000|CCO|WOULD SHE BE LIKE IF SHE WAS 
20101210030021.000|20101210030022.250|CCO|AROUND TODAY.
20101210030022.250|20101210030023.500|CCO|>> WHAT YOU NEVER KNEW ABOUT 
20101210030023.500|20101210030024.750|CCO|PRINCESS DI.
20101210030024.750|20101210030026.000|CCO|>> I DON'T SEE MYSELF BEING 
20101210030026.000|20101210030027.250|CCO|QUEEN. 
20101210030027.250|20101210030028.500|CCO|>> THE HOLIDAYS IN D.C. AS THE 
20101210030028.500|20101210030029.750|CCO|FIRST FAMILY GETS READY TO LIGHT
20101210030029.750|20101210030031.000|CCO|THE TREE.
20101210030031.000|20101210030032.250|CCO|>> WE HAVE ALL YOUR PRESIDENTIAL
20101210030032.250|20101210030033.500|CCO|PREP. 
20101210030033.500|20101210030034.750|CCO|>> NOW, THE LATEST CELEBRITY 
20101210030034.750|20101210030036.000|CCO|HEADLINES FROM AROUND THE WORLD.
20101210030036.000|20101210030037.250|CCO|>> HELLO AND WELCOME TO 
20101210030037.250|20101210030038.500|CCO|"ENTERTAINMENT TONIGHT."
20101210030038.500|20101210030039.750|CCO|I'M MARK STEINES. 
20101210030039.750|20101210030041.000|CCO|>> FOR MARY HART, I'M SAMANTHA 
20101210030041.000|20101210030043.000|CCO|HARRIS.
20101210030043.000|20101210030045.000|CCO|>> SARAH PALIN'S NEW TELEVISION 
20101210030045.000|20101210030047.000|CCO|SHOW CALLED A SNUFF FILM?
20101210030047.000|20101210030049.000|CCO|WE HAVE HER KILLER CONTROVERSY 
20101210030049.000|20101210030051.000|CCO|AS SHE TELLS BARBARA WALTERS HER
20101210030051.000|20101210030053.500|CCO|POLITICAL FUTURE.
20101210030053.500|20101210030056.000|CCO|>> PALIN FOR PRESIDENT 2012?
20101210030056.000|20101210030058.500|CCO|>> IF YOU RAN FOR PRESIDENT, 
20101210030058.500|20101210030101.000|CCO|COULD YOU BEAT BARACK OBAMA?
20101210030101.000|20101210030102.286|CCO|>> I BELIEVE SO.
20101210030102.286|20101210030103.571|CCO|I'M LOOKING AT THE LAY OF THE 
20101210030103.571|20101210030104.857|CCO|LAND NOW AND TRYING TO FIGURE 
20101210030104.857|20101210030106.143|CCO|THAT OUT, IF IT'S A GOOD THING 
20101210030106.143|20101210030107.429|CCO|FOR THE COUNTRY, FOR THE 
20101210030107.429|20101210030108.714|CCO|DISCOURSE, FOR MY FAMILY.
20101210030108.714|20101210030110.000|CCO|>> TODD, DO YOU WANT YOUR WIFE 
20101210030110.000|20101210030111.667|CCO|TO BE PRESIDENT?
20101210030111.667|20101210030113.333|CCO|>> SHE'S DEFINITELY QUALIFIED TO
20101210030113.333|20101210030115.000|CCO|BE PRESIDENT, YEAH, I WOULD LOVE
20101210030115.000|20101210030116.667|CCO|FOR HER TO BE PRESIDENT IF SHE 
20101210030116.667|20101210030118.333|CCO|DECIDED TO RUN. 
20101210030118.333|20101210030120.000|CCO|>> SARAH FEATURED ON "BARBARA 
20101210030120.000|20101210030121.667|CCO|WALTERS PRESENTS THE 10 MOST 
20101210030121.667|20101210030123.333|CCO|FASCINATING PEOPLE OF 2010" ON 
20101210030123.333|20101210030125.000|CCO|ABC. 
20101210030125.000|20101210030126.667|CCO|>> THIS IS THE THIRD YEAR IN A 
20101210030126.667|20101210030128.333|CCO|ROW WE HAD SARAH PALIN ON.
20101210030128.333|20101210030130.000|CCO|WE'VE NEVER HAD A GUEST ON THREE
20101210030130.000|20101210030131.667|CCO|YEARS IN A ROW, NOT EVEN A 
20101210030131.667|20101210030133.333|CCO|PRESIDENT OR FIRST LADY.
20101210030133.333|20101210030135.000|CCO|HOW POWERFUL ARE YOU?
20101210030135.000|20101210030136.667|CCO|>> I THINK THAT I HAVE AS MUCH 
20101210030136.667|20101210030138.333|CCO|POWER AND INFLUENCE AS ANY OTHER
20101210030138.333|20101210030140.000|CCO|AMERICAN WHO IS BOLD ENOUGH TO 
20101210030140.000|20101210030142.500|CCO|STAND UP AND SPEAK OUT FOR WHAT 
20101210030142.500|20101210030145.000|CCO|THEY BELIEVE IN.
20101210030145.000|20101210030147.500|CCO|I JUST HAPPEN TO HAVE BEEN 
20101210030147.500|20101210030150.000|CCO|BLESSED WITH A MEGAPHONE.
20101210030150.000|20101210030151.667|CCO|>> A MEGAPHONE AND A RIFLE.
20101210030151.667|20101210030153.333|CCO|>> THERE YOU GO, BABY.
20101210030153.333|20101210030155.000|CCO|>> SARAH COMING UNDER FIRE FOR 
20101210030155.000|20101210030156.667|CCO|THIS CONTROVERSIAL EPISODE WHERE
20101210030156.667|20101210030158.333|CCO|SHE HUNTS, KILLS AND GETS A 
20101210030158.333|20101210030200.000|CCO|CARIBOU. 
20101210030200.000|20101210030202.500|CCO|>> WHEN YOU SEE THAT YOU HAVE A 
20101210030202.500|20101210030205.000|CCO|SUCCESSFUL HIT, IT'S A GREAT 
20101210030205.000|20101210030207.500|CCO|FEELING OF ACCOMPLISHMENT.
20101210030207.500|20101210030210.000|CCO|>> AARON SORKIN CALLING HER 
20101210030210.000|20101210030212.000|CCO|PHONEY PIONEER GIRL.
20101210030212.000|20101210030214.000|CCO|I DON'T RELISH KILLING ANIMALS.
20101210030214.000|20101210030216.000|CCO|I WOULDN'T DO A DANCE OF JOY 
20101210030216.000|20101210030218.000|CCO|WHILE I WAS SLICING THE ANIMAL 
20101210030218.000|20101210030220.000|CCO|APART.
20101210030220.000|20101210030221.429|CCO|I DON'T WATCH SNUFF FILMS AND 
20101210030221.429|20101210030222.857|CCO|YOU MAKE THEM.
20101210030222.857|20101210030224.286|CCO|YOU WEREN'T KILLING THAT ANIMAL 
20101210030224.286|20101210030225.714|CCO|FOR FOOD OR SHELTER OR EVEN 
20101210030225.714|20101210030227.143|CCO|FASHION.
20101210030227.143|20101210030228.571|CCO|YOU WERE KILLING IT FOR FUN."
20101210030228.571|20101210030230.000|CCO|>> I FEEL A LOT BETTER NOW. 
20101210030230.000|20101210030233.333|CCO|>> BILL MAHR ALSO OUTRANGED, 
20101210030233.333|20101210030236.667|CCO|HIS TWEET, "SEEING PALIN KILL 
20101210030236.667|20101210030240.000|CCO|THAT MOOSE, A CREATURE WITH A 
20101210030240.000|20101210030242.000|CCO|FAR HIGHER IQ INSPIRED HATE FAR 
20101210030242.000|20101210030244.000|CCO|BEYOND WHAT I WAS CAPABLE OF."
20101210030244.000|20101210030246.000|CCO|>> PALIN SHARES THE RIGHT TO 
20101210030246.000|20101210030248.000|CCO|BEAR ARMS WITH KATE GOSSELIN IN 
20101210030248.000|20101210030250.000|CCO|A NEW EPISODE OF "SARAH PALIN'S 
20101210030250.000|20101210030252.000|CCO|ALASKA" ON TLC.
20101210030252.000|20101210030254.000|CCO|>> THAT FELT GOOD.
20101210030254.000|20101210030256.000|CCO|>> I CAN'T SAY I'M A GUN 
20101210030256.000|20101210030258.000|CCO|ADVOCATE.
20101210030258.000|20101210030300.000|CCO|THERE'S NOTHING I WOULDN'T DO TO
20101210030300.000|20101210030302.000|CCO|PROTECT MY KIDS.
20101210030302.000|20101210030304.000|CCO|>> WATCH OUT FOR KATE.
20101210030304.000|20101210030306.000|CCO|SARAH CERTAINLY DOESN'T SHY AWAY
20101210030306.000|20101210030308.000|CCO|COMING UP, SHE IS ON THE RECORD 
20101210030308.000|20101210030310.000|CCO|ABOUT DIVORCE.
20101210030310.000|20101210030311.667|CCO|ARE SHE AND TODD SPLITTING?
20101210030311.667|20101210030313.333|CCO|WE'LL HAVE THAT IN A SECOND, BUT
20101210030313.333|20101210030315.000|CCO|FIRST, HAS THE BEVERLY HILLS 
20101210030315.000|20101210030316.667|CCO|MURDER OF RONNI CHASEN BEEN 
20101210030316.667|20101210030318.333|CCO|SOLVED?
20101210030318.333|20101210030320.000|CCO|HERE IS THE LATEST NEWS.
20101210030320.000|20101210030321.667|CCO|>> POLICE SAY THE GUN USED TO 
20101210030321.667|20101210030323.333|CCO|KILL
20101210030323.333|20101210030325.000|CCO|SAME ONE EX-CONVICT HAROLD
20101210030325.000|20101210030326.667|CCO|MARTIN SMITH USED TO COMMIT 
20101210030326.667|20101210030328.333|CCO|SUICIDE AT THIS HOLLYWOOD 
20101210030328.333|20101210030330.000|CCO|APARTMENT BUILDING.
20101210030330.000|20101210030331.250|CCO|POLICE BELIEVE SMITH WAS THE 
20101210030331.250|20101210030332.500|CCO|SHOOTER. 
20101210030332.500|20101210030333.750|CCO|>> WE BELIEVE MR. SMITH ACTED 
20101210030333.750|20101210030335.000|CCO|ALONE.
20101210030335.000|20101210030336.250|CCO|WE DON'T BELIEVE IT WAS A 
20101210030336.250|20101210030337.500|CCO|PROFESSIONAL HIT. 
20101210030337.500|20101210030338.750|CCO|>> IT WAS A TIP FROM AMERICA'S 
20101210030338.750|20101210030340.000|CCO|MOST WANTED THAT LED POLICE TO 
20101210030340.000|20101210030343.333|CCO|SM
20101210030343.333|20101210030346.667|CCO|TODAY, WE SPOKE TO HOST JOHN PAL
20101210030346.667|20101210030350.000|CCO|SHALL VIA TELEPHONE WHO BELIEVE 
20101210030350.000|20101210030352.000|CCO|THE POLICE HAVE SOLVED THE CASE.
20101210030352.000|20101210030354.000|CCO|>> I BELIEVE IT WAS A RANDOM 
20101210030354.000|20101210030356.000|CCO|HORRIBLY BAD.
20101210030356.000|20101210030358.000|CCO|THE HERO IS THE TIPSTER.
20101210030358.000|20101210030400.000|CCO|I THINK THIS WILL PUT AN END TO 
20101210030400.000|20101210030401.429|CCO|A STREAK OF VIOLENCE IN BEVERLY 
20101210030401.429|20101210030402.857|CCO|HILLS.
20101210030402.857|20101210030404.286|CCO|>> THE RESPECTED PUBLICIST WAS 
20101210030404.286|20101210030405.714|CCO|GUNNED DOWN AFTER SHE ATTENDED 
20101210030405.714|20101210030407.143|CCO|AN AFTER PARTY FOR THE FILM 
20101210030407.143|20101210030408.571|CCO|"BURLESQUE."
20101210030408.571|20101210030410.000|CCO|THERE ARE STILL SOME UNANSWERED 
20101210030410.000|20101210030412.000|CCO|QUESTIONS BECAUSE NEIGHBORS OF 
20101210030412.000|20101210030414.000|CCO|SMITH SA
20101210030414.000|20101210030416.000|CCO|RECEIVING A WINDFALL OF $10,000.
20101210030416.000|20101210030418.000|CCO|WALSH SAYS SMITH WAS A DISTURBED
20101210030418.000|20101210030420.000|CCO|MAN AND HE BELIEVES THE CASE HAS
20101210030420.000|20101210030422.500|CCO|COME TO A CONCLUSION. 
20101210030422.500|20101210030425.000|CCO|>> RONNI CHASEN WAS 
20101210030425.000|20101210030427.500|CCO|UNFORTUNATELY THE VICTIM OF HIS 
20101210030427.500|20101210030430.000|CCO|STUPIDITY AND VIOLENCE.
20101210030430.000|20101210030431.429|CCO|>> OF COURSE, FOR ANY UPDATES ON
20101210030431.429|20101210030432.857|CCO|THE CHASEN MURDER INVESTIGATION,
20101210030432.857|20101210030434.286|CCO|TUNE IN TO AMERICA'S MOST WANTED
20101210030434.286|20101210030435.714|CCO|THIS SATURDAY ON FOX.
20101210030435.714|20101210030734.286|SEG|Type=Story
20101210030435.714|20101210030437.143|CCO|>>> TONIGHT IN WASHINGTON, D.C.,
20101210030437.143|20101210030438.571|CCO|THE 87th ANNUAL NATIONAL 
20101210030438.571|20101210030440.000|CCO|CHRISTMAS TREE LIGHTING CEREMONY
20101210030440.000|20101210030442.000|CCO|TAKES PLACE.
20101210030442.000|20101210030444.000|CCO|OUR KEVIN FRAZIER IS THERE. 
20101210030444.000|20101210030446.000|CCO|>> IT'S THE COUNTDOWN TO THE 
