TOP|20101210030001|2010-12-10_0300_US_KNBC_EXTRA
COL|Communication Studies Archive, UCLA 
UID|94da52c2-0409-11e0-b6da-00e0815fe930
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-09 19:00 America/Los_Angeles
SEG_01|2014-06-18 17:55:05|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101210030011.000|20101210032956.000|SEG|Type=Story
20101210030011.000|20101210030016.000|SEG_01|Type=Commercial
20101210030011.000|20101210030012.667|CCO|[CAPTIONING MADE POSSIBLE BY
20101210030012.667|20101210030014.333|CCO|WARNER BROS. DOMESTIC TELEVISION
20101210030014.333|20101210030016.000|CCO|DISTRIBUTION]
20101210030016.000|20101210030017.667|SEG_01|Type=Story start
20101210030016.000|20101210030017.667|CCO|>> HEY, I'M MARIO LOPEZ.
20101210030017.667|20101210030019.333|CCO|MICHAEL DOUGLAS' HAUNTING NEW 
20101210030019.333|20101210030021.000|CCO|VIDEO YOU CAN'T TAKE YOUR EYES
20101210030021.000|20101210030023.000|CCO|OFF IT.
20101210030023.000|20101210030025.000|CCO|CAPTIONED BY THE
20101210030025.000|20101210030027.000|CCO|NATIONAL CAPTIONING 
20101210030027.000|20101210030029.000|CCO|INSTITUTE 
20101210030029.000|20101210030031.000|CCO|---WWW.NCICAP.ORG----
20101210030031.000|20101210030032.667|CCO|>> MICHAEL'S HIDDEN MESSAGE.
20101210030032.667|20101210030034.333|CCO|WHY HE SHOT THIS GRIPPING NEW 
20101210030034.333|20101210030036.000|CCO|VIDEO IN THE THROES OF HIS
20101210030036.000|20101210030037.667|CCO|CANCER BATTLE AND HOW HE'S
20101210030037.667|20101210030039.333|CCO|FEELING TODAY.
20101210030039.333|20101210030041.000|CCO|BARBRA'S 10 MOST FASCINATING
20101210030041.000|20101210030043.000|CCO|PEOPLE. 
20101210030043.000|20101210030045.000|CCO|>> AT 88 DOES ONE STILL HAVE
20101210030045.000|20101210030047.000|CCO|SEX?
20101210030047.000|20101210030049.000|CCO|>> IF ONE GETS LUCKY. 
20101210030049.000|20101210030051.000|CCO|>> IS ELIN THIS YEAR'S MOST 
20101210030051.000|20101210030056.000|CCO|FASCINATING?
20101210030056.000|20101210030101.000|CCO|ELIZABETH EDWARDS' RELATIONSHIP 
20101210030101.000|20101210030102.111|CCO|WITH THEIR CHILDREN, FACING THE 
20101210030102.111|20101210030103.222|CCO|FUTURE WITHOUT
20101210030103.222|20101210030104.333|CCO|HER.
20101210030104.333|20101210030105.444|CCO|IS JOHN EDWARDS PLANNING TO 
20101210030105.444|20101210030106.556|CCO|MARRY HIS MISTRESS? 
20101210030106.556|20101210030107.667|CCO|WHY OPRAH IS HAPPY SHE NEVER
20101210030107.667|20101210030108.778|CCO|WALKED DOWN THE AISLE AND HOW 
20101210030108.778|20101210030109.889|CCO|SHE FEELS ABOUT HER MOTHER
20101210030109.889|20101210030111.000|CCO|TODAY.
20101210030111.000|20101210030113.500|CCO|>> YOUR MOTHER? 
