TOP|20101210033001|2010-12-10_0330_US_KNBC_Access_Hollywood
COL|Communication Studies Archive, UCLA 
UID|c58f6c1e-040d-11e0-afb0-00e0815fe930
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-09 19:30 America/Los_Angeles
SEG_01|2014-06-18 17:55:06|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101210033005.444|20101210035956.000|SEG|Type=Story
20101210033005.444|20101210033006.556|CCO|e BogiMan FASCINATING.  
20101210033006.556|20101210033007.667|CCO|WHO WAS THE LAST MINUTE 
20101210033007.667|20101210033008.778|CCO|ADDITION.
20101210033008.778|20101210033009.889|CCO|> SOA DEFENDS HER "MODERN 
20101210033009.889|20101210033011.000|CCO|FAMILY" BASHING OF JANE LYNCH 
20101210033011.000|20101210033012.667|CCO|AND ED O'NEILL'S EXPLANATION.
20101210033012.667|20101210033014.333|CCO|>> EXTREMELY HANDS ON, WONDERFUL
20101210033014.333|20101210033016.000|CCO|FATHER.
20101210033016.000|20101210033017.667|CCO|>> EXTREMELY HANDS ON, RIGHT.  
20101210033017.667|20101210033019.333|CCO|I'M SHAUN ROBINSON WITH NEW BRAD
20101210033019.333|20101210033021.000|CCO|AND ANGELINA.  
20101210033021.000|20101210033023.000|CCO|A SEXY CASE, LEATHER AND LACE 
20101210033023.000|20101210033025.000|CCO|AND THE ACCES SPOTLIGHT IS ON 
20101210033025.000|20101210033027.000|CCO|EMINEM.  
20101210033027.000|20101210033029.000|CCO|HIS HATERS, LOVERS.
20101210033029.000|20101210033031.000|CCO|> AND PEOPLE VERSUS MATHERS.
20101210033031.000|20101210033033.500|CCO|>> IN AN EERIE ARTISTIC LOOK AT 
20101210033033.500|20101210033036.000|CCO|MICHAEL DOUGLAS DURING HIS MOST 
20101210033036.000|20101210033038.500|CCO|DIFFICULT CANCER BATTLE MOMENTS.
20101210033038.500|20101210033041.000|CCO|IS THE MYSTERY FINALLY SOLVED?  
20101210033041.000|20101210033042.667|CCO|WELCOME TO "ACCESS HOLLYWOOD," 
