TOP|20101210040002|2010-12-10_0400_US_CNN_Anderson_Cooper_360
COL|Communication Studies Archive, UCLA 
UID|f725b55e-0411-11e0-951f-00e0815fe86c
DUR|0:59:55.02
VID|640x480
CMT|
TPF|transcripts.cnn.com|acd.02.html
HED|"Don't Ask, Don't Tell" Vote Fails; Pres. Obama's Tax Cut Drama; Bachus Bucks; Financial Reforms Under Fire; Prosecutorial Misconduct; Cheating Kids Out of an Education
LAN|ENG
LBT|2010-12-09 20:00 America/Los_Angeles
SEG_01|2014-06-18 17:55:09|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101210040022.000|20101210041103.667|SEG|Type=Story
20101210040022.000|20101210040032.000|CCO|TONIGHT THE BILL TO END DON'T 
20101210040032.000|20101210040033.250|CCO|ASK, DON'T TELL DIES.
20101210040033.250|20101210040034.500|CCO|BUT WHAT HAPPENED? 
20101210040034.500|20101210040035.750|CCO|60 SENATORS SAY THEY SUPPORT 
20101210040035.750|20101210040037.000|CCO|REPEAL, SO HOW COME THEY DIDN'T 
20101210040037.000|20101210040038.250|CCO|VOTE THAT WAY? 
20101210040038.250|20101210040039.500|CCO|WE'RE KEEPING THEM HONEST.
20101210040039.500|20101210040040.750|CCO|ALSO TONIGHT, THE LATEST ON THE 
20101210040040.750|20101210040042.000|CCO|WRANGLING OVER THE TAX DEAL AND 
20101210040042.000|20101210040044.000|CCO|A LITTLE PIECE OF LEGISLATION 
20101210040044.000|20101210040046.000|CCO|THAT MIGHT BE ATTACHED TO IT.
20101210040046.000|20101210040048.000|CCO|HARRY REID DOUBLING DOWN, TRYING
20101210040048.000|20101210040050.000|CCO|TO FORCE A BILL TO LEGALIZE 
20101210040050.000|20101210040052.000|CCO|ONLINE POKER ON TO A LEGISLATIVE
20101210040052.000|20101210040053.250|CCO|PLATE HE ALREADY SAYS IS 
20101210040053.250|20101210040054.500|CCO|OVERFLOWING.
20101210040054.500|20101210040055.750|CCO|FOUR YEARS AGO HE WAS AGAINST 
20101210040055.750|20101210040057.000|CCO|IT, NOW HE'S FOR IT.
20101210040057.000|20101210040058.250|CCO|SO WHAT HAPPENED? 
20101210040058.250|20101210040059.500|CCO|AND TONIGHT, DID YOU KNOW 
20101210040059.500|20101210040100.750|CCO|CONGRESS'S INCOMING HEAD OF 
20101210040100.750|20101210040102.000|CCO|FINANCIAL OVERSIGHT, THE GUY WHO
