TOP|20101210040001|2010-12-10_0400_US_KCAL_KCAL_9_News_at_8PM
COL|Communication Studies Archive, UCLA 
UID|f64f4cda-0411-11e0-aff2-00e0815fe725
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-09 20:00 America/Los_Angeles
SEG_01|2014-06-18 17:55:12|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101210040021.000|20101210045956.000|SEG|Type=Story
20101210040021.000|20101210040022.765|SEG_01|Type=Commercial
20101210040021.000|20101210040021.588|CCO|Show 9009
20101210040021.588|20101210040022.176|CCO|
20101210040022.176|20101210040022.765|CCO|
20101210040022.765|20101210040023.353|SEG_01|Type=Story start
20101210040022.765|20101210040023.353|CCO|RICK: TONIGHT ON "KCAL 9 NEWS"
20101210040023.353|20101210040023.941|CCO|
20101210040023.941|20101210040024.529|CCO|AT 8:00, FIRE.
20101210040024.529|20101210040025.118|CCO|
20101210040025.118|20101210040025.706|CCO|FIREFIGHTERS BURNED DOWN A HOUSE
20101210040025.706|20101210040026.294|CCO|
20101210040026.294|20101210040026.882|CCO|FILLED WITH HAZARDOUS MATERIALS
20101210040026.882|20101210040027.471|CCO|
20101210040027.471|20101210040028.059|CCO|AND EXPLOSIVES.
20101210040028.059|20101210040028.647|CCO|
20101210040028.647|20101210040029.235|CCO|SHARON: ALSO A DAY AFTER A PORT
20101210040029.235|20101210040029.824|CCO|
20101210040029.824|20101210040030.412|CCO|ACTOR LASHES OUT AGAINST THE
20101210040030.412|20101210040031.000|CCO|
20101210040031.000|20101210040032.000|CCO|INDUSTRY HEALTH CLINICS ITS
20101210040032.000|20101210040033.000|CCO|
20101210040033.000|20101210040034.000|CCO|SHUTDOWN.
20101210040034.000|20101210040035.000|CCO|
20101210040035.000|20101210040036.000|CCO|RICK: A NEW BUS PLAYED WILL SEE
20101210040036.000|20101210040037.000|CCO|
20101210040037.000|20101210040038.000|CCO|TRANSIT ON WILSHIRE BOULEVARD.
20101210040038.000|20101210040039.000|CCO|
20101210040039.000|20101210040040.000|CCO|THE EVENING.
20101210040040.000|20101210040041.000|CCO|
20101210040041.000|20101210040041.833|CCO|I'M RICK GARCIA.
20101210040041.833|20101210040042.667|CCO|
20101210040042.667|20101210040043.500|CCO|SHARON: AND I'M SHARON TAY.
20101210040043.500|20101210040044.333|CCO|
