TOP|20101210070001|2010-12-10_0700_US_KNBC_Channel_4_News_at_11PM
COL|Communication Studies Archive, UCLA 
UID|1b85afc6-042b-11e0-8664-00e0815fe86a
DUR|0:34:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-09 23:00 America/Los_Angeles
SEG_01|2014-06-18 17:55:25|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101210070051.000|20101210070056.000|SEG|Type=Story
20101210070051.000|20101210070056.000|CCO|APPRENTICE
20101210070056.000|20101210070236.000|SEG|Type=Story
20101210070056.000|20101210070101.000|CCO|>>> THE MURDER OF RONNI CHASEN 
20101210070101.000|20101210070102.250|CCO|AMBUSHED IN BEVERLY HILLS.
20101210070102.250|20101210070103.500|CCO|TONIGHT PERSISTENT DOUBTS FROM 
20101210070103.500|20101210070104.750|CCO|THE PUBLIC.
20101210070104.750|20101210070106.000|CCO|DID THIS MAN REALLY ACT ALONE?
20101210070106.000|20101210070107.250|CCO|A LOT OF PEOPLE ARE STILL 
20101210070107.250|20101210070108.500|CCO|TALKING ABOUT THIS, WONDERING 
20101210070108.500|20101210070109.750|CCO|ABOUT THE RONNI CHASEN MURDER 
20101210070109.750|20101210070111.000|CCO|CASE.
20101210070111.000|20101210070113.000|CCO|IT SEEM THE EXPLANATION POLICE 
20101210070113.000|20101210070115.000|CCO|OFFERED ON WEDNESDAY IS STILL 
20101210070115.000|20101210070117.000|CCO|NOT ENOUGH TO SATISFY EVERYONE.
20101210070117.000|20101210070119.000|CCO|ANGIE CROUCH IS LIVE IN BEVERLY 
20101210070119.000|20101210070121.000|CCO|HILLS.
20101210070121.000|20101210070122.429|CCO|>> Reporter: THAT'S RIGHT.
20101210070122.429|20101210070123.857|CCO|BEVERLY HILLS POLICE BLEF 
20101210070123.857|20101210070125.286|CCO|THEY'RE ONLY 60% TO 70% DONE 
20101210070125.286|20101210070126.714|CCO|WITH THEIR INVESTIGATION YET 
20101210070126.714|20101210070128.143|CCO|THEY'VE ALREADY BASICALLY PINNED
20101210070128.143|20101210070129.571|CCO|THE CLAIM ON AN EX-CON RIDING A 
20101210070129.571|20101210070131.000|CCO|BICYCLE.
20101210070131.000|20101210070133.000|CCO|TO SOME THIS POLICE THEORY 
20101210070133.000|20101210070135.000|CCO|DOESN'T MAKE SENSE.
20101210070135.000|20101210070137.000|CCO|TONIGHT IN BEVERLY HILL, THEY'RE
20101210070137.000|20101210070139.000|CCO|KICK OFF THE HOLIDAY SEASON ON 
20101210070139.000|20101210070141.000|CCO|RODEO DRIVE AS QUESTIONS LING 
20101210070141.000|20101210070142.429|CCO|BETTER A HIGH PROFILE MURDER 
20101210070142.429|20101210070143.857|CCO|HERE.
20101210070143.857|20101210070145.286|CCO|SPECULATION BEGIN LAST MONTH'S 
20101210070145.286|20101210070146.714|CCO|SHOOTING OF HOLLYWOOD PUBLICIST 
20101210070146.714|20101210070148.143|CCO|RON DELIVER CHASEN.
20101210070148.143|20101210070149.571|CCO|DESPITE THE PRESS CONFERENCE 
20101210070149.571|20101210070151.000|CCO|YESTERDAY WHEN BEVERLY HILLS 
20101210070151.000|20101210070153.500|CCO|POLICE SAID THEY TRADE TO 
20101210070153.500|20101210070156.000|CCO|CORRECT PREVIOUS ERRONEOUS 
20101210070156.000|20101210070158.500|CCO|RESPONSES.
20101210070158.500|20101210070201.000|CCO|>> PEEL WANT TO KNOW WHAT THAT, 
20101210070201.000|20101210070202.429|CCO|THE DETAILS OF WHAT WAS 
20101210070202.429|20101210070203.857|CCO|ERRONEOUS, WHAT WAS NOT 
20101210070203.857|20101210070205.286|CCO|ERRONEOUS, ARE STILL LURKING IN 
20101210070205.286|20101210070206.714|CCO|PEOPLE'S MINDS.
20101210070206.714|20101210070208.143|CCO|>> Reporter: THE FORMER 
20101210070208.143|20101210070209.571|CCO|PROSECUTOR SAID THE POLICE 
20101210070209.571|20101210070211.000|CCO|THEORY DOESN'T ADD UP.
20101210070211.000|20101210070212.667|CCO|POLICE BELIEVE 43-YEAR-OLD 
20101210070212.667|20101210070214.333|CCO|EX-CON HERALD SMITH RIDING A 
20101210070214.333|20101210070216.000|CCO|BICYCLE SHOT CHASEN IN HER 
20101210070216.000|20101210070217.667|CCO|MERCEDES IN A FAILED ROBBERY 
20101210070217.667|20101210070219.333|CCO|ATTEMPT AND THEN LATER COMMITTED
20101210070219.333|20101210070221.000|CCO|SUICIDE WITH THE SAME BEGUN.
20101210070221.000|20101210070223.000|CCO|POLICE THINK HE ACTED ALONE 
20101210070223.000|20101210070225.000|CCO|DESPITE NEIGHBORS' CLAIMS THAT 
20101210070225.000|20101210070227.000|CCO|HE BRAGGED THAT HE HAD BEEN 
20101210070227.000|20101210070229.000|CCO|HIRED TO KILL HER FOR $10,000.
20101210070229.000|20101210070231.000|CCO|BUT BEVERLY HILLS POLICE ADMIT 
20101210070231.000|20101210070232.667|CCO|NOTHING WAS STOLEN FROM CHASEN 
20101210070232.667|20101210070234.333|CCO|AND THE BICYCLE HASN'T EVEN BEEN
20101210070234.333|20101210070236.000|CCO|TESTED FOR EVIDENCE. 
20101210070236.000|20101210070331.000|SEG|Type=Story
20101210070236.000|20101210070237.667|CCO|>>> THE BIKE HAS NOT BEEN DUSTED
20101210070237.667|20101210070239.333|CCO|FOR FINGERPRINTS, DUSTED FOR 
20101210070239.333|20101210070241.000|CCO|BALLISTICS.
20101210070241.000|20101210070242.667|CCO|WE'RE TALKING WITH ABOUT A WEEK 
20101210070242.667|20101210070244.333|CCO|AFTER THIS MAN HAS KILLED 
20101210070244.333|20101210070246.000|CCO|HIMSELF.
20101210070246.000|20101210070247.667|CCO|>> Reporter: THE SCENARIO ISN'T 
20101210070247.667|20101210070249.333|CCO|HARD FOR THIS WOMAN AND HER 
20101210070249.333|20101210070251.000|CCO|FAMILY TO BELIEVE.
20101210070251.000|20101210070252.667|CCO|SMITH WAS CONVICTED OF ROBBING 
20101210070252.667|20101210070254.333|CCO|HER AND ANOTHER WOULD HAVE BEEN 
20101210070254.333|20101210070256.000|CCO|WOMAN IN 1998.
20101210070256.000|20101210070257.667|CCO|>> WE HEARD SCREAMING AND WE 
20101210070257.667|20101210070259.333|CCO|LOOKED DOWN THE WINDOW AND SAW 
20101210070259.333|20101210070301.000|CCO|MY MOM RUNNING.
20101210070301.000|20101210070303.500|CCO|OF COURSE, HE TOOK HER PURSE.
20101210070303.500|20101210070306.000|CCO|SHE STARTED CHASING HIM.
20101210070306.000|20101210070308.500|CCO|>> MY NEIGHBOR CALLED 911 AND 
20101210070308.500|20101210070311.000|CCO|THEY WERE THERE.
20101210070311.000|20101210070312.429|CCO|SO BY THE TIME THEY GET THERE, I
20101210070312.429|20101210070313.857|CCO|FOUND HIM.
20101210070313.857|20101210070315.286|CCO|>> Reporter: SMITH WAS SENTENCED
20101210070315.286|20101210070316.714|CCO|TO 11 YEARS IN PRISON FOR THOSE 
