TOP|20101210130001|2010-12-10_1300_US_FOX-News_Fox_and_Friends
COL|Communication Studies Archive, UCLA 
UID|665762d8-045d-11e0-bf68-00e0815fe826
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-10 05:00 America/Los_Angeles
SEG_01|2014-06-18 17:55:56|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101210130003.500|20101210130202.667|SEG|Type=Story
20101210130003.500|20101210135956.000|SEG_01|Type=Commercial
20101210130003.500|20101210130004.125|CCO|WE'RE SAYING LEAVE IT.
20101210130004.125|20101210130004.750|CCO|
20101210130004.750|20101210130005.375|CCO|
20101210130005.375|20101210130006.000|CCO|>> Gretchen: NEXT STEP, BRING IN
20101210130006.000|20101210130006.625|CCO|
20101210130006.625|20101210130007.250|CCO|
20101210130007.250|20101210130007.875|CCO|FORMER PRESIDENT BILL CLINTON.
20101210130007.875|20101210130008.500|CCO|
20101210130008.500|20101210130009.125|CCO|
20101210130009.125|20101210130009.750|CCO|WHY HE'S MEETING WITH PRESIDENT
20101210130009.750|20101210130010.375|CCO|
20101210130010.375|20101210130011.000|CCO|
20101210130011.000|20101210130011.417|CCO|OBAMA TODAY.
20101210130011.417|20101210130011.833|CCO|
20101210130011.833|20101210130012.250|CCO|
20101210130012.250|20101210130012.667|CCO|WHY?
20101210130012.667|20101210130013.083|CCO|
20101210130013.083|20101210130013.500|CCO|
20101210130013.500|20101210130013.917|CCO|TO HELP?
20101210130013.917|20101210130014.333|CCO|
20101210130014.333|20101210130014.750|CCO|
20101210130014.750|20101210130015.167|CCO|>> Steve: HE PUTS AMERICAN LIVES
20101210130015.167|20101210130015.583|CCO|
20101210130015.583|20101210130016.000|CCO|
20101210130016.000|20101210130016.417|CCO|IN DANGER AND WE'RE SUPPOSED TO
20101210130016.417|20101210130016.833|CCO|
20101210130016.833|20101210130017.250|CCO|
20101210130017.250|20101210130017.667|CCO|PROTECT THIS GUY?
20101210130017.667|20101210130018.083|CCO|
20101210130018.083|20101210130018.500|CCO|
20101210130018.500|20101210130018.917|CCO|A HIGH RANKING MEMBER OF THE
20101210130018.917|20101210130019.333|CCO|
20101210130019.333|20101210130019.750|CCO|
20101210130019.750|20101210130020.167|CCO|UNITED NATIONS COMING OUT IN
20101210130020.167|20101210130020.583|CCO|
20101210130020.583|20101210130021.000|CCO|
20101210130021.000|20101210130021.833|CCO|SUPPORT OF WIKILEAKS FOUNDER
20101210130021.833|20101210130022.667|CCO|
20101210130022.667|20101210130023.500|CCO|
20101210130023.500|20101210130024.333|CCO|JULIAN ASSANGE'S HUMAN RIGHTS.
20101210130024.333|20101210130025.167|CCO|
20101210130025.167|20101210130026.000|CCO|
20101210130026.000|20101210130026.833|CCO|>> Peter: PRINCE CHARLES AND HIS
20101210130026.833|20101210130027.667|CCO|
20101210130027.667|20101210130028.500|CCO|
20101210130028.500|20101210130029.333|CCO|WIFE, CAMILLA, ATTACKED BY
20101210130029.333|20101210130030.167|CCO|
20101210130030.167|20101210130031.000|CCO|
20101210130031.000|20101210130032.667|CCO|STUDENT RIOTERS.
20101210130032.667|20101210130034.333|CCO|
20101210130034.333|20101210130036.000|CCO|
20101210130036.000|20101210130037.667|CCO|IS THIS ENTITLEMENT RUN AMUCK
20101210130037.667|20101210130039.333|CCO|
20101210130039.333|20101210130041.000|CCO|
20101210130041.000|20101210130042.111|CCO|AND COULD IT HAPPEN HERE IN THE
20101210130042.111|20101210130043.222|CCO|
20101210130043.222|20101210130044.333|CCO|
20101210130044.333|20101210130045.444|CCO|UNITED STATES?
20101210130045.444|20101210130046.556|CCO|
20101210130046.556|20101210130047.667|CCO|
20101210130047.667|20101210130048.778|CCO|"FOX & FRIENDS" STARTS RIGHT
20101210130048.778|20101210130049.889|CCO|
20101210130049.889|20101210130051.000|CCO|
20101210130051.000|20101210130051.833|CCO|NOW.
20101210130051.833|20101210130052.667|CCO|
20101210130052.667|20101210130053.500|CCO|
20101210130053.500|20101210130054.333|CCO|>> Steve: HOWDY.
20101210130054.333|20101210130055.167|CCO|
20101210130055.167|20101210130056.000|CCO|
20101210130056.000|20101210130056.833|CCO|FROM STUDIO E IN THE HEART OF
20101210130056.833|20101210130057.667|CCO|
20101210130057.667|20101210130058.500|CCO|
20101210130058.500|20101210130059.333|CCO|MIDTOWN MANHATTAN, THE WORLD'S
20101210130059.333|20101210130100.167|CCO|
20101210130100.167|20101210130101.000|CCO|
20101210130101.000|20101210130101.417|CCO|NUMBER ONE CABLE MORNING NEWS
20101210130101.417|20101210130101.833|CCO|
20101210130101.833|20101210130102.250|CCO|
20101210130102.250|20101210130102.667|CCO|SHOW.
20101210130102.667|20101210130103.083|CCO|
20101210130103.083|20101210130103.500|CCO|
20101210130103.500|20101210130103.917|CCO|THANK YOU FOR JOINING US.
20101210130103.917|20101210130104.333|CCO|
20101210130104.333|20101210130104.750|CCO|
20101210130104.750|20101210130105.167|CCO|BRIAN HAS TAKEN A MUCH DESERVED
20101210130105.167|20101210130105.583|CCO|
20101210130105.583|20101210130106.000|CCO|
20101210130106.000|20101210130106.417|CCO|DAY OFF AND PETER JOHNSON, JR.
20101210130106.417|20101210130106.833|CCO|
20101210130106.833|20101210130107.250|CCO|
20101210130107.250|20101210130107.667|CCO|IS ON RETAINER TODAY.
20101210130107.667|20101210130108.083|CCO|
20101210130108.083|20101210130108.500|CCO|
20101210130108.500|20101210130108.917|CCO|>> Peter: HAPPY TO BE HERE.
20101210130108.917|20101210130109.333|CCO|
20101210130109.333|20101210130109.750|CCO|
20101210130109.750|20101210130110.167|CCO|>> Gretchen: LET'S CHECK OUT
20101210130110.167|20101210130110.583|CCO|
20101210130110.583|20101210130111.000|CCO|
20101210130111.000|20101210130111.667|CCO|SOME HEADLINES.
20101210130111.667|20101210130112.333|CCO|
20101210130112.333|20101210130113.000|CCO|
20101210130113.000|20101210130113.667|CCO|THIS JUST IN, A FOX NEWS ALERT.
20101210130113.667|20101210130114.333|CCO|
20101210130114.333|20101210130115.000|CCO|
20101210130115.000|20101210130115.667|CCO|NEW VIDEO, THOSE CRUISE SHIP
20101210130115.667|20101210130116.333|CCO|
20101210130116.333|20101210130117.000|CCO|
20101210130117.000|20101210130117.667|CCO|PASSENGERS WHO SURVIVED BEING
20101210130117.667|20101210130118.333|CCO|
20101210130118.333|20101210130119.000|CCO|
20101210130119.000|20101210130119.667|CCO|BATTERED IN ROUGH SEAS HAVE
20101210130119.667|20101210130120.333|CCO|
20101210130120.333|20101210130121.000|CCO|
20101210130121.000|20101210130121.556|CCO|FINALLY ARRIVED ON SOLID GROUND.
20101210130121.556|20101210130122.111|CCO|
20101210130122.111|20101210130122.667|CCO|
20101210130122.667|20101210130123.222|CCO|LOOK HOW EXCITED THEY ARE.
20101210130123.222|20101210130123.778|CCO|
20101210130123.778|20101210130124.333|CCO|
20101210130124.333|20101210130124.889|CCO|THE LUXURY CRUISE SHIP LIMPED
20101210130124.889|20101210130125.444|CCO|
20101210130125.444|20101210130126.000|CCO|
20101210130126.000|20101210130126.556|CCO|INTO PORT THIS MORNING WITH 88
20101210130126.556|20101210130127.111|CCO|
20101210130127.111|20101210130127.667|CCO|
20101210130127.667|20101210130128.222|CCO|AMERICANS ON BOARD.
20101210130128.222|20101210130128.778|CCO|
20101210130128.778|20101210130129.333|CCO|
20101210130129.333|20101210130129.889|CCO|PASSENGERS TELL EURO NEWS, WELL,
20101210130129.889|20101210130130.444|CCO|
20101210130130.444|20101210130131.000|CCO|
20101210130131.000|20101210130131.833|CCO|IT WAS A BIT OF A ROCKY RIDE.
20101210130131.833|20101210130132.667|CCO|
20101210130132.667|20101210130133.500|CCO|
20101210130133.500|20101210130134.333|CCO|>> IT WOULD GO FROM SIDE TO
20101210130134.333|20101210130135.167|CCO|
20101210130135.167|20101210130136.000|CCO|
20101210130136.000|20101210130136.833|CCO|SIDE, YOU KNOW.
20101210130136.833|20101210130137.667|CCO|
20101210130137.667|20101210130138.500|CCO|
20101210130138.500|20101210130139.333|CCO|THE SIDE TO SIDE BOTHERED ME
20101210130139.333|20101210130140.167|CCO|
20101210130140.167|20101210130141.000|CCO|
20101210130141.000|20101210130141.476|CCO|MORE THAN GOING INTO IT, YOU
20101210130141.476|20101210130141.952|CCO|
20101210130141.952|20101210130142.429|CCO|
20101210130142.429|20101210130142.905|CCO|KNOW.
20101210130142.905|20101210130143.381|CCO|
20101210130143.381|20101210130143.857|CCO|
20101210130143.857|20101210130144.333|CCO|IT WAS PRETTY EXCITING.
20101210130144.333|20101210130144.810|CCO|
20101210130144.810|20101210130145.286|CCO|
20101210130145.286|20101210130145.762|CCO|I GOT MY MONEY'S WORTH.
20101210130145.762|20101210130146.238|CCO|
20101210130146.238|20101210130146.714|CCO|
20101210130146.714|20101210130147.190|CCO|>> Gretchen: NOT SURE ABOUT
20101210130147.190|20101210130147.667|CCO|
20101210130147.667|20101210130148.143|CCO|
20101210130148.143|20101210130148.619|CCO|THAT.
20101210130148.619|20101210130149.095|CCO|
20101210130149.095|20101210130149.571|CCO|
20101210130149.571|20101210130150.048|CCO|BUT THE SHIP TEMPORARILY BROKE
20101210130150.048|20101210130150.524|CCO|
20101210130150.524|20101210130151.000|CCO|
20101210130151.000|20101210130151.667|CCO|DOWN AFTER IT GOT PUMMELED BY
20101210130151.667|20101210130152.333|CCO|
20101210130152.333|20101210130153.000|CCO|
20101210130153.000|20101210130153.667|CCO|THE MONSTER WAVES.
20101210130153.667|20101210130154.333|CCO|
20101210130154.333|20101210130155.000|CCO|
20101210130155.000|20101210130155.667|CCO|THE PASSENGERS ARE ALL OKAY.
20101210130155.667|20101210130156.333|CCO|
20101210130156.333|20101210130157.000|CCO|
20101210130157.000|20101210130157.667|CCO|SOME OF THEM DID GET THEIR
20101210130157.667|20101210130158.333|CCO|
20101210130158.333|20101210130159.000|CCO|
20101210130159.000|20101210130159.667|CCO|MONEY'S WORTH, 15 GRAND FOR A
20101210130159.667|20101210130200.333|CCO|
20101210130200.333|20101210130201.000|CCO|
20101210130201.000|20101210130201.556|CCO|TEN DAY CRUISE.
20101210130201.556|20101210130202.111|CCO|
20101210130202.111|20101210130202.667|CCO|
20101210130202.667|20101210130231.000|SEG|Type=Story
20101210130202.667|20101210130203.222|CCO|>>> THE UNITED NATIONS
20101210130203.222|20101210130203.778|CCO|
20101210130203.778|20101210130204.333|CCO|
20101210130204.333|20101210130204.889|CCO|APPARENTLY NOT THRILLED WITH THE
20101210130204.889|20101210130205.444|CCO|
20101210130205.444|20101210130206.000|CCO|
20101210130206.000|20101210130206.556|CCO|WAY JULIAN ASSANGE AND WIKILEAKS
20101210130206.556|20101210130207.111|CCO|
20101210130207.111|20101210130207.667|CCO|
20101210130207.667|20101210130208.222|CCO|ARE BEING TREATED.
20101210130208.222|20101210130208.778|CCO|
20101210130208.778|20101210130209.333|CCO|
20101210130209.333|20101210130209.889|CCO|THE TOP U.N. HUMAN RIGHTS
20101210130209.889|20101210130210.444|CCO|
20101210130210.444|20101210130211.000|CCO|
20101210130211.000|20101210130211.667|CCO|OFFICIAL SAYS SHE'S CONCERNED
20101210130211.667|20101210130212.333|CCO|
20101210130212.333|20101210130213.000|CCO|
20101210130213.000|20101210130213.667|CCO|CUTTING OFF WIKILEAKS FUNDING
20101210130213.667|20101210130214.333|CCO|
20101210130214.333|20101210130215.000|CCO|
20101210130215.000|20101210130215.667|CCO|AND INTERNET PRESENCE MAY
20101210130215.667|20101210130216.333|CCO|
20101210130216.333|20101210130217.000|CCO|
20101210130217.000|20101210130217.667|CCO|VIOLATE THEIR FREEDOM OF
20101210130217.667|20101210130218.333|CCO|
20101210130218.333|20101210130219.000|CCO|
20101210130219.000|20101210130219.667|CCO|EXPRESSION.
20101210130219.667|20101210130220.333|CCO|
20101210130220.333|20101210130221.000|CCO|
