TOP|20101210150002|2010-12-10_1500_US_CNN_Newsroom
COL|Communication Studies Archive, UCLA 
UID|2a98b344-046e-11e0-8c8c-00e0815fe86c
DUR|0:59:55.02
VID|640x480
CMT|
TPF|transcripts.cnn.com|cnr.02.html
HED|FAA Lagging on Private Aircraft Registration; More on Tax Deal Battle; Another Cruise Ship in Trouble
LAN|ENG
LBT|2010-12-10 07:00 America/Los_Angeles
SEG_01|2014-06-18 17:56:05|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101210150006.000|20101210150010.000|SEG|Type=Story
20101210150006.000|20101210150007.000|CCO| WOOD 
20101210150007.000|20101210150008.000|CCO|AND METAL ARE INSIDE.
20101210150008.000|20101210150009.000|CCO|SEVERAL DIFFERENT TYPES OF SOFT 
20101210150009.000|20101210150010.000|CCO|CHEWS ARE AFFECTED.
20101210150010.000|20101210150233.429|SEG|Type=Story
20101210150010.000|20101210150011.000|CCO|>>> THE FAA IS HAVING TROUBLE 
20101210150011.000|20101210150012.000|CCO|KEEPING UP WITH WHO OWNS PRIVATE
20101210150012.000|20101210150013.429|CCO|AND COMMERCIAL PLANES IN THE 
20101210150013.429|20101210150014.857|CCO|U.S., AND THAT'S STIRRING YOU 
20101210150014.857|20101210150016.286|CCO|ARE CONCERNS THAT TERRORISTS OR 
20101210150016.286|20101210150017.714|CCO|OTHER CRIMINALS COULD TAKE 
20101210150017.714|20101210150019.143|CCO|ADVANTAGE OF THE PROBLEM.
20101210150019.143|20101210150020.571|CCO|JEANNE MESERVE HAS MORE DETAILS 
20101210150020.571|20101210150022.000|CCO|ON THIS.
20101210150022.000|20101210150024.000|CCO|WHAT MORE DO WE KNOW ABOUT THIS,
20101210150024.000|20101210150026.000|CCO|JEAN?
20101210150026.000|20101210150028.000|CCO|VERY STRANGE?
20101210150028.000|20101210150030.000|CCO|>> Reporter: YEAH, IT'S KIND OF 
20101210150030.000|20101210150032.000|CCO|SURPRISING TO HEAR THAT THERE'S 
20101210150032.000|20101210150034.500|CCO|THIS ISSUE GIVEN WHAT WE GO 
20101210150034.500|20101210150037.000|CCO|THROUGH WITH OUR AUTOMOBILES.
20101210150037.000|20101210150039.500|CCO|A GAP IN RECORD KEEPING MAY MAKE
20101210150039.500|20101210150042.000|CCO|IT EASIER FOR DRUG TRAFFICKERS 
20101210150042.000|20101210150043.429|CCO|AND TERRORISTS TO USE 
20101210150043.429|20101210150044.857|CCO|ILLEGITIMATE AIRCRAFT.
20101210150044.857|20101210150046.286|CCO|THERE ARE ABOUT 357,000 AIRCRAFT
20101210150046.286|20101210150047.714|CCO|IN THE U.S. BUT REGISTRATION 
20101210150047.714|20101210150049.143|CCO|RECORDS FOR ABOUT ONE-THIRD OF 
20101210150049.143|20101210150050.571|CCO|THEM APPEAR TO BE INACCURATE, 
20101210150050.571|20101210150052.000|CCO|OUT OF DATE.
20101210150052.000|20101210150054.500|CCO|WHY IS THIS?
20101210150054.500|20101210150057.000|CCO|BECAUSE UNTIL NOW OWNERS HAVE 
20101210150057.000|20101210150059.500|CCO|ONLY HAD TO REGISTER THEIR 
20101210150059.500|20101210150102.000|CCO|AIRCRAFT ONCE, AT THE TIME OF 
20101210150102.000|20101210150104.000|CCO|PUMP, AND THEY HAVE TO REPORT 
20101210150104.000|20101210150106.000|CCO|CHANGES LIKE A SALE OR SCRAPPING
20101210150106.000|20101210150108.000|CCO|OF AN AIRCRAFT BUT MANY HAVE NOT
20101210150108.000|20101210150110.000|CCO|BEEN DOING IT, AND AS A RESULT 
20101210150110.000|20101210150112.000|CCO|OF THERE ARE A LOT OF BAD 
20101210150112.000|20101210150113.667|CCO|RECORDS, AND NOW THE FAA IS 
20101210150113.667|20101210150115.333|CCO|TAKING CORRECTIVE ACTION.
