TOP|20101210150001|2010-12-10_1500_US_KNBC_Today_Show
COL|Communication Studies Archive, UCLA 
UID|29ccf7f4-046e-11e0-8d11-00e0815fe930
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-10 07:00 America/Los_Angeles
SEG_01|2014-06-18 17:56:16|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101210150004.333|20101210150017.667|SEG|Type=Story
20101210150004.333|20101210150005.167|CCO| THE 
20101210150005.167|20101210150006.000|CCO|SOUTHBOUND 110 FROM THE 
20101210150006.000|20101210150006.833|CCO|NORTHBOUND 110.
20101210150006.833|20101210150007.667|CCO|PROBABLY SOME FUEL SPILLED 
20101210150007.667|20101210150008.500|CCO|THERE.
20101210150008.500|20101210150009.333|CCO|THEY ARE CLEANING THAT UP.
20101210150009.333|20101210150010.167|CCO|THERE'S A LOT TO DO.
20101210150010.167|20101210150011.000|CCO|UNLOADING THAT TRAILER FULL OF 
20101210150011.000|20101210150014.333|CCO|24 TONS OF CHRISTMAS TREES IS 
20101210150014.333|20101210150017.667|CCO|ONE OF THE BIG THINGS.
20101210150017.667|20101210150033.000|SEG|Type=Story
20101210150017.667|20101210150021.000|CCO|>>> GOOD MORNING.
20101210150021.000|20101210150023.500|CCO|RATTLED ROYALS, PRINCE CHARLES 
20101210150023.500|20101210150026.000|CCO|AND CAMILLA'S LIMO ATTACKED, THE
20101210150026.000|20101210150028.500|CCO|CAR SPLATTERED IN PAINT.
20101210150028.500|20101210150031.000|CCO|WHY DID POLICE LET THEM DRIVE 
20101210150031.000|20101210150033.000|CCO|RIGHT INTO THE FRAY?
20101210150033.000|20101210150053.000|SEG|Type=Story
20101210150033.000|20101210150035.000|CCO|>>> NOT IN OUR HOUSE, DEMOCRATS 
20101210150035.000|20101210150037.000|CCO|VOW THEY WILL NOT LET PRESIDENT 
20101210150037.000|20101210150039.000|CCO|OBAMA'S TAX CUT DEAL TO REACH 
20101210150039.000|20101210150041.000|CCO|THE HOUSE FLOOR UNLESS CHANGES 
20101210150041.000|20101210150043.000|CCO|ARE MADE.
20101210150043.000|20101210150045.000|CCO|THE WHITE HOUSE SAYS THAT COULD 
20101210150045.000|20101210150047.000|CCO|DERAIL THE COMPROMISE 
20101210150047.000|20101210150049.000|CCO|ALTOGETHER.
20101210150049.000|20101210150051.000|CCO|CAN THEY WORK THINGS OUT BEFORE 
20101210150051.000|20101210150052.000|CCO|THEY HEAD OUT ON THEIR HOLIDAY 
20101210150052.000|20101210150053.000|CCO|BREAK?
20101210150053.000|20101210150111.000|SEG|Type=Story
20101210150053.000|20101210150054.000|CCO|>>> AND HOW DID HE SURVIVE THIS?
20101210150054.000|20101210150055.000|CCO|THE MAN WHO LIVED THROUGH THIS 
20101210150055.000|20101210150056.000|CCO|SPECTACULAR CAR CRASH OPENS UP 
20101210150056.000|20101210150057.000|CCO|ABOUT THE ACCIDENT FOR THE FIRST
20101210150057.000|20101210150058.000|CCO|TIME TODAY, FRIDAY, DECEMBER 10,
20101210150058.000|20101210150111.000|SEG_01|Type=Commercial
20101210150058.000|20101210150059.000|CCO|2010.
20101210150059.000|20101210150100.000|CCO|    
20101210150100.000|20101210150101.000|CCO|    CAPTIONS PAID FOR BY 
20101210150101.000|20101210150106.000|CCO|    
20101210150106.000|20101210150111.000|CCO|    NBC-UNIVERSAL TELEVISION 
20101210150111.000|20101210150149.333|SEG_01|Type=Story start
20101210150111.000|20101210150149.333|SEG|Type=Story
20101210150111.000|20101210150112.667|CCO|>>> AND GOOD MORNING.
20101210150112.667|20101210150114.333|CCO|WELCOME TO "TODAY" ON A FRIDAY 
20101210150114.333|20101210150116.000|CCO|MORNING.
20101210150116.000|20101210150117.667|CCO|I'M MATT LAUER. 
20101210150117.667|20101210150119.333|CCO|>> AND I'M MEREDITH VIERA.
20101210150119.333|20101210150121.000|CCO|THIS MORNING BRITISH POLICE ARE 
20101210150121.000|20101210150122.667|CCO|FACING TOUGH QUESTIONS OVER THE 
20101210150122.667|20101210150124.333|CCO|HANDLING OF THE PROTESTS THAT 
20101210150124.333|20101210150126.000|CCO|PRINCE CHARLES AND CAMILA WERE 
20101210150126.000|20101210150127.667|CCO|SWEPT UP IN LAST NIGHT.
