TOP|20101210170002|2010-12-10_1700_US_FOX-News_Fox_Online
COL|Communication Studies Archive, UCLA 
UID|ee0dcffc-047e-11e0-9420-00e0815fe826
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-10 09:00 America/Los_Angeles
SEG_01|2014-06-18 17:56:47|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101210170012.000|20101210172710.333|SEG|Type=Story
20101210170012.000|20101210175957.000|SEG_01|Type=Commercial
20101210170012.000|20101210170014.500|CCO|ñ?Ñl÷]ñ[@7ó?pr÷??oh?pw[J÷/úó?Wññp?÷mn?oçúGx/V?cWúóúç?w[xpWús-oúop?ñl8Ñvxó9y?t.+ñw?nçNa?? ñú]pO÷ñxspvwq4]NTú?ç7óÑ5flíiNúó
20101210170014.500|20101210170017.000|CCO|JENNA: HI, EVERYBODY, HAPPY
20101210170017.000|20101210170019.500|CCO|
20101210170019.500|20101210170022.000|CCO|
20101210170022.000|20101210170022.556|CCO|FRIDAY TO YOU, I'M JENNA LEE.
20101210170022.556|20101210170023.111|CCO|
20101210170023.111|20101210170023.667|CCO|
20101210170023.667|20101210170024.222|CCO|ALL NEW ON "HAPPENING NOW," WE
20101210170024.222|20101210170024.778|CCO|
20101210170024.778|20101210170025.333|CCO|
20101210170025.333|20101210170025.889|CCO|HAVE A LOT TO COVER RIGHT NOW.
20101210170025.889|20101210170026.444|CCO|
20101210170026.444|20101210170027.000|CCO|
20101210170027.000|20101210170027.556|CCO|JON: THANK YOU FOR REMINDING ME
20101210170027.556|20101210170028.111|CCO|
20101210170028.111|20101210170028.667|CCO|
20101210170028.667|20101210170029.222|CCO|IT IS FRIDAY.
20101210170029.222|20101210170029.778|CCO|
20101210170029.778|20101210170030.333|CCO|
20101210170030.333|20101210170030.889|CCO|I'M JON SCOTT, A LOT HAPPENING
20101210170030.889|20101210170031.444|CCO|
20101210170031.444|20101210170032.000|CCO|
20101210170032.000|20101210170032.556|CCO|ON CAPITOL HILL THIS HOUR AS THE
20101210170032.556|20101210170033.111|CCO|
20101210170033.111|20101210170033.667|CCO|
20101210170033.667|20101210170034.222|CCO|DEADLINE FOR SIGNING SOME KIND
20101210170034.222|20101210170034.778|CCO|
20101210170034.778|20101210170035.333|CCO|
20101210170035.333|20101210170035.889|CCO|OF TAX BILL GETS CLOSER, AND
20101210170035.889|20101210170036.444|CCO|
20101210170036.444|20101210170037.000|CCO|
20101210170037.000|20101210170037.556|CCO|THIS IS A BATTLE THAT IS NO
20101210170037.556|20101210170038.111|CCO|
20101210170038.111|20101210170038.667|CCO|
20101210170038.667|20101210170039.222|CCO|LONGER JUST ALONG PARTY LINES,
20101210170039.222|20101210170039.778|CCO|
20101210170039.778|20101210170040.333|CCO|
20101210170040.333|20101210170040.889|CCO|IT'S NOW BECOMING A FIGHT
20101210170040.889|20101210170041.444|CCO|
20101210170041.444|20101210170042.000|CCO|
20101210170042.000|20101210170042.476|CCO|PITTING THE HOUSE AGAINST THE
20101210170042.476|20101210170042.952|CCO|
