TOP|20101210180002|2010-12-10_1800_US_CNN_Newsroom
COL|Communication Studies Archive, UCLA 
UID|4f72844c-0487-11e0-9d92-00e0815fe86c
DUR|0:59:54.03
VID|640x480
CMT|
TPF|transcripts.cnn.com|cnr.05.html
HED|Elizabeth Smart Kidnapper Guilty; FAA Missing Owner Info On Planes: Detroit's Steps To Recovery; Fighting Concussions Head-On; Palin Goes to Haiti; Tax Deal Makes Strange Bedfellows; Newark Mayor Cory Booker
LAN|ENG
LBT|2010-12-10 10:00 America/Los_Angeles
SEG_01|2014-06-18 17:56:53|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101210180005.636|20101210181651.000|SEG|Type=Story
20101210180005.636|20101210180006.545|CCO| MILES 
20101210180006.545|20101210180007.455|CCO|FROM HER HOME WITH THAT MAN, 
20101210180007.455|20101210180008.364|CCO|BRIAN DAVID MITCHELL, AND HIS 
20101210180008.364|20101210180009.273|CCO|WIFE.
20101210180009.273|20101210180010.182|CCO|WE'RE STANDING BY AND WILL HEAR 
20101210180010.182|20101210180011.091|CCO|ANY MOMENT WHAT THE JURY HAS 
20101210180011.091|20101210180012.000|CCO|DECIDED, WHETHER OR NOT THIS MAN
20101210180012.000|20101210180013.667|CCO|IS IN FACT INSANE OR SANE.
20101210180013.667|20101210180015.333|CCO|WE'LL HAND IT OVER FOR 
20101210180015.333|20101210180017.000|CCO|CONTINUING COVERAGE IN THE CNN 
20101210180017.000|20101210180018.667|CCO|NEWSROOM TO ALI VELSHI. 
20101210180018.667|20101210180020.333|CCO|>> THANKS SO MUCH FOR THE GREAT 
20101210180020.333|20101210180022.000|CCO|COVERAGE.
20101210180022.000|20101210180024.000|CCO|WE'LL CONTINUE IT FROM HERE.
20101210180024.000|20101210180026.000|CCO|WAITING TO HEARD WHAT THE JURY 
20101210180026.000|20101210180028.000|CCO|DECIDED ABOUT BRIAN DAVID 
20101210180028.000|20101210180030.000|CCO|MITCHELL.
20101210180030.000|20101210180032.000|CCO|THIS IS A MAN WHO ELIZABETH 
20101210180032.000|20101210180033.667|CCO|SMART, WHO'S NOW 23 YEARS OLD, 
20101210180033.667|20101210180035.333|CCO|TESTIFIED IN THIS TRIAL.
20101210180035.333|20101210180037.000|CCO|TOLD HER THAT HER MARRIAGE TO 
20101210180037.000|20101210180038.667|CCO|HIM WAS PREORDAINED AND THAT SHE
20101210180038.667|20101210180040.333|CCO|WOULD BE BY HIS SIDE AS HE TOOK 
20101210180040.333|20101210180042.000|CCO|SEVEN TIMES, SEVEN WIVES AND 
20101210180042.000|20101210180043.250|CCO|SUCCESSFULLY BATTLED THE 
20101210180043.250|20101210180044.500|CCO|ANTICHRIST.
20101210180044.500|20101210180045.750|CCO|THAT THEY WOULD HOLD KPAULTIVE 
20101210180045.750|20101210180047.000|CCO|POSITIONS IN GOD'S NEW KINGDOM.
20101210180047.000|20101210180048.250|CCO|THE ISSUE HERE IS, DID HE KNOW 
20101210180048.250|20101210180049.500|CCO|WHAT HE WAS SAYING?
20101210180049.500|20101210180050.750|CCO|DOES HE BELIEVE HE IS THE 
20101210180050.750|20101210180052.000|CCO|ANTICHRIST?
20101210180052.000|20101210180053.667|CCO|DOES HE BELIEVE HE WAS MEANT TO 
20101210180053.667|20101210180055.333|CCO|BATTLE THE ANTICHRIST?
20101210180055.333|20101210180057.000|CCO|DOES THAT MAN YOU ARE SEEING ON 
20101210180057.000|20101210180058.667|CCO|THE SCREEN KNOW WHAT HE WAS 
20101210180058.667|20101210180100.333|CCO|DOING?
20101210180100.333|20101210180102.000|CCO|DID HE KNOW AT THE TIME THAT 
20101210180102.000|20101210180104.000|CCO|WHAT HE WAS DOING WAS WRONG?
20101210180104.000|20101210180106.000|CCO|HE HAS HAD -- HIS DEFENSE HAS 
20101210180106.000|20101210180108.000|CCO|BROUGHT UP EXPERTS WHO SAID HE 
20101210180108.000|20101210180110.000|CCO|DID NOT KNOW WHAT HE WAS DOING, 
20101210180110.000|20101210180112.000|CCO|HE WAS SO MENTALLY ILL AT THE 
20101210180112.000|20101210180114.000|CCO|TIME THAT HE KIDNAPPED ELIZABETH
20101210180114.000|20101210180116.000|CCO|SMART HE DID NOT KNOW RIGHT FROM
20101210180116.000|20101210180118.000|CCO|WRONG.
20101210180118.000|20101210180120.000|CCO|HE HAS BEEN DESCRIBED AS 
20101210180120.000|20101210180122.000|CCO|DELUSIONAL AND PSYCHOTIC.
