TOP|20101210190002|2010-12-10_1900_US_KABC_Eyewitness_News_11AM
COL|Communication Studies Archive, UCLA 
UID|b1686880-048f-11e0-abeb-00e0815fe83e
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-10 11:00 America/Los_Angeles
SEG_01|2014-02-03 01:06:30|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20101210190006.000|20101210195957.000|SEG|Type=Story
20101210190006.000|20101210190052.000|SEG_01|Type=Commercial
20101210190006.000|20101210190007.000|CCO|    
20101210190007.000|20101210190008.000|CCO|      [ Female Announcer ]
20101210190008.000|20101210190009.000|CCO|    
20101210190009.000|20101210190010.000|CCO|      Hurry to JCPenney this
20101210190010.000|20101210190011.000|CCO|    
20101210190011.000|20101210190012.000|CCO|      Friday and Saturday
20101210190012.000|20101210190012.556|CCO|        
20101210190012.556|20101210190013.111|CCO|              to save on
20101210190013.111|20101210190013.667|CCO|    
20101210190013.667|20101210190014.222|CCO|    all your holiday gifts!
20101210190014.222|20101210190014.778|CCO|    
20101210190014.778|20101210190015.333|CCO|    Get in early Saturday...
20101210190015.333|20101210190015.889|CCO|    
20101210190015.889|20101210190016.444|CCO|      ...for 7-hour steals!
20101210190016.444|20101210190017.000|CCO|    Surprise her with
20101210190017.000|20101210190017.556|CCO|
20101210190017.556|20101210190018.111|CCO|
20101210190018.111|20101210190018.667|CCO|
20101210190018.667|20101210190019.222|CCO|70% off gold jewelry.
20101210190019.222|20101210190019.778|CCO|    
20101210190019.778|20101210190020.333|CCO|      Save on women's coats,
20101210190020.333|20101210190020.889|CCO|        
20101210190020.889|20101210190021.444|CCO|            just $59.99!
20101210190021.444|20101210190022.000|CCO|      Get 60% off men's coats...
20101210190022.000|20101210190022.909|CCO|    ...and 60% off kids' coats.
20101210190022.909|20101210190023.818|CCO|      Plus spend more, earn more
20101210190023.818|20101210190024.727|CCO|        
20101210190024.727|20101210190025.636|CCO|          with JCP Cash!
20101210190025.636|20101210190026.545|CCO|    That's $10, $15 or $20 off!
20101210190026.545|20101210190027.455|CCO|  Unlike other stores, we don't
20101210190027.455|20101210190028.364|CCO|
20101210190028.364|20101210190029.273|CCO|    make you come back to save!
20101210190029.273|20101210190030.182|CCO|Don't miss HUGE holiday savings
20101210190030.182|20101210190031.091|CCO|        
20101210190031.091|20101210190032.000|CCO|            at JCPenney!
20101210190032.000|20101210190033.000|CCO|    
20101210190033.000|20101210190034.000|CCO|        Go to jcp.com to see
20101210190034.000|20101210190035.000|CCO|    
20101210190035.000|20101210190036.000|CCO|        everything on sale.
20101210190036.000|20101210190037.000|CCO|    
20101210190037.000|20101210190038.000|CCO|        New list. New gifts.
20101210190038.000|20101210190039.000|CCO|        
20101210190039.000|20101210190040.000|CCO|              Who knew!
20101210190040.000|20101210190041.000|CCO|        
20101210190041.000|20101210190052.000|CCO|              JCPenney.
20101210190052.000|20101210190102.000|SEG_01|Type=Story start
20101210190052.000|20101210190102.000|CCO|LESLIE: GUILTY VERDICT JUST 
20101210190102.000|20101210190104.500|CCO|HANDED DOWN IN THE ELIZABETH 
20101210190104.500|20101210190107.000|CCO|SMART KIDNAPPING TRIAL.
20101210190107.000|20101210190109.500|CCO|A MAN THAT HELD HER HOSTAGE FOR 
20101210190109.500|20101210190112.000|CCO|MONTHS COULD FACE LIFE IN 
20101210190112.000|20101210190113.667|CCO|PRISON.
20101210190113.667|20101210190115.333|CCO|PHILLIP: A TEENAGE GIRL 
20101210190115.333|20101210190117.000|CCO|KIDNAPPED AT KNIFE POINT FROM 
20101210190117.000|20101210190118.667|CCO|HER BEDROOM, VIRTUALLY ENSLAVED 
20101210190118.667|20101210190120.333|CCO|FOR NINE MONTHS.
20101210190120.333|20101210190122.000|CCO|A VERDICT IS FINALLY HANDED 
20101210190122.000|20101210190123.667|CCO|DOWN.
20101210190123.667|20101210190125.333|CCO|HERE IS THE BREAKING DETAILS.
20101210190125.333|20101210190127.000|CCO|>> Reporter: IT TOOK JURORS 
20101210190127.000|20101210190128.667|CCO|LESS THAN A DAY TO REACH THEIR 
20101210190128.667|20101210190130.333|CCO|VERDICT.
20101210190130.333|20101210190132.000|CCO|THEY FOUND BRIAN DAVID MITCHELL 
20101210190132.000|20101210190133.667|CCO|GUILTY OF KIDNAPPING ELIZABETH 
20101210190133.667|20101210190135.333|CCO|SMART AND FORCING HER ACROSS 
20101210190135.333|20101210190137.000|CCO|STATE LINES FOR THE PURPOSES OF 
20101210190137.000|20101210190138.667|CCO|ILLEGAL SEX.
20101210190138.667|20101210190140.333|CCO|MITCHELL COULD FACE LIFE IN 
20101210190140.333|20101210190142.000|CCO|PRISON FOR THOSE CRIMES.
20101210190142.000|20101210190144.500|CCO|NOW, SMART, WHO IS NOW 23 YEARS 
20101210190144.500|20101210190147.000|CCO|OLD, TOOK THE STAND DURING THIS 
20101210190147.000|20101210190149.500|CCO|MONTH LONG TRIAL AND DESCRIBED 
20101210190149.500|20101210190152.000|CCO|HOW MITCHELL KIDNAPPED HER AT 
20101210190152.000|20101210190155.333|CCO|GUN POINT, FORCED HER INTO A 
20101210190155.333|20101210190158.667|CCO|POLYGAMIST CAMP AND RAPED HER 
20101210190158.667|20101210190202.000|CCO|ALMOST DAILY.
20101210190202.000|20101210190203.667|CCO|SHE WAS FORCED TO RATHER 
20101210190203.667|20101210190205.333|CCO|RELIGIOUS LOOKING ROBES AND USE 
20101210190205.333|20101210190207.000|CCO|DRUGS AND ALCOHOL.
20101210190207.000|20101210190208.667|CCO|MITCHELL'S DEFENSE ATTORNEY 
20101210190208.667|20101210190210.333|CCO|DOES NOT DISPUTE HIS CLIENT HAD 
20101210190210.333|20101210190212.000|CCO|KIDNAPPED SMART BUT HE WAS 
20101210190212.000|20101210190213.667|CCO|HOPING THAT JURORS WOULD FIND 
20101210190213.667|20101210190215.333|CCO|HIM NOT GUILTY BY REASON OF 
20101210190215.333|20101210190217.000|CCO|INSANITY.
20101210190217.000|20101210190218.667|CCO|THE 57-YEAR-OLD HAD TO BE 
20101210190218.667|20101210190220.333|CCO|REMOVED SEVERAL TIMES FROM THE 
20101210190220.333|20101210190222.000|CCO|COURTROOM DURING THE TRIAL FOR 
20101210190222.000|20101210190223.429|CCO|SINGING LOUDLY CHRISTMAS CAROLS 
20101210190223.429|20101210190224.857|CCO|AND HYMNS.
20101210190224.857|20101210190226.286|CCO|AND PROSECUTORS SAY THIS WAS 
20101210190226.286|20101210190227.714|CCO|ALL AN ACT.
20101210190227.714|20101210190229.143|CCO|JUST A FEW MINUTES AGO WE HEARD 
20101210190229.143|20101210190230.571|CCO|FROM THE U.S. ATTORNEY IN THIS 
20101210190230.571|20101210190232.000|CCO|CASE WHO APPLAUDED ELIZABETH 
20101210190232.000|20101210190234.000|CCO|SMART FOR ALL HER HELP IN THIS 
20101210190234.000|20101210190236.000|CCO|TRIAL.
20101210190236.000|20101210190238.000|CCO|>> THAT YOUNG WOMAN HAD THE 
20101210190238.000|20101210190240.000|CCO|ABILITY AND THE WILLINGNESS TO 
20101210190240.000|20101210190242.000|CCO|GO THROUGH THE GRAPHIC DETAILS 
20101210190242.000|20101210190245.333|CCO|OF HER NINE MONTH CAPTIVITY AND 
20101210190245.333|20101210190248.667|CCO|SHE DID IT WITH CANDOR AND 
20101210190248.667|20101210190252.000|CCO|CLARITY AND A TRUTHFULNESS THAT 
