TOP|20101210200002|2010-12-10_2000_US_CNN_Newsroom
COL|Communication Studies Archive, UCLA 
UID|13439cf2-0498-11e0-a2b5-00e0815fe86c
DUR|0:59:55.02
VID|640x480
CMT|
TPF|transcripts.cnn.com|cnr.07.html
HED|President Obama Meets With Former President Bill Clinton; Fate of Don't Ask, Don't Tell Reform?; Will U.S. Government Indict WikiLeaks Founder? Elizabeth Smart's Kidnapper Found Guilty; Senators Bernie Sander and
LAN|ENG
LBT|2010-12-10 12:00 America/Los_Angeles
SEG_01|2014-06-18 17:57:14|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101210200005.333|20101210200010.333|SEG|Type=Story
20101210200005.333|20101210200006.167|CCO|DAY.
20101210200006.167|20101210200007.000|CCO|SANDERS STARTED IN THE 10:00 
20101210200007.000|20101210200007.833|CCO|A.M. EASTERN HOUR WITH HIS 
20101210200007.833|20101210200008.667|CCO|LAUNDRY LIST OF COMPLAINTS ABOUT
20101210200008.667|20101210200009.500|CCO|THAT BILL.
20101210200009.500|20101210200010.333|CCO|WE'LL FOLLOW THAT FOR YOU.
20101210200010.333|20101210200017.000|SEG|Type=Story
20101210200010.333|20101210200011.167|CCO|>>> BILL CLINTON, A FORMER 
20101210200011.167|20101210200012.000|CCO|PRESIDENT.
20101210200012.000|20101210200013.667|CCO|HE IS JUST NOW ARRIVING AT THE 
20101210200013.667|20101210200015.333|CCO|WHITE HOUSE THIS HOUR FOR A 
20101210200015.333|20101210200017.000|CCO|MEETING WITH PRESIDENT OBAMA.
20101210200017.000|20101210200405.333|SEG|Type=Story
20101210200017.000|20101210200018.667|CCO|>>> AND AT THIS HOUR, MONDAY, 
20101210200018.667|20101210200020.333|CCO|3:00 P.M. EASTERN, THE SENATE 
20101210200020.333|20101210200022.000|CCO|WILL BEGIN VOTING ON THE HUGE 
20101210200022.000|20101210200023.429|CCO|TAX CUT DEAL.
20101210200023.429|20101210200024.857|CCO|REMEMBER THE OTHER DAY WHEN 
20101210200024.857|20101210200026.286|CCO|MAJORITY LEADER HARRY REID SAID 
20101210200026.286|20101210200027.714|CCO|THERE WOULD BE SOME CHANGES?
20101210200027.714|20101210200029.143|CCO|LATE LAST NIGHT THE SENATE 
20101210200029.143|20101210200030.571|CCO|DEMOCRATS ADDED TAX BREAKS FOR 
20101210200030.571|20101210200032.000|CCO|GREEN ENERGY INVESTMENTS.
20101210200032.000|20101210200034.500|CCO|SO HAVE YOU HEARD THE LATEST 
20101210200034.500|20101210200037.000|CCO|PRICE TAG FOR ALL OF THIS?
20101210200037.000|20101210200039.500|CCO|$860 BILLION OVER TEN YEARS.
20101210200039.500|20101210200042.000|CCO|BUSH-ERA TAX CUTS EXTENDED FOR 
20101210200042.000|20101210200043.429|CCO|TWO YEARS, 13 MONTHS OF 
20101210200043.429|20101210200044.857|CCO|UNEMPLOYMENT BENEFITS, A CUT OF 
20101210200044.857|20101210200046.286|CCO|TWO PERCENTAGE POINTS ON THE 
20101210200046.286|20101210200047.714|CCO|PAYROLL TAX.
20101210200047.714|20101210200049.143|CCO|AND AGAIN I WANT TO REMIND YOU 
20101210200049.143|20101210200050.571|CCO|AT THIS MOMENT FORMER PRESIDENT 
20101210200050.571|20101210200052.000|CCO|BILL CLINTON IS AT THE WHITE 
20101210200052.000|20101210200053.667|CCO|HOUSE AND SUZANNE MALL VUX IS 
20101210200053.667|20101210200055.333|CCO|THERE, TOO.
20101210200055.333|20101210200057.000|CCO|BILL CLINTON IS NO STRANGER TO 
20101210200057.000|20101210200058.667|CCO|NEGOTIATING WITH THE REPUBLICANS
20101210200058.667|20101210200100.333|CCO|WHEN THE HEAT IS ON.
20101210200100.333|20101210200102.000|CCO|IS THAT WHY HE'S CALLED UP TO 
20101210200102.000|20101210200103.429|CCO|THE BULL PEN TODAY?
20101210200103.429|20101210200104.857|CCO|THIS IS REMINISCENT OF 1994?
20101210200104.857|20101210200106.286|CCO|>> Reporter: ABSOLUTELY UP TO 
20101210200106.286|20101210200107.714|CCO|THE BULL PEN.
20101210200107.714|20101210200109.143|CCO|I LIKE THAT.
20101210200109.143|20101210200110.571|CCO|OBVIOUSLY A CONVERSATION VERY 
20101210200110.571|20101210200112.000|CCO|IMPORTANT TO THE CURRENT 
20101210200112.000|20101210200113.250|CCO|PRESIDENT, PRESIDENT OBAMA.
20101210200113.250|20101210200114.500|CCO|THIS IS SOMETHING THE WHITE 
20101210200114.500|20101210200115.750|CCO|HOUSE AIDES TELL ME THEY HAD 
20101210200115.750|20101210200117.000|CCO|ARRANGED A COUPLE OF WEEKS AGO.
20101210200117.000|20101210200118.250|CCO|SO WE KNOW IT HAPPENED AFTER THE
20101210200118.250|20101210200119.500|CCO|SHELLACKING BUT NOT LIKE THE 
20101210200119.500|20101210200120.750|CCO|PRESIDENT PICKED UP THE PHONE 
20101210200120.750|20101210200122.000|CCO|YESTERDAY AND SAID THERE'S A 
20101210200122.000|20101210200123.667|CCO|DEMOCRATIC REVOLT THAT'S TAKING 
20101210200123.667|20101210200125.333|CCO|PLACE.
20101210200125.333|20101210200127.000|CCO|BUT CLEARLY THE TIMING COULD NOT
20101210200127.000|20101210200128.667|CCO|BE BETTER, COULD NOT BE MORE 
20101210200128.667|20101210200130.333|CCO|RELEVANT FOR THESE TWO MEN TO 
20101210200130.333|20101210200132.000|CCO|SIT DOWN ACROSS FROM EACH OTHER 
20101210200132.000|20101210200133.111|CCO|IN THE OVAL OFFICE AND SHARE 
20101210200133.111|20101210200134.222|CCO|SOME OF THE WISDOM HERE.
20101210200134.222|20101210200135.333|CCO|AS YOU MENTIONED BEFORE, 
20101210200135.333|20101210200136.444|CCO|PRESIDENT CLINTON HIMSELF 
20101210200136.444|20101210200137.556|CCO|ENDURED HIS OWN SHELLACKING IN 
20101210200137.556|20101210200138.667|CCO|'94 WHEN THE DEMOCRATS LOST THE 
20101210200138.667|20101210200139.778|CCO|MAJORITY.
20101210200139.778|20101210200140.889|CCO|HE WAS ABLE TO WORK WITH 
20101210200140.889|20101210200142.000|CCO|REPUBLICANS.
20101210200142.000|20101210200144.000|CCO|HE MOVED TO THE CENTER.
20101210200144.000|20101210200146.000|CCO|BUT HE HAD A LOT OF ARM-TWISTING
20101210200146.000|20101210200148.000|CCO|TO DO WHEN IT CAME TO CONVINCING
20101210200148.000|20101210200150.000|CCO|DEMOCRATS OF THE NORTH AMERICAN 
20101210200150.000|20101210200152.000|CCO|FREE TRADE AGREEMENT, NAFTA, AS 
20101210200152.000|20101210200153.429|CCO|WELL AS THE WELFARE REFORM.
20101210200153.429|20101210200154.857|CCO|THOSE WERE THE KINDS OF THINGS 
20101210200154.857|20101210200156.286|CCO|THAT HE HAD TO REALLY DO SOME 
20101210200156.286|20101210200157.714|CCO|CONVINCING AND BRING MEMBERS OF 
20101210200157.714|20101210200159.143|CCO|HIS OWN PARTY ON BOARD.
20101210200159.143|20101210200200.571|CCO|BUT ULTIMATELY, DON, WHAT HE WAS
20101210200200.571|20101210200202.000|CCO|ABLE TO DO WAS TO BEAT THOSE 
20101210200202.000|20101210200203.429|CCO|REPUBLICANS AND BECOME A 
20101210200203.429|20101210200204.857|CCO|TWO-TERM PRESIDENT.
20101210200204.857|20101210200206.286|CCO|THAT IS WHAT THIS PRESIDENT 
20101210200206.286|20101210200207.714|CCO|WANTS AS WELL.
20101210200207.714|20101210200209.143|CCO|HE WANTS TO LEARN HOW HE HAVE 
20101210200209.143|20101210200210.571|CCO|MANAGED TO MOVE IN THE CENTER TO
20101210200210.571|20101210200212.000|CCO|THE MIDDLE, GET SOME THINGS 
20101210200212.000|20101210200214.000|CCO|DONE, WORK WITH HIS PARTY, AS 
20101210200214.000|20101210200216.000|CCO|WELL AS BE SUCCESSFUL.
20101210200216.000|20101210200218.000|CCO|SO I WISH I WAS A FLY ON THE 
20101210200218.000|20101210200220.000|CCO|WALL TO SEE THIS MEETING.
20101210200220.000|20101210200222.000|CCO|>> DURING THE CAMPAIGN, THEY DID
20101210200222.000|20101210200223.429|CCO|NOT ALWAYS GET ALONG AND IT 
20101210200223.429|20101210200224.857|CCO|WASN'T UNTIL THE VERY END THAT 
20101210200224.857|20101210200226.286|CCO|BILL CLINTON SORT OF CAME AROUND
20101210200226.286|20101210200227.714|CCO|AND I GUESS THE PRESIDENT DID 
20101210200227.714|20101210200229.143|CCO|TOO AND OF COURSE THE PRESIDENT 
20101210200229.143|20101210200230.571|CCO|ASKING HILLARY CLINTON TO BECOME
20101210200230.571|20101210200232.000|CCO|HIS SECRETARY OF STATE.
20101210200232.000|20101210200233.429|CCO|CAN WE MOVE ON?
20101210200233.429|20101210200234.857|CCO|>> Reporter: SURE.
20101210200234.857|20101210200236.286|CCO|>> WE'RE GOING TO WATCH THAT, 
20101210200236.286|20101210200237.714|CCO|WATCH WHAT'S HAPPENING IN THE 
20101210200237.714|20101210200239.143|CCO|WHITE HOUSE BUT WE'RE HEARING 
20101210200239.143|20101210200240.571|CCO|THE WHITE HOUSE MAY BE THE 
20101210200240.571|20101210200242.000|CCO|GRINCH ON CHRISTMAS IF CONGRESS 
20101210200242.000|20101210200243.667|CCO|DOESN'T PASS THE STARTD TREATY.
20101210200243.667|20101210200245.333|CCO|>> Reporter: OOH, THE GRINCH.
20101210200245.333|20101210200247.000|CCO|THERE ARE A COUPLE OF THINGS 
20101210200247.000|20101210200248.667|CCO|HAPPENING HERE.
20101210200248.667|20101210200250.333|CCO|ROBERT GIBBS SAID THIS MORNING 
20101210200250.333|20101210200252.000|CCO|HE DID FEEL THAT THE WHITE 
20101210200252.000|20101210200253.250|CCO|HOUSE -- THE PRESIDENT WAS 
20101210200253.250|20101210200254.500|CCO|CONFIDENT THAT S.T.A.R.T. WAS 
20101210200254.500|20101210200255.750|CCO|GOING TO HAPPEN DURING THE LAME 
20101210200255.750|20101210200257.000|CCO|DUCK SESSION.
20101210200257.000|20101210200258.250|CCO|IT'S NOT NECESSARILY GUARANTEED.
20101210200258.250|20101210200259.500|CCO|THERE'S A LOT OF QUESTIONS 
20101210200259.500|20101210200300.750|CCO|INVOLVING THAT.
20101210200300.750|20101210200302.000|CCO|WHAT IS REALLY INTERESTING IS 
20101210200302.000|20101210200303.250|CCO|WHEN YOU TAKE A LOOK AT THAT TAX
20101210200303.250|20101210200304.500|CCO|CUT DEAL WHAT IS HAPPENING NOW.
20101210200304.500|20101210200305.750|CCO|THERE WAS A REVOLT.
20101210200305.750|20101210200307.000|CCO|AS YOU KNOW, THE HOUSE DEMOCRATS
20101210200307.000|20101210200308.250|CCO|SAID WE'RE NOT EVEN BRINGING IT 
20101210200308.250|20101210200309.500|CCO|TO THE FLOOR.
20101210200309.500|20101210200310.750|CCO|IT'S BEEN DEVASTATING REALLY TO 
20101210200310.750|20101210200312.000|CCO|THE ADMINISTRATION, JUST THE 
20101210200312.000|20101210200314.000|CCO|LEVEL OF ANGER AND FRUSTRATION 
20101210200314.000|20101210200316.000|CCO|COMING FROM HIS OWN PARTY.
20101210200316.000|20101210200318.000|CCO|WHAT WE DID SEE TODAY, DON, IS 
20101210200318.000|20101210200320.000|CCO|ON THE SENATE SIDE THEY ADDED 
20101210200320.000|20101210200322.000|CCO|EXTRA GOODIES FOR THE DEMOCRATS,
20101210200322.000|20101210200323.250|CCO|SOME ENERGY TAX CREDITS.
20101210200323.250|20101210200324.500|CCO|THEY ARE GOING TO WORK ON THAT 
20101210200324.500|20101210200325.750|CCO|NEXT WEEK ON MONDAY ON THE 
20101210200325.750|20101210200327.000|CCO|SENATE SIDE.
