TOP|20101211000001|2010-12-11_0000_US_KCAL_KCAL_9_News_at_4PM
COL|Communication Studies Archive, UCLA 
UID|99de317a-04b9-11e0-923e-00e0815ffae2
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-10 16:00 America/Los_Angeles
SEG_01|2014-06-18 17:57:51|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101211000005.000|20101211002956.000|SEG|Type=Story
20101211000005.000|20101211000006.000|CCO|N01
20101211000006.000|20101211000007.000|CCO|GOOD AFTERNOON I'M SYLVIA
20101211000007.000|20101211000008.000|CCO|LOPEZ.
20101211000008.000|20101211000009.000|CCO|RICK: I'M RICK GARCIA.
20101211000009.000|20101211000010.000|CCO|AFTER A FIVE WEEK TRIAL IT
20101211000010.000|20101211000011.000|CCO|TOOK JUST FIVE HOURS FOR A
20101211000011.000|20101211000014.333|CCO|INJURY TOY CONVICT BRIAN
20101211000014.333|20101211000017.667|CCO|DAVID MITCHELL OF KILLING
20101211000017.667|20101211000021.000|CCO|ELIZABETH SMART.
20101211000021.000|20101211000022.429|CCO|BOTH CHARGES COULD SEND HIM
20101211000022.429|20101211000023.857|CCO|TO PRISON FOR LIFE.
20101211000023.857|20101211000025.286|CCO|ELIZABETH SMART SPOKE ABOUT
20101211000025.286|20101211000026.714|CCO|THE VERDICT THIS AFTERNOON.
20101211000026.714|20101211000028.143|CCO|>> TODAY IS A WONDERFUL DAY
20101211000028.143|20101211000029.571|CCO|AND I'M SO THRILLED TO BE
20101211000029.571|20101211000031.000|CCO|HERE.
20101211000031.000|20101211000032.429|CCO|I'M SO THRILLED WITH THE
20101211000032.429|20101211000033.857|CCO|VERDICT, BUT NOT ONLY THAT
20101211000033.857|20101211000035.286|CCO|I'M SO THRILLED TO STAND
20101211000035.286|20101211000036.714|CCO|BEFORE THE PEOPLE OF AMERICA
20101211000036.714|20101211000038.143|CCO|TODAY AND GIVE HOPE TO OTHER
20101211000038.143|20101211000039.571|CCO|VICTIMS WHO HAVE NOT SPOKEN
20101211000039.571|20101211000041.000|CCO|OUT ABOUT WHAT'S HAPPENED TO
20101211000041.000|20101211000043.500|CCO|THEM.
20101211000043.500|20101211000046.000|CCO|I HOPE THAT NOT ONLY IS THIS
20101211000046.000|20101211000048.500|CCO|AN EXAMPLE THAT JUSTICE CAN
20101211000048.500|20101211000051.000|CCO|BE SERVED IN AMERICA, BUT
20101211000051.000|20101211000052.667|CCO|THAT IT IS POSSIBLE TO MOVE
20101211000052.667|20101211000054.333|CCO|ON AFTER SOMETHING TERRIBLE
20101211000054.333|20101211000056.000|CCO|HAS HAPPENED.
20101211000056.000|20101211000057.667|CCO|>>Reporter: THE NATION WAS
20101211000057.667|20101211000059.333|CCO|TRANSFIXED IN 2002 WHEN
20101211000059.333|20101211000101.000|CCO|SMART WAS SNATCHED FROM HER
20101211000101.000|20101211000102.429|CCO|BEDROOM IN SALT LAKE CITY.
20101211000102.429|20101211000103.857|CCO|SEARCH CREWS LOOKED
20101211000103.857|20101211000105.286|CCO|EVERYWHERE.
20101211000105.286|20101211000106.714|CCO|SMART NOW 23 TESTIFIED IN
20101211000106.714|20101211000108.143|CCO|HER TRIAL HE WAS ALMOST
20101211000108.143|20101211000109.571|CCO|IMMEDIATELY FORCE KNEAD A
20101211000109.571|20101211000111.000|CCO|POLYGAMOUS MARRIAGE WITH
20101211000111.000|20101211000112.667|CCO|BRIAN DAVID MITCHELL.
20101211000112.667|20101211000114.333|CCO|SHE WAS RAPED DRUGGED AND
20101211000114.333|20101211000116.000|CCO|FORCED TO DRINK ALCOHOL.
20101211000116.000|20101211000117.667|CCO|ONE JUROR SAYS THE GRAPHIC
20101211000117.667|20101211000119.333|CCO|TESTIMONY MADE HIM CRY.
20101211000119.333|20101211000121.000|CCO|>> I'M A SOFT OLD MAN WITH
20101211000121.000|20101211000123.000|CCO|CHILDREN AND WITH YOU SIT
20101211000123.000|20101211000125.000|CCO|FOR HOURS AT A TIME AND
20101211000125.000|20101211000127.000|CCO|LISTEN TO INCREDIBLY
20101211000127.000|20101211000129.000|CCO|UNBELIEVABLE THINGS THAT
20101211000129.000|20101211000131.000|CCO|HAPPENED TO A YOUNG LADY
20101211000131.000|20101211000133.000|CCO|LIKE ELIZABETH SMART, YOU'VE
20101211000133.000|20101211000135.000|CCO|GOT TO BE PRETTY CALLOUS TO
20101211000135.000|20101211000137.000|CCO|BE ABLE TO WALK AWAY WITHOUT
20101211000137.000|20101211000139.000|CCO|HAVING SOMETHING TUG AT YOUR
20101211000139.000|20101211000141.000|CCO|HEART.
