TOP|20101211020001|2010-12-11_0200_US_KMEX_Noticias_34
COL|Communication Studies Archive, UCLA 
UID|5d758010-04ca-11e0-9034-00e0815ffae2
DUR|0:29:55.02
VID|640x480
CMT|
LAN|SPA
LBT|2010-12-10 18:00 America/Los_Angeles
SEG_01|2014-02-03 01:06:30|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20101211020009.000|20101211022956.000|SEG|Type=Story
20101211020009.000|20101211020011.000|CCO|IVISION un hombre en
20101211020011.000|20101211020016.000|CCO|el motel.
20101211020016.000|20101211020021.000|CCO|>> entretanto las calles de 
20101211020021.000|20101211020024.333|CCO|nueva Hollywood arrestaron un 
20101211020024.333|20101211020027.667|CCO|presunto violador.
20101211020027.667|20101211020031.000|CCO|>> Un presunto violador de los 
20101211020031.000|20101211020036.000|CCO|angeles, nos dice es muy joven, 
20101211020036.000|20101211020041.000|CCO|pero su manera de proceder es un
20101211020041.000|20101211020046.000|CCO|experto.
20101211020046.000|20101211020051.000|CCO|>> Segun investigadores, el que 
20101211020051.000|20101211020056.000|CCO|tiene 18 años, es un depravado 
20101211020056.000|20101211020101.000|CCO|sexual.
20101211020101.000|20101211020106.000|CCO|>> Es el sujeto que se acerco a 
20101211020106.000|20101211020111.000|CCO|una mujer, la ordeno para que se
20101211020111.000|20101211020121.000|CCO|desnude y luego la ultrajo.
20101211020121.000|20101211020124.333|CCO|>> Se buscan otras victimas
20101211020124.333|20101211020127.667|CCO|>> Su arresto se prdujo hace 3 
20101211020127.667|20101211020131.000|CCO|dias.
20101211020131.000|20101211020141.000|CCO|>> Sí usted cree haber sido una 
20101211020141.000|20101211020144.333|CCO|víctima, de inmediato y 
20101211020144.333|20101211020147.667|CCO|anonimamete llame a las 
20101211020147.667|20101211020151.000|CCO|autoridades.
20101211020151.000|20101211020156.000|CCO|>> Mataron a una mujer que dejó 
20101211020156.000|20101211020201.000|CCO|huerfana a su hija.
20101211020201.000|20101211020204.333|CCO|>> Ella fallecio debido a una 
20101211020204.333|20101211020207.667|CCO|balacera entre vehiculo a 
20101211020207.667|20101211020211.000|CCO|vehiculo.
20101211020211.000|20101211020216.000|CCO|>> Que ha sucedido de los datos 
20101211020216.000|20101211020221.000|CCO|de miles de aviones ?
20101211020221.000|20101211020231.000|CCO|>> Queremos acalara que no es 
20101211020231.000|20101211020234.333|CCO|aviones comerciales, hablan de 
20101211020234.333|20101211020237.667|CCO|necesidad de recaudar 
20101211020237.667|20101211020241.000|CCO|ineficiencia.
20101211020241.000|20101211020251.000|CCO|>> Son miles las aeronaves que 
20101211020251.000|20101211020256.000|CCO|habitan el espacio aereo de eeua
20101211020256.000|20101211020301.000|CCO|>> Los datos de ellos no son 
20101211020301.000|20101211020306.000|CCO|fehacientes y la mayoria no 
20101211020306.000|20101211020311.000|CCO|renovara sus  contratos.
20101211020311.000|20101211020316.000|CCO|>> Estas personas han dejado los
20101211020316.000|20101211020321.000|CCO|aviones o simplemente se han 
20101211020321.000|20101211020331.000|CCO|cambiado a otros lugares.
20101211020331.000|20101211020334.333|CCO|>> La confusion ayudaria a 
20101211020334.333|20101211020337.667|CCO|adquir aeronaves pero existen 
20101211020337.667|20101211020341.000|CCO|otros motivos.
20101211020341.000|20101211020351.000|CCO|>> La aviacion no quiere en iur 
20101211020351.000|20101211020356.000|CCO|ellos, sino que de forma 
20101211020356.000|20101211020401.000|CCO|discreta dice que registren 
20101211020401.000|20101211020406.000|CCO|nuevamente su avion, el estado 
20101211020406.000|20101211020411.000|CCO|va querer entrar y cobrar 
20101211020411.000|20101211020421.000|CCO|impuestos.
20101211020421.000|20101211020426.000|CCO|>> De aqui a diciembre del 2013,
20101211020426.000|20101211020431.000|CCO|se renovaran todos los 
20101211020431.000|20101211020434.333|CCO|registros, donde se pueden 
20101211020434.333|20101211020437.667|CCO|llevar todos los datos 
20101211020437.667|20101211020441.000|CCO|fehacientemente.
