TOP|20101211020002|2010-12-11_0200_US_KNBC_Channel_4_News
COL|Communication Studies Archive, UCLA 
UID|5de17d7e-04ca-11e0-a4a5-00e0815fe86a
DUR|0:29:54.04
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-10 18:00 America/Los_Angeles
SEG_01|2014-06-18 17:58:27|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101211020010.000|20101211020318.667|SEG|Type=Story
20101211020010.000|20101211020012.000|CCO| 
20101211020012.000|20101211020014.500|CCO|[ NO ODD YOU ]
20101211020014.500|20101211020017.000|CCO|THEY HAD MORE MEDICAL MARIJUANA 
20101211020017.000|20101211020019.500|CCO|DISPENSARIES IN THIS CITY THAN 
20101211020019.500|20101211020022.000|CCO|THEY DID STARBUCKS.
20101211020022.000|20101211020023.667|CCO|A JUDGE'S RULING, THIS IS AN 
20101211020023.667|20101211020025.333|CCO|INJUNCTION FROM ENFORCING THIS 
20101211020025.333|20101211020027.000|CCO|ORDINANCE.
20101211020027.000|20101211020028.667|CCO|IT COULD HAMPER THE CITY'S 
20101211020028.667|20101211020030.333|CCO|ABILITY TO ENFORCE THE 
20101211020030.333|20101211020032.000|CCO|ORDINANCE.
20101211020032.000|20101211020042.000|CCO|IT MAY RESULT IN NEW POT 
20101211020042.000|20101211020043.429|CCO|DISPENSARIES OPENING UP -- 
20101211020043.429|20101211020044.857|CCO|ATTORNEYS ARE STILL REVIEWING 
20101211020044.857|20101211020046.286|CCO|IT.
20101211020046.286|20101211020047.714|CCO|MANY DISPENSARIES THAT WERE 
20101211020047.714|20101211020049.143|CCO|FORCED TO CLOSE SUED THE CITY 
20101211020049.143|20101211020050.571|CCO|BECAUSE THEY SAY THE MEASURE 
20101211020050.571|20101211020052.000|CCO|THAT WAS PASSED WAS OVERLY BROAD
20101211020052.000|20101211020055.333|CCO|AND CERTAINLY IN MANY CASES 
20101211020055.333|20101211020058.667|CCO|DENIED THEM NOT ONLY PATIENT 
20101211020058.667|20101211020102.000|CCO|ACCESS TO MEDICAL MARIJUANA BUT 
20101211020102.000|20101211020104.500|CCO|ALSO A VIOLATION OF FUNDAMENTAL 
20101211020104.500|20101211020107.000|CCO|PRIVACY RIGHTS.
20101211020107.000|20101211020109.500|CCO|A PATIENT ADVOCACY NETWORK 
20101211020109.500|20101211020112.000|CCO|WORKED ON A CITY ORDINANCE THAT 
20101211020112.000|20101211020113.667|CCO|WAS NEVER SENT TO THE CITY 
20101211020113.667|20101211020115.333|CCO|COUNCIL AND YOU HAVE BEEN 
20101211020115.333|20101211020117.000|CCO|MONITORING THIS ONE WHICH YOU 
20101211020117.000|20101211020118.667|CCO|THOUGHT WAS OVERLY BROAD.
20101211020118.667|20101211020120.333|CCO|>> YES.
20101211020120.333|20101211020122.000|CCO|THIS IS AN EXCITING EVENING FOR 
20101211020122.000|20101211020123.667|CCO|THE MEDICAL CANNABIS COMMUNITY.
20101211020123.667|20101211020125.333|CCO|WE HAVE BEEN WAITING FOR JUDGE 
20101211020125.333|20101211020127.000|CCO|MOORE'S DECISION.
20101211020127.000|20101211020128.667|CCO|NOW TO HAVE IT AND READ THROUGH 
20101211020128.667|20101211020130.333|CCO|WHAT HE FEELS ARE THE PROBLEMS 
20101211020130.333|20101211020132.000|CCO|WITH THE ORDINANCE WILL HELP US 
20101211020132.000|20101211020133.667|CCO|MOVE FORWARD.
20101211020133.667|20101211020135.333|CCO|>> Reporter: YOUR CONCLUSION IS 
20101211020135.333|20101211020137.000|CCO|PRIVACY WAS AN ISSUE.
20101211020137.000|20101211020138.667|CCO|>> PRIVACY, EQUAL PROTECTION WAS
20101211020138.667|20101211020140.333|CCO|AN ISSUE.
20101211020140.333|20101211020142.000|CCO|THERE WERE A NUMBER OF ISSUES.
20101211020142.000|20101211020144.000|CCO|>> Reporter: THE CITY ATTORNEY 
20101211020144.000|20101211020146.000|CCO|MIGHT USE THE DATABASE OF 
20101211020146.000|20101211020148.000|CCO|PATIENTS IN ORDER TO FILE 
20101211020148.000|20101211020150.000|CCO|CRIMINAL CHARGES?
20101211020150.000|20101211020152.000|CCO|>> THAT WAS ONE OF THE CONCERNS.
20101211020152.000|20101211020153.667|CCO|ONE OF THE ATTORNEYS THAT WAS 
20101211020153.667|20101211020155.333|CCO|WITH THE CITY ATTORNEY'S OFFICE 
20101211020155.333|20101211020157.000|CCO|ACKNOWLEDGED THAT PATIENT 
20101211020157.000|20101211020158.667|CCO|INFORMATION COULD BE USED TO RUN
20101211020158.667|20101211020200.333|CCO|CRIMINAL BACKGROUND CHECKS ON 
20101211020200.333|20101211020202.000|CCO|PATIENTS AND THAT INFORMATION 
20101211020202.000|20101211020203.667|CCO|COULD BE USED AGAINST THE 
20101211020203.667|20101211020205.333|CCO|PATIENT OR THE COLLECTIVE.
20101211020205.333|20101211020207.000|CCO|>> Reporter: YOUR HOPE IS THIS 
20101211020207.000|20101211020208.667|CCO|WILL BRING IT BACK TO THE CITY 
