TOP|20101211030002|2010-12-11_0300_US_CNN_Anderson_Cooper_360
COL|Communication Studies Archive, UCLA 
UID|bfa36db2-04d2-11e0-8da9-00e0815fe826
DUR|0:59:54.03
VID|640x480
CMT|
TPF|transcripts.cnn.com|acd.01.html
HED|President Clinton Returns to White House Briefing Room; Elizabeth Smart Breaks Silence; Preaching Hate at Funerals
LAN|ENG
LBT|2010-12-10 19:00 America/Los_Angeles
SEG_01|2014-06-18 17:58:36|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101211030006.000|20101211030024.500|SEG|Type=Story
20101211030006.000|20101211030007.000|CCO| MAN WO PLANS TO 
20101211030007.000|20101211030008.000|CCO|PREACH HIS HATE OUTSIDE HER 
20101211030008.000|20101211030009.000|CCO|FUNERAL.
20101211030009.000|20101211030010.000|CCO|HE AND HIS CHURCH ROUTINELY 
20101211030010.000|20101211030011.000|CCO|PROTEST THE FUNERALS OF SERVICE 
20101211030011.000|20101211030012.000|CCO|MEMBERS APPROXIMATE THE SUPREME 
20101211030012.000|20101211030013.429|CCO|COURT IS WEIGHING IN IF WHAT HE 
20101211030013.429|20101211030014.857|CCO|DOES IS PROTECTED BY THE 
20101211030014.857|20101211030016.286|CCO|CONSTITUTION.
20101211030016.286|20101211030017.714|CCO|TONIGHT WE'LL MEET SOME OF THE 
20101211030017.714|20101211030019.143|CCO|PEOPLE IN NORTH CAROLINA 
20101211030019.143|20101211030020.571|CCO|RALLYING TOMORROW TO SHOW 
20101211030020.571|20101211030022.000|CCO|SUPPORT FOR THE EDWARDS FAMILY 
20101211030022.000|20101211030023.250|CCO|HATE THIS GROUP SPOUTS 
20101211030023.250|20101211030024.500|CCO|WITH LOVE.
20101211030024.500|20101211030042.000|SEG|Type=Story
20101211030024.500|20101211030025.750|CCO|>>> THE PRESIDENT AND FORMER 
20101211030025.750|20101211030027.000|CCO|PRESIDENT WALKED INTO THE WHITE 
20101211030027.000|20101211030028.250|CCO|HOUSE BRIEFING ROOM TO SELL THE 
20101211030028.250|20101211030029.500|CCO|PRESIDENT'S TAX DEAL.
