TOP|20101211030001|2010-12-11_0300_US_KCBS_Entertainment_Tonight
COL|Communication Studies Archive, UCLA 
UID|bf1e3fe8-04d2-11e0-bd2f-00e0815ffae2
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-10 19:00 America/Los_Angeles
SEG_01|2014-06-18 17:58:42|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101211030004.333|20101211030009.333|SEG|Type=Story
20101211030004.333|20101211030006.000|SEG_01|Type=Commercial
20101211030004.333|20101211030005.167|CCO|Amer
20101211030005.167|20101211030006.000|CCO|ica'
20101211030006.000|20101211030006.833|SEG_01|Type=Story start
20101211030006.000|20101211030006.833|CCO|s NeONxtLY T "opE. MT.od" elCAN TAKE YOU BEHIND 
20101211030006.833|20101211030007.667|CCO|THE SCENES AS THE PRESIDENT 
20101211030007.667|20101211030008.500|CCO|LIGHTS THE NATIONAL CHRISTMAS 
20101211030008.500|20101211030009.333|CCO|TREE. 
20101211030009.333|20101211030013.000|SEG|Type=Story
20101211030009.333|20101211030010.167|CCO|>>> PLUS A WHITE HOUSE
20101211030010.167|20101211030011.000|CCO|OUR EXCLUSIVE BEHIND THE SCENES 
20101211030011.000|20101211030013.000|CCO|LOOK.
20101211030013.000|20101211030019.000|SEG|Type=Story
20101211030013.000|20101211030015.000|CCO|>>> THEN ON STAGE WITH DONNY AND
20101211030015.000|20101211030017.000|CCO|MARIE, CELEBRATING THE HOLIDAYS 
20101211030017.000|20101211030019.000|CCO|IN NEW YORK.
20101211030019.000|20101211030027.000|SEG|Type=Story
20101211030019.000|20101211030021.000|CCO|>>> IN TONIGHT'S CELEBRITY GPS, 
20101211030021.000|20101211030023.000|CCO|NEW MICHAEL DOUGLAS IN NEW YORK.
20101211030023.000|20101211030025.000|CCO|JENNIFER ANISTON, DINING WITH A 
20101211030025.000|20101211030027.000|CCO|PRINCE. 
20101211030027.000|20101211030231.000|SEG|Type=Story
20101211030027.000|20101211030029.000|CCO|>>> PLUS TWO BACHELO
20101211030029.000|20101211030031.000|CCO|MARRYING TWINS AND FIGHTING OVER
20101211030031.000|20101211030032.429|CCO|THE SAME DRESS.
20101211030032.429|20101211030033.857|CCO|>> WE THINK THAT COULD BE A 
20101211030033.857|20101211030035.286|CCO|PROBLEM.
20101211030035.286|20101211030036.714|CCO|>> NOW, THE LATEST CELEBRITY 
20101211030036.714|20101211030038.143|CCO|HEADLINES FROM AROUND THE WORLD.
20101211030038.143|20101211030039.571|CCO|>> HELLO, AND WELCOME TO 
20101211030039.571|20101211030041.000|CCO|"ENTERTAINMENT TONIGHT," I'M 
20101211030041.000|20101211030042.429|CCO|MARK STEINES. 
20101211030042.429|20101211030043.857|CCO|>> FOR MARY HART, I'M SAMANTHA 
20101211030043.857|20101211030045.286|CCO|HARRIS.
20101211030045.286|20101211030046.714|CCO|>> PRINCE CHARLES AND CAMILLA 
20101211030046.714|20101211030048.143|CCO|ATTACKED BY A MOB.
20101211030048.143|20101211030049.571|CCO|WE TAKE YOU INSIDE THE MAYHEM IN
20101211030049.571|20101211030051.000|CCO|LONDON AND WHAT IS BEING CALLED 
20101211030051.000|20101211030054.333|CCO|THE WORST SECURITY BREACH IN 
20101211030054.333|20101211030057.667|CCO|DECADES.
20101211030057.667|20101211030101.000|CCO|>> PEOPLE WERE TRYING TO GET 
20101211030101.000|20101211030103.000|CCO|INSIDE THE VEHICLE AT ONE POINT.
20101211030103.000|20101211030105.000|CCO|>> PRINCE CHARLES.
20101211030105.000|20101211030107.000|CCO|>> THEY WERE TRYING TO BREAK THE
20101211030107.000|20101211030109.000|CCO|WINDOWS.
20101211030109.000|20101211030111.000|CCO|>> I BELIEVE THE WINDOWS WERE 
20101211030111.000|20101211030113.000|CCO|BEING ATTACKED.
