TOP|20101212020001|2010-12-12_0200_US_KCBS_CBS_2_News_at_6
COL|Communication Studies Archive, UCLA 
UID|87edb9c4-0593-11e0-ab04-00e0815fe725
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-11 18:00 America/Los_Angeles
SEG_01|2014-02-03 01:06:31|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20101212020011.000|20101212020542.429|SEG|Type=Story
20101212020011.000|20101212020012.429|CCO|0005000H
20101212020012.429|20101212020041.000|SEG_01|Type=Commercial
20101212020012.429|20101212020013.857|CCO|         Lightning Fast.
20101212020013.857|20101212020015.286|CCO|        Lightning Strong.
20101212020015.286|20101212020016.714|CCO|         Verizon 4G LTE.
20101212020016.714|20101212020018.143|CCO|    Rule the air on the most
20101212020018.143|20101212020019.571|CCO|       advanced 4G network
20101212020019.571|20101212020041.000|CCO|          in the world.
20101212020041.000|20101212020042.667|SEG_01|Type=Story start
20101212020041.000|20101212020042.667|CCO|SUZIE: GOOD EVENING.
20101212020042.667|20101212020044.333|CCO|
20101212020044.333|20101212020046.000|CCO|THANKS FOR JOING US.
20101212020046.000|20101212020047.667|CCO|
20101212020047.667|20101212020049.333|CCO|I AM SUZIE SUH.
20101212020049.333|20101212020051.000|CCO|
20101212020051.000|20101212020052.250|CCO|JUAN: HELLO, EVERYONE.
20101212020052.250|20101212020053.500|CCO|
20101212020053.500|20101212020054.750|CCO|I AM JUAN FERNANDEZ.
20101212020054.750|20101212020056.000|CCO|
20101212020056.000|20101212020057.250|CCO|NU AT 6:00, AN 85-YEAR-OLD
20101212020057.250|20101212020058.500|CCO|
20101212020058.500|20101212020059.750|CCO|MAN ESCAPED HIS HOME TODAY.
20101212020059.750|20101212020101.000|CCO|
20101212020101.000|20101212020101.625|CCO|CBS 2'S KARA FINNSTROM
20101212020101.625|20101212020102.250|CCO|
20101212020102.250|20101212020102.875|CCO|TELLS US, FIREFIGHTERS CAME
20101212020102.875|20101212020103.500|CCO|
20101212020103.500|20101212020104.125|CCO|TO THE RESCUE.
20101212020104.125|20101212020104.750|CCO|
20101212020104.750|20101212020105.375|CCO|>> Reporter: TONIGHT, A
20101212020105.375|20101212020106.000|CCO|
20101212020106.000|20101212020106.625|CCO|POTTER RANCH FAMILY SAYS
20101212020106.625|20101212020107.250|CCO|
20101212020107.250|20101212020107.875|CCO|THEY COULD NOT BE MORE
20101212020107.875|20101212020108.500|CCO|
20101212020108.500|20101212020109.125|CCO|GRATEFUL.
20101212020109.125|20101212020109.750|CCO|
20101212020109.750|20101212020110.375|CCO|>> THE FIRE MAY HAVE START
20101212020110.375|20101212020111.000|CCO|
20101212020111.000|20101212020111.714|CCO|INTERESTED THE JACUZZI AND
20101212020111.714|20101212020112.429|CCO|
20101212020112.429|20101212020113.143|CCO|ENGULFED THE WHOLE HOUSE.
20101212020113.143|20101212020113.857|CCO|
20101212020113.857|20101212020114.571|CCO|>> Reporter: WHEN FIRE
20101212020114.571|20101212020115.286|CCO|
20101212020115.286|20101212020116.000|CCO|BEGAN BURNING THROUGH
20101212020116.000|20101212020116.714|CCO|
20101212020116.714|20101212020117.429|CCO|85-YEAR-OLD KENNETH'S HOUSE
20101212020117.429|20101212020118.143|CCO|
20101212020118.143|20101212020118.857|CCO|THIS MORNING, HIS DOG
20101212020118.857|20101212020119.571|CCO|
20101212020119.571|20101212020120.286|CCO|ALERTED HIM TO THE FIRE.
20101212020120.286|20101212020121.000|CCO|
20101212020121.000|20101212020121.625|CCO|>> MY FATHER DOESN'T HEAR
20101212020121.625|20101212020122.250|CCO|
20101212020122.250|20101212020122.875|CCO|VERY WELL, SO I KNOW THAT
20101212020122.875|20101212020123.500|CCO|
20101212020123.500|20101212020124.125|CCO|THE DOG DEFINITELY HAD A
20101212020124.125|20101212020124.750|CCO|
20101212020124.750|20101212020125.375|CCO|PART IN THAT.
20101212020125.375|20101212020126.000|CCO|
20101212020126.000|20101212020126.625|CCO|>> Reporter: HE IS IS NOW
20101212020126.625|20101212020127.250|CCO|
20101212020127.250|20101212020127.875|CCO|BEING TREATED FOR SMOKE
20101212020127.875|20101212020128.500|CCO|
20101212020128.500|20101212020129.125|CCO|HANELITI AN HIS DOG BOTH
20101212020129.125|20101212020129.750|CCO|
20101212020129.750|20101212020130.375|CCO|GOT OUT SAFELY.
20101212020130.375|20101212020131.000|CCO|
20101212020131.000|20101212020131.833|CCO|MINUTES LATE WE'RE THE FIRE
20101212020131.833|20101212020132.667|CCO|
20101212020132.667|20101212020133.500|CCO|RAGING, FIREFIGHTERS
20101212020133.500|20101212020134.333|CCO|
20101212020134.333|20101212020135.167|CCO|ARRIVED.
20101212020135.167|20101212020136.000|CCO|
20101212020136.000|20101212020136.833|CCO|THEY SAY, THEY WENT INSIDE
20101212020136.833|20101212020137.667|CCO|
20101212020137.667|20101212020138.500|CCO|WITH NO CLUE THERE WERE
20101212020138.500|20101212020139.333|CCO|
20101212020139.333|20101212020140.167|CCO|FIVE LIFE SAVING RESCUES TO
20101212020140.167|20101212020141.000|CCO|
20101212020141.000|20101212020141.714|CCO|MAKE.
20101212020141.714|20101212020142.429|CCO|
20101212020142.429|20101212020143.143|CCO|>> YEAH.
20101212020143.143|20101212020143.857|CCO|
20101212020143.857|20101212020144.571|CCO|I THOUGHT WAS SOMEBODY
20101212020144.571|20101212020145.286|CCO|
20101212020145.286|20101212020146.000|CCO|SAYING "HELP."
20101212020146.000|20101212020146.714|CCO|
