TOP|20101212180002|2010-12-12_1800_US_CNN_Fareed_Zakaria_GPS
COL|Communication Studies Archive, UCLA 
UID|a477a222-0619-11e0-bfe5-00e0815fe826
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-12 10:00 America/Los_Angeles
SEG_01|2014-06-18 18:00:27|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101212180007.000|20101212180014.500|SEG|Type=Story
20101212180007.000|20101212180008.250|CCO| AULD LANG SYNE COMING JUST A 
20101212180008.250|20101212180009.500|CCO|BIT EARLY ON CAPITOL HILL.
20101212180009.500|20101212180010.750|CCO|UP NEXT FOR OUR VIEWERS IN THE 
20101212180010.750|20101212180012.000|CCO|UNITED STATES, "FAREED ZAKARIA 
20101212180012.000|20101212180014.500|CCO|GPS."
20101212180014.500|20101212180336.714|SEG|Type=Story
20101212180014.500|20101212180017.000|CCO|>>> THIS IS GT "GPS," THE GLOBAL
20101212180017.000|20101212180019.500|CCO|PUBLIC SQUARE.
20101212180019.500|20101212180022.000|CCO|WELCOME TO ALL OF YOU IN THE 
20101212180022.000|20101212180023.429|CCO|UNITED STATES AND AROUND THE 
20101212180023.429|20101212180024.857|CCO|WORLD.
20101212180024.857|20101212180026.286|CCO|I'M FAREED ZAKARIA.
20101212180026.286|20101212180027.714|CCO|THE BEST THAT CAN BE SAID ABOUT 
20101212180027.714|20101212180029.143|CCO|OBAMA'S COMPROMISE WITH THE 
20101212180029.143|20101212180030.571|CCO|REPUBLICAN PARTY ON TAXES IS 
20101212180030.571|20101212180032.000|CCO|THAT IT MIGHT NOT CAUSE TOO MUCH
20101212180032.000|20101212180033.250|CCO|HARM.
20101212180033.250|20101212180034.500|CCO|SEE, THE EXTENSION OF 
20101212180034.500|20101212180035.750|CCO|UNEMPLOYMENT BENEFITS WILL KEEP 
20101212180035.750|20101212180037.000|CCO|PUTTING MONEY INTO THE ECONOMY.
20101212180037.000|20101212180038.250|CCO|THERE ARE SOME GOOD PROVISIONS 
20101212180038.250|20101212180039.500|CCO|IN THE BILL TO ENCOURAGE 
20101212180039.500|20101212180040.750|CCO|BUSINESSES TO CREATE JOBS, BUT 
20101212180040.750|20101212180042.000|CCO|ON THE WHOLE, A GREAT CHANCE HAS
20101212180042.000|20101212180044.000|CCO|BEEN LOST TO START PUTTING 
20101212180044.000|20101212180046.000|CCO|AMERICA'S FISCAL HOUSE IN ORDER.
20101212180046.000|20101212180048.000|CCO|IF WE HAD REPEALED SOME PART OR 
20101212180048.000|20101212180050.000|CCO|THE WHOLE OF THE BUSH TAX CUTS, 
20101212180050.000|20101212180052.000|CCO|IT WOULD HAVE GONE A LONG WAY 
20101212180052.000|20101212180053.667|CCO|TOWARD REDUCING THE STRUCTURAL 
20101212180053.667|20101212180055.333|CCO|BUDGET DEFICIT THE UNITED STATES
20101212180055.333|20101212180057.000|CCO|HAS.
20101212180057.000|20101212180058.667|CCO|AND MORE IMPORTANTLY, WHAT THE 
20101212180058.667|20101212180100.333|CCO|BILL DOES IS TO TRY ONE MORE 
20101212180100.333|20101212180102.000|CCO|TIME TO ENCOURAGE AMERICANS TO 
20101212180102.000|20101212180104.250|CCO|SPEND MORE MONEY.
20101212180104.250|20101212180106.500|CCO|NOW, WE GOT INTO THIS MESS 
20101212180106.500|20101212180108.750|CCO|BECAUSE AMERICANS BORROWED AND 
20101212180108.750|20101212180111.000|CCO|SPENT TOO MUCH AND NOW, WE'RE 
20101212180111.000|20101212180113.500|CCO|TRYING TO GET OUT OF IT BY 
20101212180113.500|20101212180116.000|CCO|BORROWING AND SPENDING MORE
20101212180116.000|20101212180118.500|CCO|THE REPUBLICAN PARTY HAS COME TO
20101212180118.500|20101212180121.000|CCO|POWER IN THE RECENT ELECTION BY 
20101212180121.000|20101212180122.667|CCO|DENOUNCING KEYNESIAN ECONOMICS, 
20101212180122.667|20101212180124.333|CCO|THAT'S THE GOVERNMENT'S EFFORT 
20101212180124.333|20101212180126.000|CCO|TO STIMULATE THE ECONOMY.
20101212180126.000|20101212180127.667|CCO|BUT IT TURNS OUT THEY ARE AS 
20101212180127.667|20101212180129.333|CCO|COMMITTED TO KEYNESIAN ECONOMICS
20101212180129.333|20101212180131.000|CCO|AS THE DEMOCRATS.
20101212180131.000|20101212180133.000|CCO|SEE, JOHN MAINORD KEYNE SIMPLY 
20101212180133.000|20101212180135.000|CCO|SAID WHEN THE PUBLIC STOPS 
20101212180135.000|20101212180137.000|CCO|SPENDING, THE GOVERNMENT HAS TO 
20101212180137.000|20101212180139.000|CCO|STEP IN.
20101212180139.000|20101212180141.000|CCO|HE ADVOCATED TWO KINDS OF PUBLIC
20101212180141.000|20101212180142.250|CCO|ACTIONS.
20101212180142.250|20101212180143.500|CCO|PUBLIC SPENDING OR TAX CUTS.
20101212180143.500|20101212180144.750|CCO|THE REPUBLICANS PREFER THE 
