TOP|20101213013002|2010-12-13_0130_US_KCBS_CBS_Evening_News
COL|Communication Studies Archive, UCLA 
UID|8181b8b8-0658-11e0-b7d2-00e0815ffae2
DUR|0:29:54.04
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-12 17:30 America/Los_Angeles
SEG_01|2014-06-18 18:00:45|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101213013012.000|20101213013928.667|SEG|Type=Story
20101213013012.000|20101213013013.667|CCO|>> Mitchell: TONIGHT, HOME
20101213013013.667|20101213013015.333|CCO|FIELD DISASTER.
20101213013015.333|20101213013017.000|CCO|A HUGE MIDWEST SNOWSTORM
20101213013017.000|20101213013018.667|CCO|COLLAPSES THE METRODOME ROOF IN
20101213013018.667|20101213013020.333|CCO|MINNEAPOLIS AND FORCES THE
20101213013020.333|20101213013022.000|CCO|VIKINGS TO PLAY IN DETROIT
20101213013022.000|20101213013024.000|CCO|TOMORROW INSTEAD.
20101213013024.000|20101213013026.000|CCO|I'M RUSS MITCHELL.
20101213013026.000|20101213013028.000|CCO|ALSO TONIGHT, DEAL NOR DEAL.
20101213013028.000|20101213013030.000|CCO|THE WHITE HOUSE SAYS THE TAX CUT
20101213013030.000|20101213013032.000|CCO|COMPROMISE WILL PASS DESPITE THE
20101213013032.000|20101213013033.429|CCO|OBJECTIONS OF LIBERAL DEMOCRATS.
20101213013033.429|20101213013034.857|CCO|FAMILY TRAGEDY.
20101213013034.857|20101213013036.286|CCO|MORE DETAILS ABOUT THE FINAL
20101213013036.286|20101213013037.714|CCO|HOURS OF MARK MADOFF, WHO KILLED
20101213013037.714|20101213013039.143|CCO|HIMSELF ON THE ANNIVERSARY OF
20101213013039.143|20101213013040.571|CCO|HIS FATHER'S ARREST FOR STOCK
20101213013040.571|20101213013042.000|CCO|FRAUD.
20101213013042.000|20101213013044.500|CCO|AND PICTURE-PERFECT.
20101213013044.500|20101213013047.000|CCO|THE FIRST LOOK AT PRINCE WILLIAM
20101213013047.000|20101213013049.500|CCO|AND KATE MIDDLETON'S OFFICIAL
20101213013049.500|20101213013052.000|CCO|ENGAGEMENT PORTRAITS.
20101213013052.000|20101213013055.333|CCO|Captioning sponsored by CBS
20101213013055.333|20101213013058.667|CCO|THIS IS THE "CBS EVENING NEWS"
20101213013058.667|20101213013102.000|CCO|>> Mitchell: AND GOOD EVENING.
20101213013102.000|20101213013103.429|CCO|EVEN FOR A MIDWEST THAT IS NO
20101213013103.429|20101213013104.857|CCO|STRANGER TO WINTER STORMS, THIS
20101213013104.857|20101213013106.286|CCO|WEEKEND'S POWERFUL BLAST IS A
20101213013106.286|20101213013107.714|CCO|STUNNER.
20101213013107.714|20101213013109.143|CCO|THE STORM IS SWEEPING EASTWARD
20101213013109.143|20101213013110.571|CCO|TONIGHT ACROSS THE HEART OF THE
20101213013110.571|20101213013112.000|CCO|COUNTRY WITH NO LET-UP IN SIGHT.
20101213013112.000|20101213013113.429|CCO|BESIDES PLAYING HAVOC WITH NFL
20101213013113.429|20101213013114.857|CCO|SCHEDULE, THE STORM IS ALSO
20101213013114.857|20101213013116.286|CCO|DISRUPTING AIR AND GROUND TRAVEL
20101213013116.286|20101213013117.714|CCO|ACROSS THE REGION.
20101213013117.714|20101213013119.143|CCO|CYNTHIA BOWERS IS IN A
20101213013119.143|20101213013120.571|CCO|LESS-THAN-BALMY CHICAGO THIS
20101213013120.571|20101213013122.000|CCO|EVENING.
20101213013122.000|20101213013123.429|CCO|GOOD EVENING.
20101213013123.429|20101213013124.857|CCO|>> Reporter: GOOD EVENING,
20101213013124.857|20101213013126.286|CCO|RUSS.
20101213013126.286|20101213013127.714|CCO|IT'S HARDLY THAT.
20101213013127.714|20101213013129.143|CCO|A LOT OF TIMES WINTER STORMS
20101213013129.143|20101213013130.571|CCO|DON'T LIVE UP TO THE HYPE, BUT
20101213013130.571|20101213013132.000|CCO|THIS ONE HAS, DUMPING SNOW FROM
20101213013132.000|20101213013134.000|CCO|THE DAKOTAS TO NASHVILLE,
20101213013134.000|20101213013136.000|CCO|TENNESSEE, AN BEHIND THAT
20101213013136.000|20101213013138.000|CCO|PRECIPITATION, BITTER COLD.
20101213013138.000|20101213013140.000|CCO|WIND CHILLS HERE EXPECTED TO BE
20101213013140.000|20101213013142.000|CCO|NEGATIVE 25 TONIGHT.
20101213013142.000|20101213013143.667|CCO|FIRST CAME HEAVY SNOW.
20101213013143.667|20101213013145.333|CCO|ENOUGH TO COLLAPSE THE 9.5 ACRE
20101213013145.333|20101213013147.000|CCO|ROOF OF THE MINNEAPOLIS
20101213013147.000|20101213013148.667|CCO|METRODOME, HOPE OF THE MINNESOTA
20101213013148.667|20101213013150.333|CCO|VIKINGS.
20101213013150.333|20101213013152.000|CCO|IT GAVE WAY THIS MORNING, UNABLE
20101213013152.000|20101213013153.667|CCO|TO STAND UP TO THE FIFTH
20101213013153.667|20101213013155.333|CCO|HEAVIEST SNOWFALL IN TWIN
20101213013155.333|20101213013157.000|CCO|CITIES' HISTORY, 17 INCHES IN 18
20101213013157.000|20101213013158.667|CCO|HOURS.
20101213013158.667|20101213013200.333|CCO|THE VIKINGS WILL NOW PLAY THE
20101213013200.333|20101213013202.000|CCO|MORNING GIANTS IN DETROIT ON
20101213013202.000|20101213013203.667|CCO|MONDAY, BUT THE GIANTS WERE
20101213013203.667|20101213013205.333|CCO|UNABLE TO GET TO MINNEAPOLIS
20101213013205.333|20101213013207.000|CCO|ANYWAY BECAUSE THE AIRPORT THERE
20101213013207.000|20101213013208.667|CCO|SHUT DOWN FOR THE FIRST TIME IN
20101213013208.667|20101213013210.333|CCO|19 YEARS.
20101213013210.333|20101213013212.000|CCO|ROADS ACROSS THE REGION WERE
20101213013212.000|20101213013213.667|CCO|ALSO CLOSED.
20101213013213.667|20101213013215.333|CCO|HEAVY SNOW KEPT FIREFIGHTERS
20101213013215.333|20101213013217.000|CCO|FROM GETTING TO A HOUSE FIRE
20101213013217.000|20101213013218.667|CCO|WHERE TWO PEOPLE DIED.
20101213013218.667|20101213013220.333|CCO|MORE THAN 600 VEHICLES SLID OFF
20101213013220.333|20101213013222.000|CCO|THE ROAD.
20101213013222.000|20101213013223.429|CCO|THERE WERE SO MANY ACCIDENTS IN
