TOP|20101213160002|2010-12-13_1600_US_FOX-News_Fox_News_Live
COL|Communication Studies Archive, UCLA 
UID|0b82c1a0-06d2-11e0-809e-00e0815fe826
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-13 08:00 America/Los_Angeles
SEG_01|2014-06-18 18:01:41|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101213160003.600|20101213160358.250|SEG|Type=Story
20101213160003.600|20101213165957.000|SEG_01|Type=Commercial
20101213160003.600|20101213160004.000|CCO|.
20101213160004.000|20101213160004.400|CCO|
20101213160004.400|20101213160004.800|CCO|
20101213160004.800|20101213160005.200|CCO|JENNA: THANKS GUYS, HI
20101213160005.200|20101213160005.600|CCO|
20101213160005.600|20101213160006.000|CCO|
20101213160006.000|20101213160006.400|CCO|EVERYBODY, HOPE YOU'RE OFF
20101213160006.400|20101213160006.800|CCO|
20101213160006.800|20101213160007.200|CCO|
20101213160007.200|20101213160007.600|CCO|TO A GOOD WEEK SO FAR,
20101213160007.600|20101213160008.000|CCO|
20101213160008.000|20101213160008.400|CCO|
20101213160008.400|20101213160008.800|CCO|MONDAY MORNING AS IT IS, I'M
20101213160008.800|20101213160009.200|CCO|
20101213160009.200|20101213160009.600|CCO|
20101213160009.600|20101213160010.000|CCO|JENNA LEE.
20101213160010.000|20101213160010.400|CCO|
20101213160010.400|20101213160010.800|CCO|
20101213160010.800|20101213160011.200|CCO|JON: IT FEELS LIKE A GOOD
20101213160011.200|20101213160011.600|CCO|
20101213160011.600|20101213160012.000|CCO|
20101213160012.000|20101213160012.417|CCO|MONDAY TO ME, I'M JON SCOTT.
20101213160012.417|20101213160012.833|CCO|
20101213160012.833|20101213160013.250|CCO|
20101213160013.250|20101213160013.667|CCO|WE ARE IN THE FOX NEWS ROOM
20101213160013.667|20101213160014.083|CCO|
20101213160014.083|20101213160014.500|CCO|
20101213160014.500|20101213160014.917|CCO|AND HOW ABOUT WE START
20101213160014.917|20101213160015.333|CCO|
20101213160015.333|20101213160015.750|CCO|
20101213160015.750|20101213160016.167|CCO|"HAPPENING NOW" RIGHT NOW.
20101213160016.167|20101213160016.583|CCO|
20101213160016.583|20101213160017.000|CCO|
20101213160017.000|20101213160017.417|CCO|A KILLER STORM ON THE MOVE
20101213160017.417|20101213160017.833|CCO|
20101213160017.833|20101213160018.250|CCO|
20101213160018.250|20101213160018.667|CCO|AFTER DUMPING RECORD SNOW ON
20101213160018.667|20101213160019.083|CCO|
20101213160019.083|20101213160019.500|CCO|
20101213160019.500|20101213160019.917|CCO|THE MIDWEST.
20101213160019.917|20101213160020.333|CCO|
20101213160020.333|20101213160020.750|CCO|
20101213160020.750|20101213160021.167|CCO|CHECK OUT THE TOP BOX.
20101213160021.167|20101213160021.583|CCO|
20101213160021.583|20101213160022.000|CCO|
20101213160022.000|20101213160022.556|CCO|THAT IS MADISON, WISCONSIN,
20101213160022.556|20101213160023.111|CCO|
20101213160023.111|20101213160023.667|CCO|
20101213160023.667|20101213160024.222|CCO|DUMPED WITH NEARLY 2 FEET OF
20101213160024.222|20101213160024.778|CCO|
20101213160024.778|20101213160025.333|CCO|
20101213160025.333|20101213160025.889|CCO|SNOW, NOW A DEEP FREEZE IS
20101213160025.889|20101213160026.444|CCO|
20101213160026.444|20101213160027.000|CCO|
20101213160027.000|20101213160027.556|CCO|GRIPPING THAT REGION AND
20101213160027.556|20101213160028.111|CCO|
20101213160028.111|20101213160028.667|CCO|
20101213160028.667|20101213160029.222|CCO|BEYOND.
20101213160029.222|20101213160029.778|CCO|
20101213160029.778|20101213160030.333|CCO|
20101213160030.333|20101213160030.889|CCO|AS FAR SOUTH AS FLORIDA,
20101213160030.889|20101213160031.444|CCO|
20101213160031.444|20101213160032.000|CCO|
20101213160032.000|20101213160032.667|CCO|TEMPERATURES ARE PLUNGING
20101213160032.667|20101213160033.333|CCO|
20101213160033.333|20101213160034.000|CCO|
20101213160034.000|20101213160034.667|CCO|BELOW FREEZING.
20101213160034.667|20101213160035.333|CCO|
20101213160035.333|20101213160036.000|CCO|
20101213160036.000|20101213160036.667|CCO|THAT'S DETROIT, IN THE TOP
20101213160036.667|20101213160037.333|CCO|
20101213160037.333|20101213160038.000|CCO|
20101213160038.000|20101213160038.667|CCO|BOX, WHERE THE COLD ON TOP
20101213160038.667|20101213160039.333|CCO|
20101213160039.333|20101213160040.000|CCO|
20101213160040.000|20101213160040.667|CCO|OF ALL THAT SNOW IS NOW
20101213160040.667|20101213160041.333|CCO|
20101213160041.333|20101213160042.000|CCO|
20101213160042.000|20101213160042.417|CCO|MAKING ROAD TRAVEL EVEN MORE
20101213160042.417|20101213160042.833|CCO|
20101213160042.833|20101213160043.250|CCO|
20101213160043.250|20101213160043.667|CCO|TREACHEROUS, ALSO MAKING IT
20101213160043.667|20101213160044.083|CCO|
20101213160044.083|20101213160044.500|CCO|
20101213160044.500|20101213160044.917|CCO|TOUGH FOR FOLKS TO DIG OUT
20101213160044.917|20101213160045.333|CCO|
20101213160045.333|20101213160045.750|CCO|
20101213160045.750|20101213160046.167|CCO|IN PLACES LIKE MINNEAPOLIS,
20101213160046.167|20101213160046.583|CCO|
20101213160046.583|20101213160047.000|CCO|
20101213160047.000|20101213160047.417|CCO|WHICH YOU CAN SEE IN THE
20101213160047.417|20101213160047.833|CCO|
20101213160047.833|20101213160048.250|CCO|
20101213160048.250|20101213160048.667|CCO|BOTTOM BOX, NOW THIS FIERCE
20101213160048.667|20101213160049.083|CCO|
20101213160049.083|20101213160049.500|CCO|
20101213160049.500|20101213160049.917|CCO|STORM IS HEADING EAST.
20101213160049.917|20101213160050.333|CCO|
20101213160050.333|20101213160050.750|CCO|
20101213160050.750|20101213160051.167|CCO|JENNA: THAT'S NOT ALL, JON.
20101213160051.167|20101213160051.583|CCO|
20101213160051.583|20101213160052.000|CCO|
20101213160052.000|20101213160052.476|CCO|AS FAR AS THE WEST, IT HAS
20101213160052.476|20101213160052.952|CCO|
20101213160052.952|20101213160053.429|CCO|
20101213160053.429|20101213160053.905|CCO|ITS VERY OWN WEATHER WOES,
20101213160053.905|20101213160054.381|CCO|
20101213160054.381|20101213160054.857|CCO|
20101213160054.857|20101213160055.333|CCO|NOT A WHOLE LOT OF SNOW OUT
20101213160055.333|20101213160055.810|CCO|
20101213160055.810|20101213160056.286|CCO|
20101213160056.286|20101213160056.762|CCO|THERE BUT HEAVY RAIN
20101213160056.762|20101213160057.238|CCO|
20101213160057.238|20101213160057.714|CCO|
20101213160057.714|20101213160058.190|CCO|POUNDING OREGON, WASHINGTON,
20101213160058.190|20101213160058.667|CCO|
20101213160058.667|20101213160059.143|CCO|
20101213160059.143|20101213160059.619|CCO|FLOOD WATCHES NOW IN EFFECT
20101213160059.619|20101213160100.095|CCO|
20101213160100.095|20101213160100.571|CCO|
20101213160100.571|20101213160101.048|CCO|IN PARTS OF THOSE TWO
20101213160101.048|20101213160101.524|CCO|
20101213160101.524|20101213160102.000|CCO|
20101213160102.000|20101213160102.556|CCO|STATES, AS INCREDIBLE
20101213160102.556|20101213160103.111|CCO|
20101213160103.111|20101213160103.667|CCO|
20101213160103.667|20101213160104.222|CCO|FLOODING SPARKS MUDSLIDES
20101213160104.222|20101213160104.778|CCO|
20101213160104.778|20101213160105.333|CCO|
20101213160105.333|20101213160105.889|CCO|AND FEARS THAT MORE COULD BE
20101213160105.889|20101213160106.444|CCO|
20101213160106.444|20101213160107.000|CCO|
20101213160107.000|20101213160107.556|CCO|ON THE WAY.
20101213160107.556|20101213160108.111|CCO|
20101213160108.111|20101213160108.667|CCO|
20101213160108.667|20101213160109.222|CCO|WE'RE ALL IN IT TOGETHER.
20101213160109.222|20101213160109.778|CCO|
20101213160109.778|20101213160110.333|CCO|
20101213160110.333|20101213160110.889|CCO|STEVE BROWN IS LIVE IN
20101213160110.889|20101213160111.444|CCO|
20101213160111.444|20101213160112.000|CCO|
20101213160112.000|20101213160112.370|CCO|ILLINOIS WITH A REPORT ON
20101213160112.370|20101213160112.741|CCO|
20101213160112.741|20101213160113.111|CCO|
20101213160113.111|20101213160113.481|CCO|THAT.
20101213160113.481|20101213160113.852|CCO|
20101213160113.852|20101213160114.222|CCO|
20101213160114.222|20101213160114.593|CCO|STEVE, WHAT ARE WE HEARING
20101213160114.593|20101213160114.963|CCO|
20101213160114.963|20101213160115.333|CCO|
20101213160115.333|20101213160115.704|CCO|ABOUT, STRANDED MOTORISTS,
20101213160115.704|20101213160116.074|CCO|
20101213160116.074|20101213160116.444|CCO|
20101213160116.444|20101213160116.815|CCO|IN INDIANA.
20101213160116.815|20101213160117.185|CCO|
20101213160117.185|20101213160117.556|CCO|
20101213160117.556|20101213160117.926|CCO|ANY IDEAS ON HOW MANY?
20101213160117.926|20101213160118.296|CCO|
20101213160118.296|20101213160118.667|CCO|
20101213160118.667|20101213160119.037|CCO|>> Reporter: THAT'S THE
20101213160119.037|20101213160119.407|CCO|
20101213160119.407|20101213160119.778|CCO|
20101213160119.778|20101213160120.148|CCO|PROBLEM, THEY DON'T KNOW HOW
20101213160120.148|20101213160120.519|CCO|
20101213160120.519|20101213160120.889|CCO|
20101213160120.889|20101213160121.259|CCO|MANY.
20101213160121.259|20101213160121.630|CCO|
20101213160121.630|20101213160122.000|CCO|
20101213160122.000|20101213160122.556|CCO|WE'RE TALKING ABOUT LA PORT
20101213160122.556|20101213160123.111|CCO|
20101213160123.111|20101213160123.667|CCO|
20101213160123.667|20101213160124.222|CCO|COUNTY N. THE NORTHWEST
20101213160124.222|20101213160124.778|CCO|
20101213160124.778|20101213160125.333|CCO|
20101213160125.333|20101213160125.889|CCO|CORNER OF THE STATE, WHICH
20101213160125.889|20101213160126.444|CCO|
20101213160126.444|20101213160127.000|CCO|
20101213160127.000|20101213160127.556|CCO|IS TRADITIONALLY AN AREA
20101213160127.556|20101213160128.111|CCO|
20101213160128.111|20101213160128.667|CCO|
20101213160128.667|20101213160129.222|CCO|THAT GETS POUNDED BY LAKE
20101213160129.222|20101213160129.778|CCO|
20101213160129.778|20101213160130.333|CCO|
20101213160130.333|20101213160130.889|CCO|EFFECT SNOW OFF LAKE
20101213160130.889|20101213160131.444|CCO|
20101213160131.444|20101213160132.000|CCO|
20101213160132.000|20101213160132.476|CCO|MICHIGAN AND THE SHERIFF
20101213160132.476|20101213160132.952|CCO|
20101213160132.952|20101213160133.429|CCO|
20101213160133.429|20101213160133.905|CCO|SAYS DON'T KNOW HOW MANY
20101213160133.905|20101213160134.381|CCO|
20101213160134.381|20101213160134.857|CCO|
20101213160134.857|20101213160135.333|CCO|THEY HAVE STRANDED BUT MANY
20101213160135.333|20101213160135.810|CCO|
20101213160135.810|20101213160136.286|CCO|
20101213160136.286|20101213160136.762|CCO|WHO WERE STRANDED ALONG
20101213160136.762|20101213160137.238|CCO|
20101213160137.238|20101213160137.714|CCO|
20101213160137.714|20101213160138.190|CCO|ROADSIDES IN NORTHWEST
20101213160138.190|20101213160138.667|CCO|
20101213160138.667|20101213160139.143|CCO|
20101213160139.143|20101213160139.619|CCO|INDIANA MAY HAVE BEEN THERE
20101213160139.619|20101213160140.095|CCO|
20101213160140.095|20101213160140.571|CCO|
20101213160140.571|20101213160141.048|CCO|ALL NIGHT, TEMPERATURES
20101213160141.048|20101213160141.524|CCO|
20101213160141.524|20101213160142.000|CCO|
20101213160142.000|20101213160142.556|CCO|CERTAINLY WEREN'T VERY
20101213160142.556|20101213160143.111|CCO|
20101213160143.111|20101213160143.667|CCO|
20101213160143.667|20101213160144.222|CCO|COMFORTABLE.
20101213160144.222|20101213160144.778|CCO|
20101213160144.778|20101213160145.333|CCO|
20101213160145.333|20101213160145.889|CCO|WE'RE TALKING ABOUT
20101213160145.889|20101213160146.444|CCO|
20101213160146.444|20101213160147.000|CCO|
20101213160147.000|20101213160147.556|CCO|TEMPERATURES IN THE TEENS
20101213160147.556|20101213160148.111|CCO|
20101213160148.111|20101213160148.667|CCO|
20101213160148.667|20101213160149.222|CCO|AND THE WINDSHIELD FACTORS
20101213160149.222|20101213160149.778|CCO|
20101213160149.778|20101213160150.333|CCO|
20101213160150.333|20101213160150.889|CCO|MUCH LOWER THAT.
20101213160150.889|20101213160151.444|CCO|
20101213160151.444|20101213160152.000|CCO|
20101213160152.000|20101213160152.667|CCO|WE'RE TOLD THAT THERE ARE --
20101213160152.667|20101213160153.333|CCO|
20101213160153.333|20101213160154.000|CCO|
20101213160154.000|20101213160154.667|CCO|THEY ARE FRANTICALLY TRYING
20101213160154.667|20101213160155.333|CCO|
20101213160155.333|20101213160156.000|CCO|
20101213160156.000|20101213160156.667|CCO|TO GET FOLKS OUT OF VEHICLES
20101213160156.667|20101213160157.333|CCO|
20101213160157.333|20101213160158.000|CCO|
20101213160158.000|20101213160158.667|CCO|THAT MIGHT HAVE BEEN IN THEM
20101213160158.667|20101213160159.333|CCO|
20101213160159.333|20101213160200.000|CCO|
20101213160200.000|20101213160200.667|CCO|ALL NIGHT IN THIS MINTY MIX
20101213160200.667|20101213160201.333|CCO|
20101213160201.333|20101213160202.000|CCO|
20101213160202.000|20101213160202.476|CCO|OF EXTREMELY COLD
20101213160202.476|20101213160202.952|CCO|
20101213160202.952|20101213160203.429|CCO|
20101213160203.429|20101213160203.905|CCO|TEMPERATURES, HIGH WINDS AND
20101213160203.905|20101213160204.381|CCO|
20101213160204.381|20101213160204.857|CCO|
20101213160204.857|20101213160205.333|CCO|BLOWING SNOW, JENNA.
20101213160205.333|20101213160205.810|CCO|
20101213160205.810|20101213160206.286|CCO|
20101213160206.286|20101213160206.762|CCO|JENNA: THAT CAN BE A
20101213160206.762|20101213160207.238|CCO|
20101213160207.238|20101213160207.714|CCO|
20101213160207.714|20101213160208.190|CCO|DANGEROUS, SCARY SITUATION,
20101213160208.190|20101213160208.667|CCO|
20101213160208.667|20101213160209.143|CCO|
20101213160209.143|20101213160209.619|CCO|STEVE.
20101213160209.619|20101213160210.095|CCO|
20101213160210.095|20101213160210.571|CCO|
20101213160210.571|20101213160211.048|CCO|IT LOOKS LIKE AS FAR AS AIR
20101213160211.048|20101213160211.524|CCO|
20101213160211.524|20101213160212.000|CCO|
20101213160212.000|20101213160212.417|CCO|TRAVEL, THOUGH, WHAT ARE WE
20101213160212.417|20101213160212.833|CCO|
20101213160212.833|20101213160213.250|CCO|
20101213160213.250|20101213160213.667|CCO|SEEING IN THE AIR?
20101213160213.667|20101213160214.083|CCO|
20101213160214.083|20101213160214.500|CCO|
20101213160214.500|20101213160214.917|CCO|>> IT WON'T BE MUCH BETTER
