TOP|20101213170002|2010-12-13_1700_US_CNN_Newsroom
COL|Communication Studies Archive, UCLA 
UID|6d44e898-06da-11e0-896f-00e0815fe86c
DUR|0:59:55.02
VID|640x480
CMT|
TPF|transcripts.cnn.com|cnr.04.html
HED|Stranded by a Blizzard; Key Ruling on Health Care Law; Vote on Tax Cut Compromise; 'Private' Becomes 'Public' Online; Hot Off the Political Ticker; Trending Online; Amman Stand-up Comedy Festival
LAN|ENG
LBT|2010-12-13 09:00 America/Los_Angeles
SEG_01|2014-06-18 18:01:53|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101213170010.000|20101213170033.667|SEG|Type=Story
20101213170010.000|20101213170012.000|CCO|>> WHAT HAVE WE GOT HERE, BOBBI?
20101213170012.000|20101213170014.000|CCO|WE'LL GET YOU OUT OF HERE, MAN.
20101213170014.000|20101213170016.000|CCO|WE GOT YOU OUT, BUDDY, MERRY 
20101213170016.000|20101213170018.000|CCO|CHRISTMAS.
20101213170018.000|20101213170020.000|CCO|>> OH, THANK YOU.
20101213170020.000|20101213170022.000|CCO|>> ALL RIGHT.
20101213170022.000|20101213170024.500|CCO|WELL WE'VE GOT BLUE SKIES AHEAD,
20101213170024.500|20101213170027.000|CCO|THOUGH.
20101213170027.000|20101213170029.500|CCO|THE WINDS ARE WHAT'S PROBABLY 
20101213170029.500|20101213170032.000|CCO|THE WORST TODAY.
20101213170032.000|20101213170033.667|CCO|ROADS ARE PRETTY CLEAR.
20101213170033.667|20101213170153.429|SEG|Type=Story
20101213170033.667|20101213170035.333|CCO|>>> BOY, OH, BOY, TOP OF THE 
20101213170035.333|20101213170037.000|CCO|HOUR IN THE "CNN NEWSROOM" WHERE
20101213170037.000|20101213170038.667|CCO|ANYTHING CAN HAPPEN.
20101213170038.667|20101213170040.333|CCO|HERE ARE SOME OF THE PEOPLE 
20101213170040.333|20101213170042.000|CCO|BEHIND TODAY'S TOP STORIES.
20101213170042.000|20101213170043.667|CCO|FROM SNOW TO FLOODING, MUD 
20101213170043.667|20101213170045.333|CCO|SLIDES, PEOPLE ARE FIGHTING THE 
20101213170045.333|20101213170047.000|CCO|ELEMENTS.
20101213170047.000|20101213170048.667|CCO|WE'LL SHOW YOU HOW THEY'RE DOING
20101213170048.667|20101213170050.333|CCO|AND HOW MUCH CAN SOMEONE FIND 
20101213170050.333|20101213170052.000|CCO|OUT ABOUT YOU FROM JUST YOUR 
20101213170052.000|20101213170054.500|CCO|NAME AND YOUR E-MAIL ADDRESS.
