TOP|20101213190001|2010-12-13_1900_US_KCBS_CBS_2_News_at_11
COL|Communication Studies Archive, UCLA 
UID|30346aee-06eb-11e0-b543-00e0815ffae2
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-13 11:00 America/Los_Angeles
SEG_01|2014-02-03 01:06:33|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20101213190021.000|20101213192956.000|SEG|Type=Story
20101213190021.000|20101213190024.333|CCO|CBS
20101213190024.333|20101213190027.667|CCO|GOOD MORNING EVERYONE I'M
20101213190027.667|20101213190031.000|CCO|SIBILA VARGAS.
20101213190031.000|20101213190032.429|CCO|KENT: I'M KENT SHOCKNEK
20101213190032.429|20101213190033.857|CCO|WELCOME TO "CBS 2 NEWS" AT
20101213190033.857|20101213190035.286|CCO|11:00 AM.
20101213190035.286|20101213190036.714|CCO|A MYSTERY THIS MORNING A
20101213190036.714|20101213190038.143|CCO|WOMAN'S BODY WAS FOUND FROM
20101213190038.143|20101213190039.571|CCO|THE 15 FREEWAY.
20101213190039.571|20101213190041.000|CCO|KIRK HAWKINS IS LIVE FROM
20101213190041.000|20101213190042.111|CCO|RIVERSIDE.
20101213190042.111|20101213190043.222|CCO|KIRK WE HEAR THAT DETECTIVES
20101213190043.222|20101213190044.333|CCO|ARE NOT SAYING HOW HER BODY
20101213190044.333|20101213190045.444|CCO|ENDED UP THERE.
20101213190045.444|20101213190046.556|CCO|>> THAT'S RIGHT.
20101213190046.556|20101213190047.667|CCO|WE ARE LIVE NEAR THE
20101213190047.667|20101213190048.778|CCO|RIVERSIDE COUNTY SHERIFF'S
20101213190048.778|20101213190049.889|CCO|DEPARTMENT.
20101213190049.889|20101213190051.000|CCO|THEY ARE BEING TIGHT-LIPPED
20101213190051.000|20101213190052.111|CCO|ABOUT THE INVESTIGATION
20101213190052.111|20101213190053.222|CCO|THERE.
20101213190053.222|20101213190054.333|CCO|THEY ARE TRYING TO TRACK
20101213190054.333|20101213190055.444|CCO|DOWN MORE CLUES AND
20101213190055.444|20101213190056.556|CCO|EVIDENCE.
20101213190056.556|20101213190057.667|CCO|IT IS CLEAR THAT THIS IS A
20101213190057.667|20101213190058.778|CCO|MURDER MYSTERY.
20101213190058.778|20101213190059.889|CCO|>> IN THIS AERIAL VIDEO, YOU
20101213190059.889|20101213190101.000|CCO|CAN SEE DEPUTIES FROM THE
20101213190101.000|20101213190102.667|CCO|RIVERSIDE COUNTY SHERIFF'S
20101213190102.667|20101213190104.333|CCO|DEPARTMENT WITH FLASHLIGHTS
20101213190104.333|20101213190106.000|CCO|ON THE NORTHBOUND SIDE OF
20101213190106.000|20101213190107.667|CCO|THE 15 FREEWAY JUST SOUTH OF
20101213190107.667|20101213190109.333|CCO|CANTU RANCH ROAD IN MIRA
20101213190109.333|20101213190111.000|CCO|LOMA.
20101213190111.000|20101213190112.429|CCO|THERE WAS A BACKUP THIS
20101213190112.429|20101213190113.857|CCO|MORNING BECAUSE OF A LANE
20101213190113.857|20101213190115.286|CCO|CLOSURE AFTER A CLOSURE
20101213190115.286|20101213190116.714|CCO|RECEIVED 911 CALLS FROM
20101213190116.714|20101213190118.143|CCO|DRIVERS THAT MADE A DEADLY
20101213190118.143|20101213190119.571|CCO|DISCOVERY.
20101213190119.571|20101213190121.000|CCO|THE CHP OFFICERS,
20101213190121.000|20101213190122.429|CCO|FIREFIGHTERS AND PARAMEDICS
20101213190122.429|20101213190123.857|CCO|WERE FIRST CALLED TO THE
20101213190123.857|20101213190125.286|CCO|SCENE WHAT HAVE THEY THOUGHT
20101213190125.286|20101213190126.714|CCO|WAS A TRAFFIC CRASH.
20101213190126.714|20101213190128.143|CCO|WHEN THEY ARRIVED, THEY
20101213190128.143|20101213190129.571|CCO|DIDN'T FIND A CAR BUT THE
20101213190129.571|20101213190131.000|CCO|BODY OF A WOMAN IN HER
20101213190131.000|20101213190132.429|CCO|MID-20s WITH ENJURIES
20101213190132.429|20101213190133.857|CCO|CONSISTENT WITH FOUL PLAY.
20101213190133.857|20101213190135.286|CCO|THE DEADLY DISCOVERY KICKED
20101213190135.286|20101213190136.714|CCO|OFF A MURDER INVESTIGATION.
20101213190136.714|20101213190138.143|CCO|NOW DETECTIVES ARE NOT
20101213190138.143|20101213190139.571|CCO|SAYING IF THE DETECTIVE WAS
20101213190139.571|20101213190141.000|CCO|KILLED ON THE FREEWAY OR IF
20101213190141.000|20101213190142.429|CCO|HER BODY WAS DUMPED.
20101213190142.429|20101213190143.857|CCO|>> WE WILL NOT DISCLOSE THE
20101213190143.857|20101213190145.286|CCO|INJURIES AS PART OF THE
20101213190145.286|20101213190146.714|CCO|INITIAL INVESTIGATION.
20101213190146.714|20101213190148.143|CCO|INVESTIGATORS ARE CHECKING
20101213190148.143|20101213190149.571|CCO|MISSING PERSONS REPORTS IN
20101213190149.571|20101213190151.000|CCO|SOUTHERN CALIFORNIA.
20101213190151.000|20101213190152.250|CCO|>> I AM SURE THAT THEY WERE
20101213190152.250|20101213190153.500|CCO|LOOKING FOR MISSING PERSONS
20101213190153.500|20101213190154.750|CCO|IN THE AREA.
20101213190154.750|20101213190156.000|CCO|RIVERSIDE AND SAN
20101213190156.000|20101213190157.250|CCO|BERNARDINO.
20101213190157.250|20101213190158.500|CCO|AND ANY OTHER NEIGHBORING
20101213190158.500|20101213190159.750|CCO|COUNTIES.
20101213190159.750|20101213190201.000|CCO|AND THEY WILL TRY TO
20101213190201.000|20101213190202.250|CCO|DETERMINE WHO IT IS.
20101213190202.250|20101213190203.500|CCO|>> CORONER'S OFFICE HAS NOT
20101213190203.500|20101213190204.750|CCO|YET FIGHT VICTIM.
20101213190204.750|20101213190206.000|CCO|THEY ARE TRYING TO TRACK
20101213190206.000|20101213190207.250|CCO|DOWN HER FAMILY.
20101213190207.250|20101213190208.500|CCO|LIVE FROM RIVERSIDE KIRK
20101213190208.500|20101213190209.750|CCO|HAWKINS "CBS 2 NEWS".
