TOP|20101213220001|2010-12-13_2200_US_CNN_Situation_Room
COL|Communication Studies Archive, UCLA 
UID|55879d20-0704-11e0-ba27-00e0815fe86a
DUR|0:59:55.02
VID|640x480
CMT|
TPF|transcripts.cnn.com|sitroom.01.html
HED|President Speaks on Tax Vote; Holbrooke: Critical But Stable; Renewed U.S. Worries About Karzai; RNC Chair Expected to Reveal Decision Today; When Liver Donations Go Wrong
LAN|ENG
LBT|2010-12-13 14:00 America/Los_Angeles
SEG_01|2014-06-18 18:02:35|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101213220004.636|20101213220018.500|SEG|Type=Story
20101213220004.636|20101213220005.545|CCO|DEAL.
20101213220005.545|20101213220006.455|CCO|THE PRESIDENT HAS STRUCK WITH 
20101213220006.455|20101213220007.364|CCO|REPUBLICANS.
20101213220007.364|20101213220008.273|CCO|WILL IT PASS?
20101213220008.273|20101213220009.182|CCO|WHEN WILL IT GO TO A VOTE?
20101213220009.182|20101213220010.091|CCO|WE'LL BE TALKING TO THE A-TEAM 
20101213220010.091|20101213220011.000|CCO|THERE ON THE "SITUATION ROOM" 
20101213220011.000|20101213220013.500|CCO|WITH WOLF BLITZER.
20101213220013.500|20101213220016.000|CCO|WOLF?
20101213220016.000|20101213220018.500|CCO|>> BROOKE, THANKS VERY MUCH.
20101213220018.500|20101213220031.000|SEG|Type=Story
20101213220018.500|20101213220021.000|CCO|>>> HAPPENING NOW, A VOTE OF 
20101213220021.000|20101213220022.250|CCO|CONFIDENCE IN THE PRESIDENTIAL'S
20101213220022.250|20101213220023.500|CCO|TAX CUT DEAL WITH REPUBLICANS.
20101213220023.500|20101213220024.750|CCO|WE'RE STAND BIG TO HEAR FROM THE
20101213220024.750|20101213220026.000|CCO|PRESIDENT OF THE UNITED STATES 
20101213220026.000|20101213220027.250|CCO|ABOUT THE SENATE'S MOVE AND THE 
20101213220027.250|20101213220028.500|CCO|OPPOSITION HE STILL FACES 
20101213220028.500|20101213220029.750|CCO|SERIOUS OPPOSITION IN THE HOUSE 
20101213220029.750|20101213220031.000|CCO|OF REPRESENTATIVES.
20101213220031.000|20101213220051.000|SEG|Type=Story
20101213220031.000|20101213220032.667|CCO|>>> PLUS, A LEGAL SMACKDOWN TO 
20101213220032.667|20101213220034.333|CCO|ONE OF PRESIDENT OBAMA'S BIGGEST
20101213220034.333|20101213220036.000|CCO|ACCOMPLISHMENTS, HEALTH CARE 
20101213220036.000|20101213220037.667|CCO|REFORM.
20101213220037.667|20101213220039.333|CCO|THIS HOUR, WHAT THE FIRST OF ITS
20101213220039.333|20101213220041.000|CCO|KIND RULING COULD MEAN FOR YOUR 
20101213220041.000|20101213220044.333|CCO|COVERAGE AND THE PROSPECT OF A 
20101213220044.333|20101213220047.667|CCO|LONG FIGHT ALL THE WAY TO THE 
20101213220047.667|20101213220051.000|CCO|U.S. SUPREME COURT.
20101213220051.000|20101213220102.667|SEG|Type=Story
20101213220051.000|20101213220053.500|CCO|>>> WALMART IS IS RENEWING ITS 
20101213220053.500|20101213220056.000|CCO|FIGHT TO REOPEN STORES IN NEW 
20101213220056.000|20101213220058.500|CCO|YORK CITY.
20101213220058.500|20101213220101.000|CCO|I'M WOLF BLITZER IN THE 
20101213220101.000|20101213220102.667|CCO|"SITUATION ROOM."
20101213220102.667|20101213220457.667|SEG|Type=Story
20101213220102.667|20101213220104.333|CCO|>>> BUT FIRST, TO BREAKING NEWS,
20101213220104.333|20101213220106.000|CCO|WE'RE STAND BIG TO HEAR FROM 
20101213220106.000|20101213220107.667|CCO|PRESIDENT OBAMA.
20101213220107.667|20101213220109.333|CCO|NOW THAT HIS CONTROVERSIAL TAX 
20101213220109.333|20101213220111.000|CCO|CUT DEAL WITH THE REPUBLICANS IS
20101213220111.000|20101213220112.429|CCO|MOVING FORWARD IN THE SENATE.
20101213220112.429|20101213220113.857|CCO|IT CLEARED AN IMPORTANT TEST 
20101213220113.857|20101213220115.286|CCO|VOTE A LITTLE WHILE AGO, GETTING
20101213220115.286|20101213220116.714|CCO|THE 60 VOTES NEEDED TO CUT OFF 
20101213220116.714|20101213220118.143|CCO|DEBATE.
20101213220118.143|20101213220119.571|CCO|A FINAL SENATE VOTE COULD COME 
20101213220119.571|20101213220121.000|CCO|AS EARLY AS TOMORROW.
20101213220121.000|20101213220123.000|CCO|BUT THE PACKAGE STILL FACES 
20101213220123.000|20101213220125.000|CCO|MAJOR OPPOSITION AMONG HOUSE 
20101213220125.000|20101213220127.000|CCO|DEMOCRATS AND SOME HOUSE 
20101213220127.000|20101213220129.000|CCO|REPUBLICANS.
20101213220129.000|20101213220131.000|CCO|IT WOULD ALSO EXTEND ALL THE 
20101213220131.000|20101213220132.667|CCO|EXPIRING BUSH-ERA TAX CUTS FOR 
20101213220132.667|20101213220134.333|CCO|TWO YEARS INCLUDING THOSE FOR 
20101213220134.333|20101213220136.000|CCO|WEALTHIER AMERICANS.
20101213220136.000|20101213220137.667|CCO|IT WOULD EXTEND LONG-TERM 
20101213220137.667|20101213220139.333|CCO|UNEMPLOYMENT BENEFITS FOR 
20101213220139.333|20101213220141.000|CCO|ANOTHER 13 MONTHS.
20101213220141.000|20101213220143.000|CCO|INCLUDES A 2% CUT IN THE PAYROLL
20101213220143.000|20101213220145.000|CCO|TAX FOR ONE YEAR AND IT WOULD 
20101213220145.000|20101213220147.000|CCO|RAISE THE ESTATE TAX EXEMPTION 
20101213220147.000|20101213220149.000|CCO|LEVEL TO $5 MILLION.
20101213220149.000|20101213220151.000|CCO|THE COMPROMISE WOULD COST ABOUT 
20101213220151.000|20101213220152.667|CCO|$858 BILLION WITHOUT A PLAN TO 
20101213220152.667|20101213220154.333|CCO|PAY FOR IT.
20101213220154.333|20101213220156.000|CCO|LET'S BRING IN OUR SENIOR 
20101213220156.000|20101213220157.667|CCO|CONGRESSIONAL CORRESPONDENT DANA
20101213220157.667|20101213220159.333|CCO|BASH AS WE AWAIT THE PRESIDENT.
20101213220159.333|20101213220201.000|CCO|HE'S GOING TO BE SATISFIED THAT 
20101213220201.000|20101213220202.667|CCO|THE SENATE IS NOW MOVING 
20101213220202.667|20101213220204.333|CCO|FORWARD.
20101213220204.333|20101213220206.000|CCO|BUT HE'S STILL GOT TO STRUGGLE 
20101213220206.000|20101213220207.667|CCO|IN THE HOUSE OF REPRESENTATIVES.
20101213220207.667|20101213220209.333|CCO|>> Larry: IF YOU LOOK AT THE 
20101213220209.333|20101213220211.000|CCO|FLOOR, THE VOTE IS ACTUALLY 
20101213220211.000|20101213220212.667|CCO|STILL GOING ON.
20101213220212.667|20101213220214.333|CCO|WE DOE KNOW BY OUR UNOFFICIAL 
20101213220214.333|20101213220216.000|CCO|ACCOUNT THAT THE SENATE HAS 
20101213220216.000|20101213220217.667|CCO|GOTTEN THOSE 60 VOTES.
20101213220217.667|20101213220219.333|CCO|BUT NOW WE HAVE UP TO 73-10 AND 
20101213220219.333|20101213220221.000|CCO|STILL COUNTING.
20101213220221.000|20101213220222.250|CCO|IT'S BEEN GOING ON FOR TWO 
20101213220222.250|20101213220223.500|CCO|HOURS, IN PART BECAUSE OF THE 
20101213220223.500|20101213220224.750|CCO|BAD WEATHER.
20101213220224.750|20101213220226.000|CCO|THE SENATE MAJORITY LEADER 
20101213220226.000|20101213220227.250|CCO|DECIDED TO KEEP THIS OPEN.
20101213220227.250|20101213220228.500|CCO|WE'RE STILL WAITING FOR A FINAL 
20101213220228.500|20101213220229.750|CCO|VOTE.
20101213220229.750|20101213220231.000|CCO|BUT THAT VOTE COUNT, 73 IS PART 
20101213220231.000|20101213220232.429|CCO|OF THE REASON THE PRESIDENT IS 
20101213220232.429|20101213220233.857|CCO|GOING TO COME INTO THIS BRIEFING
20101213220233.857|20101213220235.286|CCO|ROOM AND SAYS HE HOPES THIS IS A
20101213220235.286|20101213220236.714|CCO|SIGNAL TO AMERICA, BUT 
20101213220236.714|20101213220238.143|CCO|SPECIFICALLY A SIGNAL TO THE 
20101213220238.143|20101213220239.571|CCO|HOUSE OF REPRESENTATIVES THAT 
20101213220239.571|20101213220241.000|CCO|THE VAST MAJORITY OF THE SENATE 
20101213220241.000|20101213220242.429|CCO|IS OKAY WITH THIS.
20101213220242.429|20101213220243.857|CCO|AT LEAST AS A TEST VOTE PHASE 
20101213220243.857|20101213220245.286|CCO|AND SO HE HOPES THAT THE HOUSE 
20101213220245.286|20101213220246.714|CCO|IS GOING TO MOVE FORWARD PRETTY 
20101213220246.714|20101213220248.143|CCO|SOON.
20101213220248.143|20101213220249.571|CCO|>> THAT'S 70% OF THE SENATE 
20101213220249.571|20101213220251.000|CCO|APPROVING.
20101213220251.000|20101213220253.500|CCO|SORT OF LIKE THE RECENT POLLS, 
20101213220253.500|20101213220256.000|CCO|70% OF THE AMERICAN PUBLIC.
20101213220256.000|20101213220258.500|CCO|APPROVES OF THE DEAL THE 
20101213220258.500|20101213220301.000|CCO|PRESIDENT STRUCK, AS WELL.
20101213220301.000|20101213220302.250|CCO|WHAT AGENDA THE HOUSE SIDE?
20101213220302.250|20101213220303.500|CCO|THERE'S PROBLEMS THERE.
20101213220303.500|20101213220304.750|CCO|>> Reporter: YOU REMEMBER LAST 
20101213220304.750|20101213220306.000|CCO|WEEK, THE HOUSE DEMOCRATS VOTED 
20101213220306.000|20101213220307.250|CCO|IN THE CAUCUS THEY'RE NOT GOING 
20101213220307.250|20101213220308.500|CCO|TO TAKE UP THE VERY PACKAGE THAT
20101213220308.500|20101213220309.750|CCO|THEY'RE STARTING TO VOTE ON IN 
20101213220309.750|20101213220311.000|CCO|THE SENATE.
20101213220311.000|20101213220312.250|CCO|THE PRESIDENT'S DEAL HE CUT WITH
