TOP|20101213230002|2010-12-13_2300_US_FOX-News_Special_Report_with_Bret_Baier
COL|Communication Studies Archive, UCLA 
UID|b7bd2a34-070c-11e0-ad72-00e0815fe86c
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-13 15:00 America/Los_Angeles
SEG_01|2014-06-18 18:02:46|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101213230007.000|20101213235956.000|SEG|Type=Story
20101213230007.000|20101213230008.250|CCO| DON'T
20101213230008.250|20101213230009.500|CCO|WANT TO MISS.
20101213230009.500|20101213230010.750|CCO|FROM NEW YORK.
20101213230010.750|20101213230012.000|CCO|GOOD NIGHT, AMERICA.
20101213230012.000|20101213230014.000|CCO|[applause]
20101213230014.000|20101213230016.000|CCO|>> GOOD EVENING.
20101213230016.000|20101213230018.000|CCO|THIS IS A FOX NEWS ALERT.
20101213230018.000|20101213230020.000|CCO|A MAJOR BLOW TO THE
20101213230020.000|20101213230022.000|CCO|PRESIDENT'S HEALTH CARE LAW
20101213230022.000|20101213230024.500|CCO|TODAY AND REPUBLICAN PARTY
20101213230024.500|20101213230027.000|CCO|BOSS MICHAEL STEELE MADE UP
20101213230027.000|20101213230029.500|CCO|HIS MIND ABOUT RUNNING FOR
20101213230029.500|20101213230032.000|CCO|ANOTHER TERP.
20101213230032.000|20101213230034.500|CCO|THE FIRST LEGISLATIVE DEAL IS
20101213230034.500|20101213230037.000|CCO|CLEARED WITH THE PRESIDENT'S
20101213230037.000|20101213230039.500|CCO|DEAL WITH THE REPUBLICANS AND
20101213230039.500|20101213230042.000|CCO|THE PRESIDENT CAME OUT TO URGE
20101213230042.000|20101213230043.667|CCO|CONGRESS TO FINISH THE JOB.
20101213230043.667|20101213230045.333|CCO|WE'LL GO STRAIGHT TO POLITICAL
20101213230045.333|20101213230047.000|CCO|CORRESPONDANT CAMERON HILL ON
20101213230047.000|20101213230048.667|CCO|CAPITOL HILL.
20101213230048.667|20101213230050.333|CCO|>> HI, BRET.
20101213230050.333|20101213230052.000|CCO|>> SUPPORTERS NEEDED 60 VOTES
20101213230052.000|20101213230055.333|CCO|AND THEY GOT A HUGE MOMENTOUS
20101213230055.333|20101213230058.667|CCO|BUILDING VOTE WITH YES VOTES
20101213230058.667|20101213230102.000|CCO|AND COUNTING.
20101213230102.000|20101213230104.500|CCO|>> THE VOTE BEGAN AT 3:00 P.M.
20101213230104.500|20101213230107.000|CCO|ON THE REPUBLICAN'S DEAL WITH
20101213230107.000|20101213230109.500|CCO|THE REPUBLICANS TO EXTEND THE
20101213230109.500|20101213230112.000|CCO|TAX BENEFITS.
20101213230112.000|20101213230114.000|CCO|THEY LEAD REOFF PLEDGING
20101213230114.000|20101213230116.000|CCO|SUPPORT.
20101213230116.000|20101213230118.000|CCO|>> PLAIN AND SIMPLE THIS IS A
20101213230118.000|20101213230120.000|CCO|COMPROMISE ABOUT JOBS AND
20101213230120.000|20101213230122.000|CCO|EXTENDING MIDDLE TAX CUTS TO
20101213230122.000|20101213230124.000|CCO|HELP CREATE JOB.
20101213230124.000|20101213230126.000|CCO|NOT EXTENDING THEM WOULD COST
20101213230126.000|20101213230128.000|CCO|JOBS.
20101213230128.000|20101213230130.000|CCO|>> NORMAL TIME LIMITS WERE
20101213230130.000|20101213230132.000|CCO|SUSPENDED BECAUSE OF BAD
20101213230132.000|20101213230133.429|CCO|WEATHER.
20101213230133.429|20101213230134.857|CCO|GOP HAILED THE OBAMA
20101213230134.857|20101213230136.286|CCO|ADMINISTRATION FOR WORKING
20101213230136.286|20101213230137.714|CCO|ACROSS THE AISLE ON TAX
20101213230137.714|20101213230139.143|CCO|RELIEF.
20101213230139.143|20101213230140.571|CCO|>> THIS IS A SHIFT.
20101213230140.571|20101213230142.000|CCO|>> COMPROMISE COULD COME
20101213230142.000|20101213230144.000|CCO|TOMORROW.
20101213230144.000|20101213230146.000|CCO|THIS PROVES BOTH PARTIES CAN
20101213230146.000|20101213230148.000|CCO|IN FACT WORK TOGETHER.
20101213230148.000|20101213230150.000|CCO|>> AFTER TOUTING THE HUGE VOTE
20101213230150.000|20101213230152.000|CCO|CLEARING THE PROCEDURAL
20101213230152.000|20101213230154.500|CCO|HURDLE, THE PRESIDENT TURNED
20101213230154.500|20101213230157.000|CCO|UP THE HEAT ON THE UNHAPPY
20101213230157.000|20101213230159.500|CCO|LENLIBERALS.
20101213230159.500|20101213230202.000|CCO|>> IN THE HOUSE DEMOCRATS LAST
20101213230202.000|20101213230204.500|CCO|WEEK VOTED ANGRILY AGAINST THE
20101213230204.500|20101213230207.000|CCO|DEAL, HAVE BEEN BACK PEDALING.
20101213230207.000|20101213230209.500|CCO|>> THE DEMDEPS ARE NOT GOING
20101213230209.500|20101213230212.000|CCO|TO STARE A TAX BILL AND
20101213230212.000|20101213230213.667|CCO|PREVENT ANYTHING COMING BEFORE
20101213230213.667|20101213230215.333|CCO|THE HOUSE.
20101213230215.333|20101213230217.000|CCO|>> I THINK WE WILL HAVE A VOTE
20101213230217.000|20101213230218.667|CCO|ON THE SENATE BILL .
20101213230218.667|20101213230220.333|CCO|WITH POSSIBLE CHANGES.
20101213230220.333|20101213230222.000|CCO|>> HOUSE DEMOCRATS CONTINUED
20101213230222.000|20101213230225.333|CCO|TO DEMAND CHANGES IN THE
20101213230225.333|20101213230228.667|CCO|ESTATE TAX TAKING WHAT THE
20101213230228.667|20101213230232.000|CCO|PRESIDENT AND GOP AGREED TO 35
20101213230232.000|20101213230233.667|CCO|PERCENT OF THE INHERITANCE
20101213230233.667|20101213230235.333|CCO|OVER FIVE MILLION.
20101213230235.333|20101213230237.000|CCO|>> I DON'T KNOW WHAT THE HOUSE
20101213230237.000|20101213230238.667|CCO|DEMOCRATS WILL ATTEMPT TO DO
20101213230238.667|20101213230240.333|CCO|IN THE LENTH HOUR.
20101213230240.333|20101213230242.000|CCO|IT COULD JEOPARDIZE THING.
20101213230242.000|20101213230243.667|CCO|>> HOUSE LEADERS WOULD LIKE TO
20101213230243.667|20101213230245.333|CCO|FINISH BY FRIDAY.
20101213230245.333|20101213230247.000|CCO|>> I THINK WE WILL PASS THE
20101213230247.000|20101213230248.667|CCO|BILL.
20101213230248.667|20101213230250.333|CCO|AS OPPOSED TO NOT PASSING
20101213230250.333|20101213230252.000|CCO|ANYTHING.
20101213230252.000|20101213230253.429|CCO|>> THE REPUBLICANS AND THE
20101213230253.429|20101213230254.857|CCO|VICE-PRESIDENT AND PRESIDENT
20101213230254.857|20101213230256.286|CCO|SHOOK AND IT CANNOT BE
20101213230256.286|20101213230257.714|CCO|CHANGED.
20101213230257.714|20101213230259.143|CCO|>> WE ARE NOT INTERESTED IN
20101213230259.143|20101213230300.571|CCO|CHANGING THE DEAL BUT PASSING
20101213230300.571|20101213230302.000|CCO|IT THROUGH.
20101213230302.000|20101213230304.500|CCO|>> DEMOCRATS MIGHT LIKE TO
20101213230304.500|20101213230307.000|CCO|MAKE ALTERERATIONS, THE VOTE
20101213230307.000|20101213230309.500|CCO|GETTING IT STARTED, IT MAKES
20101213230309.500|20101213230312.000|CCO|IT DIFFICULT FOR THE DEMOCRATS
20101213230312.000|20101213230314.000|CCO|TO DRAG THEIR FEET.
20101213230314.000|20101213230316.000|CCO|>> THANK YOU.
20101213230316.000|20101213230318.000|CCO|>> SENIOR POLITICAL ANALYST
20101213230318.000|20101213230320.000|CCO|BRET THERETO HUME IS HERE THIS
20101213230320.000|20101213230322.000|CCO|EVENING.
20101213230322.000|20101213230323.667|CCO|>> IT DOES APPEAR THAT THE
20101213230323.667|20101213230325.333|CCO|VAST TAX INCREASE LOOMING FOR
20101213230325.333|20101213230327.000|CCO|MORE THAN A DECADE OVER THE
20101213230327.000|20101213230328.667|CCO|TAX PAY ARES IN AMERICA WILL
20101213230328.667|20101213230330.333|CCO|BE HEADED OFF AT LEAST FOR
20101213230330.333|20101213230332.000|CCO|NOW.
20101213230332.000|20101213230334.000|CCO|BUT THE STRUGGLE TO HOLD DOWN
20101213230334.000|20101213230336.000|CCO|TAX RATE SYSTEM FAR FROM OVER.
20101213230336.000|20101213230338.000|CCO|BECAUSE THIC AND LANGUAGE OF
20101213230338.000|20101213230340.000|CCO|TAXATION ARE BENT IN FAVOR OF
20101213230340.000|20101213230342.000|CCO|HIGHER TAXES.
20101213230342.000|20101213230344.500|CCO|CONSIDER THE NOTION THAT TAX
20101213230344.500|20101213230347.000|CCO|CUTS NEED TO BE PAID FOR.
20101213230347.000|20101213230349.500|CCO|ECONOMIST SPEAK OF TAX BREAKS
20101213230349.500|20101213230352.000|CCO|AS TAX EXPENDITURES.
20101213230352.000|20101213230354.000|CCO|DEMOCRATS SPEAK ON GIVE AWAY
20101213230354.000|20101213230356.000|CCO|TOTS RICH .
20101213230356.000|20101213230358.000|CCO|ALL OF THESE NOTIONS REST ON
20101213230358.000|20101213230400.000|CCO|AN UNSPOKE YEN DENIABLE
20101213230400.000|20101213230402.000|CCO|PREMISE WHICH IS ALL MONEY
20101213230402.000|20101213230403.667|CCO|EARNED BY THE AMERICANS BELONG
20101213230403.667|20101213230405.333|CCO|TO THE GOVERNMENT.
20101213230405.333|20101213230407.000|CCO|WHATEVER PORTION THAT THE
20101213230407.000|20101213230408.667|CCO|PUBLIC IS ALLOWED TO KEEP IS
