TOP|20101214000001|2010-12-14_0000_US_KCAL_KCAL_9_News_at_4PM
COL|Communication Studies Archive, UCLA 
UID|190054a8-0715-11e0-a40c-00e0815fe725
DUR|0:29:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-13 16:00 America/Los_Angeles
SEG_01|2014-06-18 18:03:02|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101214000006.714|20101214002956.000|SEG|Type=Story
20101214000006.714|20101214000008.143|CCO| CHAMPION
20101214000008.143|20101214000009.571|CCO|LAKERS TO THE CAPITAL FOR
20101214000009.571|20101214000011.000|CCO|THE SECOND STRAIGHT YEAR.
20101214000011.000|20101214000012.667|CCO|>> GOOD AFTERNOON I'M SYLVIA
20101214000012.667|20101214000014.333|CCO|LOPEZ.
20101214000014.333|20101214000016.000|CCO|>> I'M LEYNA NGUYEN.
20101214000016.000|20101214000017.667|CCO|A GRIEF-STRICKEN FAMILY
20101214000017.667|20101214000019.333|CCO|CONFRONTED THE LONG BEACH
20101214000019.333|20101214000021.000|CCO|POLICE DEMANDING ANSWERS.
20101214000021.000|20101214000022.250|CCO|THEY WANT TO KNOW WHY POLICE
20101214000022.250|20101214000023.500|CCO|SHOT AND KILLED AN UNARMED
20101214000023.500|20101214000024.750|CCO|MAN.
20101214000024.750|20101214000026.000|CCO|MICHELLE GILE IS LIVE FROM
20101214000026.000|20101214000027.250|CCO|LONG BEACH.
20101214000027.250|20101214000028.500|CCO|THE OBJECT THAT THEY THOUGHT
20101214000028.500|20101214000029.750|CCO|WAS THE GUN.
20101214000029.750|20101214000031.000|CCO|MICHELLE?
20101214000031.000|20101214000032.250|CCO|>> THE POLICE CHIEF TOLD THE
20101214000032.250|20101214000033.500|CCO|FAMILY AND ALL OF US IN THE
20101214000033.500|20101214000034.750|CCO|PRESS CONFERENCE THAT THIS
20101214000034.750|20101214000036.000|CCO|IS A VERY UNFORTUNATE SET OF
20101214000036.000|20101214000037.250|CCO|CIRCUMSTANCES.
20101214000037.250|20101214000038.500|CCO|HE USED THE WORD TRAGEDY TO
20101214000038.500|20101214000039.750|CCO|DESCRIBE WHAT HAPPENED HERE
20101214000039.750|20101214000041.000|CCO|BEHIND ME ON EAST OCEAN
20101214000041.000|20101214000044.333|CCO|AVENUE YESTERDAY AFTERNOON.
20101214000044.333|20101214000047.667|CCO|IT WAS 4:30.
20101214000047.667|20101214000051.000|CCO|WE ALSO NOW KNOW WHAT POLICE
20101214000051.000|20101214000053.000|CCO|ALLEGEDLY SAW IN DOUG
20101214000053.000|20101214000055.000|CCO|ZERBY'S HANDS AND WHY
20101214000055.000|20101214000057.000|CCO|OFFICERS SHOT HIM.
20101214000057.000|20101214000059.000|CCO|>> TWO HANDED PIFT WILL GRIP
20101214000059.000|20101214000101.000|CCO|HOLD WITH THE OBJECT
20101214000101.000|20101214000103.000|CCO|EXTENDED LIKE THIS AS THE
20101214000103.000|20101214000105.000|CCO|OFFICERS RESPONDED.
20101214000105.000|20101214000107.000|CCO|>> THE WAKE OF THE SHOOTING
20101214000107.000|20101214000109.000|CCO|IN LONG BEACH YESTERDAY
20101214000109.000|20101214000111.000|CCO|AFTERNOON, THE CITY'S POLICE
20101214000111.000|20101214000112.667|CCO|CHIEF JIM MacDONNELL IS
20101214000112.667|20101214000114.333|CCO|ANSWERING QUESTIONS.
20101214000114.333|20101214000116.000|CCO|35-YEAR-OLD DOUG ST. ERBY'S
20101214000116.000|20101214000117.667|CCO|FAMILY ATTEMPTED THE NEWS
20101214000117.667|20101214000119.333|CCO|CONFERENCE.
20101214000119.333|20101214000121.000|CCO|AT ONE POINT IT GOT SO
20101214000121.000|20101214000122.667|CCO|EMOTIONAL THAT THE DEAD
20101214000122.667|20101214000124.333|CCO|MAN'S SIBLINGS RAN FROM THE
20101214000124.333|20101214000126.000|CCO|ROOM.
