TOP|20101214030002|2010-12-14_0300_US_FOX-News_On_the_Record_Greta_Van_Susteren
COL|Communication Studies Archive, UCLA 
UID|3eb9852a-072e-11e0-921a-00e0815fe826
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-13 19:00 America/Los_Angeles
SEG_01|2014-06-18 18:03:45|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101214030005.636|20101214035956.000|SEG|Type=Story
20101214030005.636|20101214030007.455|SEG_01|Type=Commercial
20101214030005.636|20101214030006.545|CCO| HI
20101214030006.545|20101214030007.455|CCO|POLITICS.
20101214030007.455|20101214030008.364|SEG_01|Type=Story start
20101214030007.455|20101214030008.364|CCO|>> GOD LOVE YOU.
20101214030008.364|20101214030009.273|CCO|I'M LOVING BOB BECKEL, I CAN'T
20101214030009.273|20101214030010.182|CCO|BELIEVE IT.
20101214030010.182|20101214030011.091|CCO|>> SEAN: GRETA IS NEXT.
20101214030011.091|20101214030012.000|CCO|THANKS FOR BEING WITH US.
20101214030012.000|20101214030013.429|CCO|SEE YOU BACK TOMORROW NIGHT.
20101214030013.429|20101214030014.857|CCO|>> GRETA: ONLY HERE, YOU GO
20101214030014.857|20101214030016.286|CCO|BEHIND THE SCENES OF TWO NEWS
20101214030016.286|20101214030017.714|CCO|STORIES GRIPPING THE NATION.
20101214030017.714|20101214030019.143|CCO|PRESIDENT OBAMA LOSES BIG IN A
20101214030019.143|20101214030020.571|CCO|VIRGINIA FEDERAL COURT.
20101214030020.571|20101214030022.000|CCO|AND YOU GO TO HAITI WITH
20101214030022.000|20101214030023.667|CCO|FORMER GOVERNOR SARAH PALIN
20101214030023.667|20101214030025.333|CCO|AND REVEREND FRANKLIN TO SEE
20101214030025.333|20101214030027.000|CCO|FOR YOURSELF.
20101214030027.000|20101214030028.667|CCO|YOU WILL NOT SEE THIS ANYWHERE
20101214030028.667|20101214030030.333|CCO|ELSE.
20101214030030.333|20101214030032.000|CCO|FIRST PRESIDENT OBAMA, SPEAKER
20101214030032.000|20101214030034.000|CCO|PELOSI AND MAJORITY LEADER
20101214030034.000|20101214030036.000|CCO|REID'S SMACK DOWN.
20101214030036.000|20101214030038.000|CCO|JUDGE RULING THE INDIVIDUAL
20101214030038.000|20101214030040.000|CCO|MANDATE IN THE NATIONAL HEALTH
20101214030040.000|20101214030042.000|CCO|CARE LAW IS UNCONSTITUTIONAL.
20101214030042.000|20101214030043.667|CCO|WE WENT TO VIRGINIA WHERE THE
20101214030043.667|20101214030045.333|CCO|VIRGINIA ATTORNEY GENERAL KEN
20101214030045.333|20101214030047.000|CCO|CUCCINELLI ON THE RECORD.
20101214030047.000|20101214030048.667|CCO|NICE TO SEE YOU.
20101214030048.667|20101214030050.333|CCO|>> VERY GOOD AFTERNOON.
20101214030050.333|20101214030052.000|CCO|>> GRETA: I BET IT IS FOR YOU.
20101214030052.000|20101214030053.429|CCO|ALWAYS MORE FUN TO WIN.
20101214030053.429|20101214030054.857|CCO|>> IT IS.
20101214030054.857|20101214030056.286|CCO|>> GRETA: YOU HAVE A BEAUTIFUL
20101214030056.286|20101214030057.714|CCO|STATE CAPITAL.
20101214030057.714|20101214030059.143|CCO|>> WE HAVE THE BEST VIEW IN
20101214030059.143|20101214030100.571|CCO|STATE GOVERNMENT RIGHT HERE
20101214030100.571|20101214030102.000|CCO|OUT OF MY OFFICE, THE OLD
20101214030102.000|20101214030103.500|CCO|STATE CAPITAL DESIGNED BY
20101214030103.500|20101214030105.000|CCO|THOMAS JEFFERSON.
20101214030105.000|20101214030106.500|CCO|>> GRETA: I THINK THEY OUGHT
