TOP|20101214073501|2010-12-14_0735_US_KCBS_Late_Show_with_Dave_Letterman
COL|Communication Studies Archive, UCLA 
UID|a906ad74-0754-11e0-a57c-00e0815fe725
DUR|1:01:55.01
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-13 23:35 America/Los_Angeles
SEG_01|2014-06-18 18:04:04|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101214073503.222|20101214083656.000|SEG|Type=Story
20101214073503.222|20101214073504.333|SEG_01|Type=Commercial
20101214073503.222|20101214073503.778|CCO| FROM.
20101214073503.778|20101214073504.333|CCO|
20101214073504.333|20101214073504.889|SEG_01|Type=Story start
20101214073504.333|20101214073504.889|CCO|VERY AMERICAN.
20101214073504.889|20101214073505.444|CCO|
20101214073505.444|20101214073506.000|CCO|JIM: IT IS NOW.
20101214073506.000|20101214073506.556|CCO|
20101214073506.556|20101214073507.111|CCO|JACKIE: THAT'S WHERE THEY GOT
20101214073507.111|20101214073507.667|CCO|
20101214073507.667|20101214073508.222|CCO|IT.
20101214073508.222|20101214073508.778|CCO|
20101214073508.778|20101214073509.333|CCO|PAT: THANKS FOR WATCHING.
20101214073509.333|20101214073509.889|CCO|
20101214073509.889|20101214073510.444|CCO|SEE YOU BOOK HERE TOMORROW
20101214073510.444|20101214073511.000|CCO|
20101214073511.000|20101214073512.667|CCO|NIGHT.
20101214073512.667|20101214073514.333|CCO|(BAND PLAYING
20101214073514.333|20101214073516.000|CCO|"LATE SHOW" THEME)
20101214073516.000|20101214073517.667|CCO|>>FROM NEW YORK,
20101214073517.667|20101214073519.333|CCO|THE GREATEST CITY IN THE WORLD,
20101214073519.333|20101214073521.000|CCO|IT'S THE "LATE SHOW" WITH
20101214073521.000|20101214073531.000|CCO|DAVID LETTERMAN.
20101214073531.000|20101214073544.333|SEG_01|Type=Commercial
20101214073531.000|20101214073536.000|CCO|TONIGHT...
20101214073536.000|20101214073541.000|CCO|PLUS PAUL SHAFFER AND THE
20101214073541.000|20101214073544.333|CCO|CBS ORCHESTRA.
20101214073544.333|20101214073547.667|SEG_01|Type=Story start
20101214073544.333|20101214073547.667|CCO|AND NOW, BETTER THAN YOUR
20101214073547.667|20101214073551.000|CCO|MOM'S LASAGNA, DAVID
20101214073551.000|20101214073554.333|CCO|LETTERMAN!
20101214073554.333|20101214073604.333|SEG_01|Type=Commercial
20101214073554.333|20101214073557.667|CCO|(CHEERS AND APPLAUSE)
20101214073557.667|20101214073601.000|CCO|Captioning sponsored by
20101214073601.000|20101214073604.333|CCO|WORLDWIDE PANTS and CBS
20101214073604.333|20101214073607.667|SEG_01|Type=Story start
20101214073604.333|20101214073607.667|CCO|(BAND PLAYING
20101214073607.667|20101214073621.000|CCO|"LATE SHOW" THEME)
20101214073621.000|20101214073624.333|CCO|(CHEERS AND APPLAUSE)
20101214073624.333|20101214073627.667|CCO|>> Dave: THANK YOU VERY MUCH.
20101214073627.667|20101214073631.000|CCO|(APPLAUSE)
20101214073631.000|20101214073634.333|CCO|THANK YOU.
20101214073634.333|20101214073637.667|CCO|THANK YOU.
20101214073637.667|20101214073641.000|CCO|WHAT DO YOU THINK OF MY HAIR?
20101214073641.000|20101214073642.250|CCO|(LAUGHTER)
20101214073642.250|20101214073643.500|CCO|WHOO!
20101214073643.500|20101214073644.750|CCO|COLD IN NEW YORK CITY.
20101214073644.750|20101214073646.000|CCO|IS IT COLD OUTSIDE?
20101214073646.000|20101214073647.250|CCO|COLD OVER THE WEEKEND?
20101214073647.250|20101214073648.500|CCO|YEAH!
20101214073648.500|20101214073649.750|CCO|>> Dave: SO COLD TODAY
20101214073649.750|20101214073651.000|CCO|DONALD TRUMP, YOU KNOW
20101214073651.000|20101214073654.333|CCO|DONALD TRUMP, HE WORE HIS
20101214073654.333|20101214073657.667|CCO|HAIR WITH THE EAR FLAPS
20101214073657.667|20101214073701.000|CCO|DOWN.
20101214073701.000|20101214073703.000|CCO|(APPLAUSE)
20101214073703.000|20101214073705.000|CCO|>> Dave: SO COLD IN THE
20101214073705.000|20101214073707.000|CCO|MIDWEST SO, COLD IN CHICAGO
20101214073707.000|20101214073709.000|CCO|THAT OPRAH AND GAIL SAID TO
20101214073709.000|20101214073711.000|CCO|HELL WITH THE RUMORS AND GOT
20101214073711.000|20101214073713.000|CCO|IN BED TOGETHER.
20101214073713.000|20101214073715.000|CCO|>> Paul: RIGHT, FOR WARMTH.
20101214073715.000|20101214073717.000|CCO|(APPLAUSE)
20101214073717.000|20101214073719.000|CCO|>> Dave: IT IS SUPPOSED TO
20101214073719.000|20101214073721.000|CCO|GET LIKE TWO FEET OF SNOW?
20101214073721.000|20101214073722.250|CCO|INDIANA.
20101214073722.250|20101214073723.500|CCO|I SAID WHOO TWO FEET OF SNOW,
20101214073723.500|20101214073724.750|CCO|I CALLED MOM.
20101214073724.750|20101214073726.000|CCO|I SAID MOM, WITH ALL THAT
20101214073726.000|20101214073727.250|CCO|SNOW, I'M BEGGING YOU, YOU
20101214073727.250|20101214073728.500|CCO|KNOW THE DRIVEWAY AND THE
20101214073728.500|20101214073729.750|CCO|SIDEWALK, YOU KNOW, WITH ALL
20101214073729.750|20101214073731.000|CCO|OF THAT SNOW, TWO FEET OF
20101214073731.000|20101214073733.000|CCO|SNOW, I'M BEGGING YOU, MOM,
20101214073733.000|20101214073735.000|CCO|LIFT WITH YOUR LEGS, NOT
20101214073735.000|20101214073737.000|CCO|WITH YOUR BACK.
20101214073737.000|20101214073739.000|CCO|(LAUGHTER)
20101214073739.000|20101214073741.000|CCO|>> Dave: OKAY!
20101214073741.000|20101214073742.667|CCO|(APPLAUSE)
20101214073742.667|20101214073744.333|CCO|AND HOW ABOUT THE
20101214073744.333|20101214073746.000|CCO|MINNEAPOLIS, THE METRO DOME,
20101214073746.000|20101214073747.667|CCO|DID YOU SEE THAT?
20101214073747.667|20101214073749.333|CCO|IT-- IT SNOWED.
20101214073749.333|20101214073751.000|CCO|THEY HAVE THIS BIG
20101214073751.000|20101214073752.667|CCO|INFLATABLE THING AND IT
20101214073752.667|20101214073754.333|CCO|SNOWED HEAVY AND THE THING
20101214073754.333|20101214073756.000|CCO|COLLAPSED.
20101214073756.000|20101214073757.667|CCO|AND I THOUGHT WELL JEEZ,
20101214073757.667|20101214073759.333|CCO|THAT'S YOU WHAT GET WHEN YOU
20101214073759.333|20101214073801.000|CCO|SPEND A HUNDRED, LIKE A
20101214073801.000|20101214073802.429|CCO|BILLION DOLLARS ON AN
20101214073802.429|20101214073803.857|CCO|INFLATABLE STADIUM.
20101214073803.857|20101214073805.286|CCO|BUT-- 
20101214073805.286|20101214073806.714|CCO|(LAUGHTER)
20101214073806.714|20101214073808.143|CCO|SO THE METRO DOME-- AND OF
20101214073808.143|20101214073809.571|CCO|COURSE LAST WEEK THE ROOF
20101214073809.571|20101214073811.000|CCO|CAVED IN ON THE JETS.
20101214073811.000|20101214073813.500|CCO|IT'S CRAZY!
20101214073813.500|20101214073816.000|CCO|(LAUGHTER)
20101214073816.000|20101214073818.500|CCO|(APPLAUSE)
20101214073818.500|20101214073821.000|CCO|THE BIG DEAL, DON'T KID
20101214073821.000|20101214073822.667|CCO|YOURSELVES.
20101214073822.667|20101214073824.333|CCO|IT'S A BIG DEAL.
20101214073824.333|20101214073826.000|CCO|JUST BECAUSE WE DON'T LIVE
20101214073826.000|20101214073827.667|CCO|THERE IT'S STILL A BIG DEAL
20101214073827.667|20101214073829.333|CCO|AM BIG CAVE IN, 33 CHILEAN
20101214073829.333|20101214073831.000|CCO|MINERS WERE TRAPPED.
20101214073831.000|20101214073832.429|CCO|NO, HEY-- 
20101214073832.429|20101214073833.857|CCO|(APPLAUSE)
20101214073833.857|20101214073835.286|CCO|YOU EXCITED ABOUT THE
20101214073835.286|20101214073836.714|CCO|HOLIDAYS.
20101214073836.714|20101214073838.143|CCO|DOW LIKE THE HOLIDAYS?
20101214073838.143|20101214073839.571|CCO|>> YEAH!
20101214073839.571|20101214073841.000|CCO|>> Dave: HOLIDAYS ALWAYS
20101214073841.000|20101214073842.429|CCO|LOOK GOOD ON PAPER, DON'T
20101214073842.429|20101214073843.857|CCO|THEY?
20101214073843.857|20101214073845.286|CCO|(LAUGHTER)
20101214073845.286|20101214073846.714|CCO|AND THEN WHEN YOU GET RIGHT
20101214073846.714|20101214073848.143|CCO|INTO IT, OH MY GOODNESS.
20101214073848.143|20101214073849.571|CCO|THIS SEASON THE UNITED
20101214073849.571|20101214073851.000|CCO|STATES POST OFFICE WILL
20101214073851.000|20101214073853.500|CCO|HANDLE 16 BILLION PACKAGES,
20101214073853.500|20101214073856.000|CCO|HANDLE 16 BILLION PACKAGES.
20101214073856.000|20101214073858.500|CCO|THEY DON'T DELIVER THEM,
20101214073858.500|20101214073901.000|CCO|THEY JUST HANDLE THEM.
20101214073901.000|20101214073904.333|CCO|(APPLAUSE)
20101214073904.333|20101214073907.667|CCO|WE'LL HANDLE MORE PACKAGES
20101214073907.667|20101214073911.000|CCO|THAN A TSA AGENT.
20101214073911.000|20101214073913.500|CCO|(APPLAUSE)
20101214073913.500|20101214073916.000|CCO|HELLO!
20101214073916.000|20101214073918.500|CCO|HEY, DO YOU LIKE HISTORICAL
20101214073918.500|20101214073921.000|CCO|INTRIGUE?
20101214073921.000|20101214073922.667|CCO|>> OH WHO DOESN'T, YEAH.
20101214073922.667|20101214073924.333|CCO|>> YOU KNOW THE MONA LISA,
20101214073924.333|20101214073926.000|CCO|THE LEONARDO DA VINCI MONA
20101214073926.000|20101214073927.667|CCO|LISA AND HAS THE ENIGMATIC
20101214073927.667|20101214073929.333|CCO|SMILE AND THEY'VE BEEN
20101214073929.333|20101214073931.000|CCO|STUDYING, RESEARCHING IF.
20101214073931.000|20101214073932.250|CCO|AND FINALLY SOME GUYS GOT
20101214073932.250|20101214073933.500|CCO|TOGETHER-- 
20101214073933.500|20101214073934.750|CCO|(LAUGHTER)
20101214073934.750|20101214073936.000|CCO|AND THEY WERE STUDYING AND
20101214073936.000|20101214073937.250|CCO|THEY LOOKED IN HER EYES,
20101214073937.250|20101214073938.500|CCO|THEY MUST HAVE BEEN
20101214073938.500|20101214073939.750|CCO|OPHTHALMOLOGISTS AND THEY
20101214073939.750|20101214073941.000|CCO|LOOKED IN AND THEY
20101214073941.000|20101214073942.429|CCO|DISCOVERED A CODE IN MONA
20101214073942.429|20101214073943.857|CCO|LISA'S EYES.
20101214073943.857|20101214073945.286|CCO|ISN'T THAT CRAZY, THAT
20101214073945.286|20101214073946.714|CCO|LEONARDO DA VINCI PUT A
20101214073946.714|20101214073948.143|CCO|CODE.
20101214073948.143|20101214073949.571|CCO|YOU CAN'T SEE IT, IT IS
20101214073949.571|20101214073951.000|CCO|NEARLY IMPERCEPTIBLE.
20101214073951.000|20101214073952.667|CCO|THIS SOUNDS LIKE A JOB FOR
20101214073952.667|20101214073954.333|CCO|NICHOLAS CAGE OR TOM HANKS,
