TOP|20101214160002|2010-12-14_1600_US_FOX-News_Fox_News_Live
COL|Communication Studies Archive, UCLA 
UID|35b40870-079b-11e0-b8d2-00e0815fe86c
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-14 08:00 America/Los_Angeles
SEG_01|2014-06-18 18:04:52|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101214160003.818|20101214165643.667|SEG|Type=Story
20101214160003.818|20101214165957.000|SEG_01|Type=Commercial
20101214160003.818|20101214160004.273|CCO|.
20101214160004.273|20101214160004.727|CCO|
20101214160004.727|20101214160005.182|CCO|
20101214160005.182|20101214160005.636|CCO|JON: I SEE.
20101214160005.636|20101214160006.091|CCO|
20101214160006.091|20101214160006.545|CCO|
20101214160006.545|20101214160007.000|CCO|PEOPLE SHOPPING, BUYING
20101214160007.000|20101214160007.455|CCO|
20101214160007.455|20101214160007.909|CCO|
20101214160007.909|20101214160008.364|CCO|EVERYTHING?
20101214160008.364|20101214160008.818|CCO|
20101214160008.818|20101214160009.273|CCO|
20101214160009.273|20101214160009.727|CCO|MARTHA: ABSOLUTELY.
20101214160009.727|20101214160010.182|CCO|
20101214160010.182|20101214160010.636|CCO|
20101214160010.636|20101214160011.091|CCO|BILL: RETAIL SALES ARE UP,
20101214160011.091|20101214160011.545|CCO|
20101214160011.545|20101214160012.000|CCO|
20101214160012.000|20101214160012.556|CCO|AMERICA.
20101214160012.556|20101214160013.111|CCO|
20101214160013.111|20101214160013.667|CCO|
20101214160013.667|20101214160014.222|CCO|MARTHA: HE'S STILL WORKING ON MY
20101214160014.222|20101214160014.778|CCO|
20101214160014.778|20101214160015.333|CCO|
20101214160015.333|20101214160015.889|CCO|PRESENT.
20101214160015.889|20101214160016.444|CCO|
20101214160016.444|20101214160017.000|CCO|
20101214160017.000|20101214160017.556|CCO|I'LL SEE YOU BACK HERE TOMORROW.
20101214160017.556|20101214160018.111|CCO|
20101214160018.111|20101214160018.667|CCO|
20101214160018.667|20101214160019.222|CCO|JON: GOOD MORNING, FOX NEWS
20101214160019.222|20101214160019.778|CCO|
20101214160019.778|20101214160020.333|CCO|
20101214160020.333|20101214160020.889|CCO|ALERT, BRITISH JUDGE -- A
20101214160020.889|20101214160021.444|CCO|
20101214160021.444|20101214160022.000|CCO|
20101214160022.000|20101214160022.556|CCO|BRITISH JUDGE I SHOULD SAY
20101214160022.556|20101214160023.111|CCO|
20101214160023.111|20101214160023.667|CCO|
20101214160023.667|20101214160024.222|CCO|GRANTS BAIL TO JULIAN ASSANGE
20101214160024.222|20101214160024.778|CCO|
20101214160024.778|20101214160025.333|CCO|
20101214160025.333|20101214160025.889|CCO|THE FOUNDER OF WIKILEAKS.
20101214160025.889|20101214160026.444|CCO|
20101214160026.444|20101214160027.000|CCO|
20101214160027.000|20101214160027.556|CCO|GREG JARRETT IS FOLLOWING THAT
20101214160027.556|20101214160028.111|CCO|
20101214160028.111|20101214160028.667|CCO|
20101214160028.667|20101214160029.222|CCO|STORY FROM OUR BREAKING NEWS
20101214160029.222|20101214160029.778|CCO|
20101214160029.778|20101214160030.333|CCO|
20101214160030.333|20101214160030.889|CCO|DESK AND HAS MORE INFORMATION
20101214160030.889|20101214160031.444|CCO|
20101214160031.444|20101214160032.000|CCO|
20101214160032.000|20101214160032.667|CCO|FOR US.
20101214160032.667|20101214160033.333|CCO|
20101214160033.333|20101214160034.000|CCO|
20101214160034.000|20101214160034.667|CCO|>> Reporter: THIS IS PRETTY
20101214160034.667|20101214160035.333|CCO|
20101214160035.333|20101214160036.000|CCO|
20101214160036.000|20101214160036.667|CCO|AMAZING.
20101214160036.667|20101214160037.333|CCO|
20101214160037.333|20101214160038.000|CCO|
20101214160038.000|20101214160038.667|CCO|IN AMERICA I THINK IT'S SAFE TO
20101214160038.667|20101214160039.333|CCO|
20101214160039.333|20101214160040.000|CCO|
20101214160040.000|20101214160040.667|CCO|SAY THIS WOULD NEVER HAPPEN.
20101214160040.667|20101214160041.333|CCO|
20101214160041.333|20101214160042.000|CCO|
20101214160042.000|20101214160042.667|CCO|A BRITISH JUDGE HAS GRANTED BAIL
20101214160042.667|20101214160043.333|CCO|
20101214160043.333|20101214160044.000|CCO|
20101214160044.000|20101214160044.667|CCO|TO JULIAN ASSANGE.
20101214160044.667|20101214160045.333|CCO|
20101214160045.333|20101214160046.000|CCO|
20101214160046.000|20101214160046.667|CCO|HE IS BEING HELD PENDING A
20101214160046.667|20101214160047.333|CCO|
20101214160047.333|20101214160048.000|CCO|
20101214160048.000|20101214160048.667|CCO|POSSIBLE APPEAL.
20101214160048.667|20101214160049.333|CCO|
20101214160049.333|20101214160050.000|CCO|
20101214160050.000|20101214160050.667|CCO|SWEDISH AUTHORITIES HAVE BEEN
20101214160050.667|20101214160051.333|CCO|
20101214160051.333|20101214160052.000|CCO|
20101214160052.000|20101214160052.556|CCO|GIVEN TWO HOURS TO LODGE AN
20101214160052.556|20101214160053.111|CCO|
20101214160053.111|20101214160053.667|CCO|
20101214160053.667|20101214160054.222|CCO|APPEAL.
20101214160054.222|20101214160054.778|CCO|
20101214160054.778|20101214160055.333|CCO|
20101214160055.333|20101214160055.889|CCO|THEIR ATTORNEY IS SAYING THAT
20101214160055.889|20101214160056.444|CCO|
20101214160056.444|20101214160057.000|CCO|
20101214160057.000|20101214160057.556|CCO|THEY ARE GOING TO DO IT.
20101214160057.556|20101214160058.111|CCO|
20101214160058.111|20101214160058.667|CCO|
20101214160058.667|20101214160059.222|CCO|THE 39-YEAR-OLD AUSTRALIAN HAS
20101214160059.222|20101214160059.778|CCO|
20101214160059.778|20101214160100.333|CCO|
20101214160100.333|20101214160100.889|CCO|BEEN HELD IN A LONDON PRISON FOR
20101214160100.889|20101214160101.444|CCO|
20101214160101.444|20101214160102.000|CCO|
20101214160102.000|20101214160102.667|CCO|THE BETTER PARK OF A WEEK AFTER
20101214160102.667|20101214160103.333|CCO|
20101214160103.333|20101214160104.000|CCO|
20101214160104.000|20101214160104.667|CCO|SURRENDERING TO SCOTLAND YARD
20101214160104.667|20101214160105.333|CCO|
20101214160105.333|20101214160106.000|CCO|
20101214160106.000|20101214160106.667|CCO|DUE TO A SWEDISH ARREST WARRANT
20101214160106.667|20101214160107.333|CCO|
20101214160107.333|20101214160108.000|CCO|
20101214160108.000|20101214160108.667|CCO|FOR A SEX CRIMES INVESTIGATION.
20101214160108.667|20101214160109.333|CCO|
20101214160109.333|20101214160110.000|CCO|
20101214160110.000|20101214160110.667|CCO|HE IS ACCUSED IN SWEDEN OF
20101214160110.667|20101214160111.333|CCO|
20101214160111.333|20101214160112.000|CCO|
20101214160112.000|20101214160112.667|CCO|SEXUAL ASSAULT, ESSENTIALLY.
20101214160112.667|20101214160113.333|CCO|
20101214160113.333|20101214160114.000|CCO|
20101214160114.000|20101214160114.667|CCO|BUT OBVIOUSLY IN AMERICA A LOT
20101214160114.667|20101214160115.333|CCO|
