TOP|20101214180002|2010-12-14_1800_US_KABC_The_View
COL|Communication Studies Archive, UCLA 
UID|f9377f56-07ab-11e0-a536-00e0815fe92e
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-14 10:00 America/Los_Angeles
SEG_01|2014-06-18 18:05:14|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101214180012.000|20101214185956.000|SEG|Type=Story
20101214180012.000|20101214180017.000|CCO|>> IT'S TUESDAY, DECEMBER 14. 
20101214180017.000|20101214180022.000|CCO|COMING UP LIVE ON "THE VIEW," 
20101214180022.000|20101214180024.500|CCO|THEY'RE THE HOTTEST TOPICS IN 
20101214180024.500|20101214180027.000|CCO|THE HEADLINES, FROM WHETHER BOTH
20101214180027.000|20101214180029.500|CCO|MADOFF PARENTS WON'T BE 
20101214180029.500|20101214180032.000|CCO|AATTENDING THEIR SON'S FUNERAL  
20101214180032.000|20101214180033.667|CCO|TO HOW YOU CAN STOP PIGGING OUT 
20101214180033.667|20101214180035.333|CCO|BY USING YOUR IMAGINATION AND 
20101214180035.333|20101214180037.000|CCO|HOW SHERRI SPENT THE DAY WITH 
20101214180037.000|20101214180038.667|CCO|75,000 AMERICAN HEROES. 
20101214180038.667|20101214180040.333|CCO|PLUS SEAN "DIDDY" COMBS IS  
20101214180040.333|20101214180042.000|CCO|TELLING THE CO-HOSTS HIS BIGGEST
20101214180042.000|20101214180043.667|CCO|PROBLEM WITH RELATIONSHIPS IN 
20101214180043.667|20101214180045.333|CCO|THE PAST AND HOW HE'S READY TO  
20101214180045.333|20101214180047.000|CCO|FIND LOVE NOW.
20101214180047.000|20101214180048.667|CCO|THEN HE'S HITTING THE STAGE WITH
20101214180048.667|20101214180050.333|CCO|HIS NEW GROUP DIDDY DIRTY MONEY 
20101214180050.333|20101214180052.000|CCO|TO PERFORM THEIR BRAND-NEW HIT. 
20101214180052.000|20101214180053.667|CCO|AND THE "RED, WHITE AND VIEW" IS
