TOP|20101214190001|2010-12-14_1900_US_KABC_Eyewitness_News_11AM
COL|Communication Studies Archive, UCLA 
UID|5aa8a6ea-07b4-11e0-b338-00e0815fe83e
DUR|0:59:55.02
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-14 11:00 America/Los_Angeles
SEG_01|2014-06-18 18:05:21|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101214190041.000|20101214195956.000|SEG|Type=Story
20101214190041.000|20101214190046.000|CCO|PHILLIP: AFTER DAYS OF 
20101214190046.000|20101214190051.000|CCO|PICKETING.
20101214190051.000|20101214190053.000|CCO|TEACHERS IN LA HABRA TRYING TO 
20101214190053.000|20101214190055.000|CCO|BACK TO THE CLASSROOM BUT 
20101214190055.000|20101214190057.000|CCO|THEY'RE NOT ALLOWED ON CAMPUS.
20101214190057.000|20101214190059.000|CCO|ADMINISTRATION SAYS THERE'S NO 
20101214190059.000|20101214190101.000|CCO|DEAL TO END THE STRIKE.
20101214190101.000|20101214190102.429|CCO|LESLIE: THE TEACHERS UNION TOLD 
20101214190102.429|20101214190103.857|CCO|TEACHERS A TENTATIVE DEAL HAD 
20101214190103.857|20101214190105.286|CCO|BEEN REACHED OVERNIGHT AND TO 
20101214190105.286|20101214190106.714|CCO|GO BACK TO WORK BUT THE 
20101214190106.714|20101214190108.143|CCO|DISTRICT SAYS THAT'S NOT THE 
20101214190108.143|20101214190109.571|CCO|CASE.
20101214190109.571|20101214190111.000|CCO|EYEWITNESS NEWS REPORTER IS 
20101214190111.000|20101214190112.111|CCO|LIVE IN LA HABRA WHERE TEACHERS 
20101214190112.111|20101214190113.222|CCO|WERE TURNED AWAY FROM CAMPUS 
20101214190113.222|20101214190114.333|CCO|THIS MORNING.
20101214190114.333|20101214190115.444|CCO|ALEX?
20101214190115.444|20101214190116.556|CCO|>> Reporter: YEAH, TEACHERS 
20101214190116.556|20101214190117.667|CCO|WALKED ON TO CAMPUS.
20101214190117.667|20101214190118.778|CCO|THEY THOUGHT THE DEAL HAD BEEN 
20101214190118.778|20101214190119.889|CCO|REACHED BUT OBVIOUSLY NOT THE 
20101214190119.889|20101214190121.000|CCO|CASE.
20101214190121.000|20101214190122.667|CCO|YOU CAN SEE BEHIND US, PARENTS 
20101214190122.667|20101214190124.333|CCO|HAVE COME HERE TO THE DISTRICT 
20101214190124.333|20101214190126.000|CCO|OFFICE.
20101214190126.000|20101214190127.667|CCO|THEY'RE CONFUSED AND LOOKING 
20101214190127.667|20101214190129.333|CCO|FOR ANSWERS.
20101214190129.333|20101214190131.000|CCO|WE'RE SEEING SIMILAR THINGS AT 
20101214190131.000|20101214190133.000|CCO|ALL OF THE DIFFERENT SCHOOLS IN 
20101214190133.000|20101214190135.000|CCO|THIS DISTRICT.
20101214190135.000|20101214190137.000|CCO|THE MAIN ARGUMENT AT THIS POINT 
20101214190137.000|20101214190139.000|CCO|IS OVER A SINGLE PIECE OF PAPER.
20101214190139.000|20101214190141.000|CCO|SUSAN IS CRYING TEARS OF 
20101214190141.000|20101214190142.667|CCO|SADNESS, NOT JOY.
20101214190142.667|20101214190144.333|CCO|ON A DAY SHE THOUGHT SHE WAS 
20101214190144.333|20101214190146.000|CCO|GOING BACK IN THE CLASSROOM.
20101214190146.000|20101214190147.667|CCO|>> I'M DEVASTATED.
20101214190147.667|20101214190149.333|CCO|I'M SORRY.
20101214190149.333|20101214190151.000|CCO|I WAS LOOKING FORWARD TO TODAY.
20101214190151.000|20101214190153.000|CCO|I HAD THREE DAYS TO FINISH 
20101214190153.000|20101214190155.000|CCO|LESSONS AND NOW I CAN'T DO THAT.
20101214190155.000|20101214190157.000|CCO|>> Reporter: THIS PROTEST 
20101214190157.000|20101214190159.000|CCO|DURING THE BREAK AS TEACHERS 
20101214190159.000|20101214190201.000|CCO|REMAIN ON THE SIDEWALK.
20101214190201.000|20101214190202.429|CCO|>> WE WERE TOLD WHEN I -- WELL, 
20101214190202.429|20101214190203.857|CCO|SEVERAL OF THEM WALKED ON 
20101214190203.857|20101214190205.286|CCO|CAMPUS THAT THEY WOULD BE 
20101214190205.286|20101214190206.714|CCO|ARRESTED.
20101214190206.714|20101214190208.143|CCO|THEY NEEDED TO LEAVE AND GO TO 
20101214190208.143|20101214190209.571|CCO|THE DISTRICT OFFICE AND SIGN A 
20101214190209.571|20101214190211.000|CCO|SHEET.
20101214190211.000|20101214190213.000|CCO|>> Reporter: IT SAYS TEACHERS 
20101214190213.000|20101214190215.000|CCO|AGREED TO FORFEIT THEIR 
20101214190215.000|20101214190217.000|CCO|COMPENSATION FOR THE STRIKE 
20101214190217.000|20101214190219.000|CCO|DAYS AND FOR POTENTIAL FUTURE 
20101214190219.000|20101214190221.000|CCO|STRIKE DAYS.
20101214190221.000|20101214190223.000|CCO|>> IT'S DEALING DIRECTLY WITH 
20101214190223.000|20101214190225.000|CCO|THE EMPLOYEES IN BY PASSING THE 
20101214190225.000|20101214190227.000|CCO|UNION AND IT'S UNCONSTITUTIONAL.
20101214190227.000|20101214190229.000|CCO|>> WHENEVER YOU HAVE LABOR 
20101214190229.000|20101214190231.000|CCO|UNREST, ONE OF THE STRATEGIES 
