TOP|20101214220002|2010-12-14_2200_US_MSNBC_Hardball_with_Chris_Matthews
COL|Communication Studies Archive, UCLA 
UID|80325fa0-07cd-11e0-862b-00e0815fe930
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-14 14:00 America/Los_Angeles
SEG_01|2014-06-18 18:05:44|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101214220007.000|20101214220027.000|SEG|Type=Story
20101214220007.000|20101214220008.250|CCO|PARTICIPATION?
20101214220008.250|20101214220009.500|CCO|>> SURE, YOU'RE GOING END IN THE
20101214220009.500|20101214220010.750|CCO|WRONG CITY.
20101214220010.750|20101214220012.000|CCO|YOU'VE GOT TO END IN KANSAS.
20101214220012.000|20101214220013.667|CCO|>> YOU'RE IN.
20101214220013.667|20101214220015.333|CCO|THANK YOU SO MUCH.
20101214220015.333|20101214220017.000|CCO|THAT DOES IT FOR US.
20101214220017.000|20101214220018.667|CCO|WE'LL SEE YOU FROM SENECA FALLS 
20101214220018.667|20101214220020.333|CCO|TOMORROW.
20101214220020.333|20101214220022.000|CCO|UM NEXT, "HARDBALL" WITH CHRIS 
20101214220022.000|20101214220027.000|CCO|MATTHEWS.
20101214220027.000|20101214221116.500|SEG|Type=Story
20101214220027.000|20101214220032.000|CCO|>>> ROMNEY HEADS RIGHT.
20101214220032.000|20101214220035.333|CCO|LET'S PLAY "HARDBALL."
20101214220035.333|20101214220038.667|CCO|WHO'S SORRY NOW?
20101214220038.667|20101214220042.000|CCO|ONE WEEK AGO, ALL THAT NOISE 
20101214220042.000|20101214220043.667|CCO|AGAINST THE TAX CUT DEAL CAME 
20101214220043.667|20101214220045.333|CCO|FROM THE DEMOCRATIC LEFT.
20101214220045.333|20101214220047.000|CCO|NOW, THE NOISE IS IS ON THE 
20101214220047.000|20101214220048.667|CCO|RIGHT.
20101214220048.667|20101214220050.333|CCO|LIMBAUGH, PALIN AND MITT ROMNEY 
20101214220050.333|20101214220052.000|CCO|ARE ALL COMPLAINING ABOUT THE 
20101214220052.000|20101214220054.500|CCO|$900 BILLION BILL.
20101214220054.500|20101214220057.000|CCO|THE QUESTION YOU HAVE TO ASK THE
20101214220057.000|20101214220059.500|CCO|WHAT ARE THEY COMPLAINING ABOUT?
20101214220059.500|20101214220102.000|CCO|THEY LOVE TAX CUTS.
20101214220102.000|20101214220103.250|CCO|THIS DEAL GIVES YOU HUGE TAX 
20101214220103.250|20101214220104.500|CCO|CUTS.
20101214220104.500|20101214220105.750|CCO|ARE YOU COMPLAINING JUST BECAUSE
20101214220105.750|20101214220107.000|CCO|YOU DON'T WANT THE PRESIDENT TO 
20101214220107.000|20101214220108.250|CCO|HAVE A WIN?
20101214220108.250|20101214220109.500|CCO|IS THAT YOUR ECONOMIC 
20101214220109.500|20101214220110.750|CCO|PHILOSOPHY?
20101214220110.750|20101214220112.000|CCO|ALSO, WHOSE PRESIDENCY HAS OBAMA
20101214220112.000|20101214220114.500|CCO|BEEN READING ABOUT LLY?
20101214220114.500|20101214220117.000|CCO|ACCORDING TO "THE NEW YORK 
20101214220117.000|20101214220119.500|CCO|TIMES," IT'S BILL CLINTON.
20101214220119.500|20101214220122.000|CCO|IT COULD HELP EXPLAIN WHAT COULD
20101214220122.000|20101214220125.333|CCO|BE THE MOST IMPORTANT POLITICAL 
20101214220125.333|20101214220128.667|CCO|ALLIANCE IN AMERICA TODAY.
20101214220128.667|20101214220132.000|CCO|TWO FORMER CLINTON 
20101214220132.000|20101214220134.000|CCO|ADMINISTRATION HEAVY WEIGHTS 
20101214220134.000|20101214220136.000|CCO| --
20101214220136.000|20101214220138.000|CCO|PLUS, THAT LOUD NOISE YOU HEARD 
20101214220138.000|20101214220140.000|CCO|OUTSIDE YOUR WINDOW WAS THE 
20101214220140.000|20101214220142.000|CCO|REPUBLICAN SNOWBALL FIGHT THAT 
20101214220142.000|20101214220143.667|CCO|CAME WHEN YES, MICHAEL STEELE IS
20101214220143.667|20101214220145.333|CCO|RUNNING AGAIN.
20101214220145.333|20101214220147.000|CCO|BUT HOW CAN THE PARTY OF LINCOLN
20101214220147.000|20101214220148.667|CCO|STOP THIS GUY?
