TOP|20101215010002|2010-12-15_0100_US_CNN-Headline_Nancy_Grace
COL|Communication Studies Archive, UCLA 
UID|a58401a0-07e6-11e0-82d0-00e0815fe826
DUR|0:59:54.03
VID|640x480
CMT|
TPF|transcripts.cnn.com|ng.01.html
HED|Four Bodies Found on Long Island Beach
LAN|ENG
LBT|2010-12-14 17:00 America/Los_Angeles
SEG_01|2014-06-18 18:06:17|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101215010012.000|20101215011522.000|SEG|Type=Story
20101215010012.000|20101215010022.000|CCO|>>> BREAKING NEWS TONIGHT.
20101215010022.000|20101215010024.500|CCO|AN OFF-DUTY COP WALKING HIS DOG 
20101215010024.500|20101215010027.000|CCO|ON A BEAUTIFUL REMOTE AND 
20101215010027.000|20101215010029.500|CCO|ISOLATED BEACH, STUMBLES UPON A 
20101215010029.500|20101215010032.000|CCO|WOMAN'S DEAD BODY.
20101215010032.000|20101215010034.000|CCO|THAT BEACH NOW TURNED BURIAL 
20101215010034.000|20101215010036.000|CCO|GROUND.
20101215010036.000|20101215010038.000|CCO|WITHIN 48 HOURS, THREE MORE SETS
20101215010038.000|20101215010040.000|CCO|OF FEMALE REMAINS DISCOVERED.
20101215010040.000|20101215010042.000|CCO|BOMBSHELL TONIGHT.
20101215010042.000|20101215010044.500|CCO|WE LEARN ALL FOUR BODIES DUMPED 
20101215010044.500|20101215010047.000|CCO|LIKE TRASH,PPARENTLY THROWN 
20101215010047.000|20101215010049.500|CCO|FROM A CAR, THEN GOING 
20101215010049.500|20101215010052.000|CCO|UNNOTICED, CONCEALED BY HEAVY 
20101215010052.000|20101215010054.000|CCO|UNDERBRUSH, HIDDEN ALONG A 
20101215010054.000|20101215010056.000|CCO|QUARTER MILE STRETCH OF SAND.
20101215010056.000|20101215010058.000|CCO|TONIGHT, AS POLICE TRY THEIR 
20101215010058.000|20101215010100.000|CCO|BEST TO IDENTIFY THE DEAD WOMEN,
20101215010100.000|20101215010102.000|CCO|AND STILL EVEN TONIGHT, 
20101215010102.000|20101215010104.000|CCO|SEARCHING FOR MORE BODIES.
20101215010104.000|20101215010106.000|CCO|MORE BODIES WITHIN 500 FEET OF 
20101215010106.000|20101215010108.000|CCO|THE FIRST.
20101215010108.000|20101215010110.000|CCO|WHO IS THE SERIAL KILLER 
20101215010110.000|20101215010112.000|CCO|STALKING YOUNG WOMEN, LOCALS AND
20101215010112.000|20101215010113.667|CCO|TOURISTS ALIKE?
20101215010113.667|20101215010115.333|CCO|>> POLICE GO LOOKING FOR ONE 
20101215010115.333|20101215010117.000|CCO|MISSING PERSON.
20101215010117.000|20101215010118.667|CCO|>> INSTEAD -- 
20101215010118.667|20101215010120.333|CCO|>> THEY FIND FOUR BODIES.
20101215010120.333|20101215010122.000|CCO|>> BURIED HERE.
20101215010122.000|20101215010123.429|CCO|>> THE FOUR BODIES -- 
20101215010123.429|20101215010124.857|CCO|>> STUFFED IN THESE BRUSHES.
20101215010124.857|20101215010126.286|CCO|>> FOUR BODIES.
20101215010126.286|20101215010127.714|CCO|>> WITHIN A QUARTER MILE OF EACH
20101215010127.714|20101215010129.143|CCO|OTHER.
20101215010129.143|20101215010130.571|CCO|>> POLICE ARE WONDERING -- 
20101215010130.571|20101215010132.000|CCO|>> COULD A SERIAL KILLER -- 
20101215010132.000|20101215010133.111|CCO|>> IT'S NOT A COINCIDENCE.
20101215010133.111|20101215010134.222|CCO|>> SERIAL KILLER.
20101215010134.222|20101215010135.333|CCO|>> FOUR BODIES -- 
20101215010135.333|20101215010136.444|CCO|>> BE DUMPING THE BODIES OF 
20101215010136.444|20101215010137.556|CCO|VICTIMS -- 
20101215010137.556|20101215010138.667|CCO|>> NO POSITIVE I.D.s YET ON THE 
20101215010138.667|20101215010139.778|CCO|BODIES.
20101215010139.778|20101215010140.889|CCO|>> FINGERPRINTS.
20101215010140.889|20101215010142.000|CCO|>> NO WORD YET ON IDENTITIES.
20101215010142.000|20101215010143.667|CCO|>> DENTAL RECORDS.
20101215010143.667|20101215010145.333|CCO|>> POPULAR AREA IN THE 
20101215010145.333|20101215010147.000|CCO|SUMMERTIME.
20101215010147.000|20101215010148.667|CCO|>> SOMEBODY TARGETED THESE 
20101215010148.667|20101215010150.333|CCO|INDIVIDUALS.
20101215010150.333|20101215010152.000|CCO|>> WINTER, IT IS EMPTY AND COLD.
20101215010152.000|20101215010154.000|CCO|>> AND DUMPED THEM IN THE SAME 
20101215010154.000|20101215010156.000|CCO|PLACE.
20101215010156.000|20101215010158.000|CCO|>> IT IS CHILLINGLY SO.
20101215010158.000|20101215010200.000|CCO|>> TONIGHT, A GORGEOUS 
20101215010200.000|20101215010202.000|CCO|23-YEAR-OLD MOM TAKES OFF FROM 
20101215010202.000|20101215010204.000|CCO|HER TEMPE, ARIZONA HOME BY CAR 
20101215010204.000|20101215010206.000|CCO|FOR A THOUSAND MILE ROAD TRIP 
20101215010206.000|20101215010208.000|CCO|WITH THIS BEAUTIFUL BABY BOY, 
20101215010208.000|20101215010210.000|CCO|GABRIEL.
20101215010210.000|20101215010212.000|CCO|THREE DAYS LATER, COPS FIND 
20101215010212.000|20101215010214.500|CCO|MOMMY IN MIAMI BEACH, NO BABY.
20101215010214.500|20101215010217.000|CCO|BREAKING TONIGHT, AS MOMMY 
20101215010217.000|20101215010219.500|CCO|BRAGS, THE ENTIRE CASE WILL BE 
20101215010219.500|20101215010222.000|CCO|THROWN OUT.
20101215010222.000|20101215010224.500|CCO|SHE CONFESSES SHE SMOTHERED BABY
