TOP|20101215010001|2010-12-15_0100_US_KABC_Eyewitness_News_5PM
COL|Communication Studies Archive, UCLA 
UID|a52bb90a-07e6-11e0-81d2-00e0815fe83e
DUR|0:59:54.03
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-14 17:00 America/Los_Angeles
SEG_01|2014-06-18 18:06:32|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101215010003.105|20101215015955.000|SEG|Type=Story
20101215010003.105|20101215015955.000|SEG_01|Type=Commercial
20101215010003.105|20101215010003.632|CCO| HIM
20101215010003.632|20101215010004.158|CCO|
20101215010004.158|20101215010004.684|CCO|
20101215010004.684|20101215010005.211|CCO|BUT HE SHOT AND KILLED HIMSELF.
20101215010005.211|20101215010005.737|CCO|
20101215010005.737|20101215010006.263|CCO|
20101215010006.263|20101215010006.789|CCO|HE MAY HAVE BEEN COMPLAINING
20101215010006.789|20101215010007.316|CCO|
20101215010007.316|20101215010007.842|CCO|
20101215010007.842|20101215010008.368|CCO|THAT HIS WIFE HAD LOST HIS JOB.
20101215010008.368|20101215010008.895|CCO|
20101215010008.895|20101215010009.421|CCO|
20101215010009.421|20101215010009.947|CCO|NOBODY WAS INJURED EXCEPT THE
20101215010009.947|20101215010010.474|CCO|
20101215010010.474|20101215010011.000|CCO|
20101215010011.000|20101215010011.476|CCO|GUNMAN WHO TOOK HIS OWN LIFE.
20101215010011.476|20101215010011.952|CCO|
20101215010011.952|20101215010012.429|CCO|
20101215010012.429|20101215010012.905|CCO|HE SERVED FOUR YEARS IN PRISON
20101215010012.905|20101215010013.381|CCO|
20101215010013.381|20101215010013.857|CCO|
20101215010013.857|20101215010014.333|CCO|FOR AGGRAVATED STALKING AND
20101215010014.333|20101215010014.810|CCO|
20101215010014.810|20101215010015.286|CCO|
20101215010015.286|20101215010015.762|CCO|OTHER CRIMES.
20101215010015.762|20101215010016.238|CCO|
20101215010016.238|20101215010016.714|CCO|
20101215010016.714|20101215010017.190|CCO|MELISSA MACBRIDE, ABC 7
20101215010017.190|20101215010017.667|CCO|
20101215010017.667|20101215010018.143|CCO|
20101215010018.143|20101215010018.619|CCO|"EYEWITNESS NEWS."
20101215010018.619|20101215010019.095|CCO|
20101215010019.095|20101215010019.571|CCO|
